,Language,Meaning,Phonological Form,Cognate Class,cc
52,Magahi,come,ɑnɑ,H,come:H
56,Urdu,come,ʔɑnə,H,come:H
62,Marathi,come,'jeɳe,S,come:S
66,Old Church Slavonic,come,priti,F,come:F
67,Old Church Slavonic,come,prixɔditi,W,come:W
68,Old Church Slavonic,come,ɡrɛ̃sti,U,come:U
69,Serbo-Croatian,come,ˈdɔ̌laziti,V,come:V
70,Serbo-Croatian,come,ˈdɔ̂ːtɕi,F,come:F
71,Bulgarian,come,ˈdɔjdə,F,come:F
72,Macedonian,come,ˈdojdɛ,F,come:F
73,Macedonian,come,ˈdo.aɟa,W,come:W
74,Russian,come,prʲixɔ'dʲitʲ,W,come:W
75,Russian,come,pɾʲijˈtʲi,F,come:F
76,Polish,come,pʂɘ̟ˈxɔdʑitɕ,W,come:W
77,Polish,come,pʂɘ̟jɕtɕ,F,come:F
78,Belarusian,come,prɨˈxɔdzʲitsʲ,W,come:W
79,Belarusian,come,prɨjsˈtsʲi,F,come:F
80,Ukrainian,come,prɪˈxodɪtɪ,W,come:W
81,Ukrainian,come,prɪjˈtɪ,F,come:F
82,Slovak,come,priːsc,F,come:F
83,Slovak,come,ˈprixaːdzac,W,come:W
84,Czech,come,ˈpr̝̊ɪjiːt,F,come:F
85,Sorbian Upper,come,ˈpʃikʰadʒɛtʃ,W,come:W
86,Sorbian Upper,come,pʃintʃ,F,come:F
87,Sorbian Lower,come,pɕiɕ,F,come:F
88,Sorbian Lower,come,ˈpɕixadaɕ,W,come:W
89,Slovenian,come,priˈxâːjati,W,come:W
90,Slovenian,come,ˈprǐːti,F,come:F
95,Old Norse,come,ˈkoma,B,come:B
96,Icelandic,come,ˈkʰɔːma,B,come:B
97,Faroese,come,ˈkʰoːma,B,come:B
98,Norwegian Riksmal,come,ˈkɔ̀mːə,B,come:B
99,Stavangersk,come,ˈkɔ̀mːa,B,come:B
100,Old Swedish,come,ˈkoːma,B,come:B
101,Swedish,come,ˈkɔ̀mːa,B,come:B
104,Elfdalian,come,ˈkʉ̀mɔ,B,come:B
105,Danish,come,ˈg̥ʰʌmə,B,come:B
106,Danish Fjolde,come,kom,B,come:B
108,Gutnish Lau,come,kumːɛ,B,come:B
110,English,come,kʌm,B,come:B
111,Frisian,come,'komə,B,come:B
112,Dutch,come,'komə(n),B,come:B
117,German,come,'kɔmən,B,come:B
124,Latin,come,weˈniːre,B,come:B
125,Catalan,come,bə'ni,B,come:B
126,Portuguese,come,viɾ,B,come:B
127,Spanish,come,be'niɾ,B,come:B
133,French,come,vəniʀ,B,come:B
139,Italian,come,ve'nire,B,come:B
142,Old Irish,come,doˈtʹe:dʹ,I,come:I
143,Old Irish,come,"doˈikʹ, tʹikʹ",I,come:I
144,Middle Cornish,come,"dɔ:z, ˈdɔnɛs",E,come:E
146,Middle Breton,come,"ˈdoːnǝt, ˈdont",E,come:E
147,Breton,come,ˈdɔ̃nt,E,come:E
150,Irish,come,t̪ˠaɾˠ,I,come:I
9,Ancient Greek,yellow,ksantʰós,Q,yellow:Q
11,Greek,yellow,ˈcitriˌno̞s,G,yellow:G
13,Classical Armenian,yellow,dełin,O,yellow:O
14,Armenian Eastern,yellow,dɛˈʁin,O,yellow:O
28,Ossetic,yellow,bur,M,yellow:M
29,Ossetic Iron,yellow,bur,M,yellow:M
30,Ossetic Digor,yellow,borɐ,M,yellow:M
37,Assamese,yellow,hɔlɔdhia,L,yellow:L
38,Oriya,yellow,hɔɭɔdia,L,yellow:L
40,Bihari,yellow,piyər,H,yellow:H
41,Magahi,yellow,piər,H,yellow:H
43,Urdu,yellow,pilɑ,H,yellow:H
47,Marathi,yellow,'piwɭa,H,yellow:H
51,Old Church Slavonic,yellow,ʒl̩ʲtʊ̆,A,yellow:A
52,Serbo-Croatian,yellow,ʒûːt,A,yellow:A
53,Bulgarian,yellow,ʒɤɫt,A,yellow:A
54,Macedonian,yellow,ʒolt,A,yellow:A
55,Russian,yellow,'ʐɔɫtɨj,A,yellow:A
56,Polish,yellow,ˈʐuwtɘ̟,A,yellow:A
57,Belarusian,yellow,ˈʐɔwtɨ,A,yellow:A
58,Ukrainian,yellow,ˈʐɔʋtɪj,A,yellow:A
59,Slovak,yellow,ˈʒl̩tiː,A,yellow:A
60,Czech,yellow,ˈʒlutiː,A,yellow:A
61,Sorbian Upper,yellow,ˈʒotɘ̟,A,yellow:A
62,Sorbian Lower,yellow,ˈʐowtɘ̟,A,yellow:A
63,Slovenian,yellow,ruˈmɛn,R,yellow:R
67,Old Norse,yellow,ɡulr,A,yellow:A
68,Icelandic,yellow,ˈɡ̊ʏːlʏr,A,yellow:A
69,Faroese,yellow,ˈɡ̊uːlʊɹ,A,yellow:A
70,Norwegian Riksmal,yellow,"ɡʉːɽ, ɡʉːl",A,yellow:A
71,Stavangersk,yellow,ˈɡʉːlə,A,yellow:A
72,Old Swedish,yellow,ɡuːl,A,yellow:A
73,Swedish,yellow,ɡʉːl,A,yellow:A
76,Elfdalian,yellow,gʉəl,A,yellow:A
77,Danish,yellow,guˀl,A,yellow:A
78,Danish Fjolde,yellow,ɡuːl,A,yellow:A
79,Gutnish Lau,yellow,ˈɡɛular,A,yellow:A
81,English,yellow,'jɛləʊ,A,yellow:A
82,Frisian,yellow,ge:l,A,yellow:A
83,Dutch,yellow,ɣel,A,yellow:A
88,German,yellow,gɛlp,A,yellow:A
93,Catalan,yellow,gɾɔk,E,yellow:E
94,Portuguese,yellow,ɐmɐˈɾɛlu,C,yellow:C
95,Spanish,yellow,ama'ɾiʎo,C,yellow:C
101,French,yellow,ʒon,F,yellow:F
110,Italian,yellow,'dʒallo,F,yellow:F
114,Old Irish,yellow,budʹe,I,yellow:I
117,Middle Cornish,yellow,'mɛlɪn,D,yellow:D
119,Middle Breton,yellow,ˈmeːlen,D,yellow:D
120,Breton,yellow,ˈmeːlǝn,D,yellow:D
8,Ancient Greek,snow,kʰiɔ́ːn,D,snow:D
9,Greek,snow,ˈço̞ni,D,snow:D
11,Classical Armenian,snow,jiwn,D,snow:D
12,Armenian Eastern,snow,ʣɪ̯un,D,snow:D
26,Ossetic,snow,mit,F,snow:F
27,Ossetic Iron,snow,mit,F,snow:F
28,Ossetic Digor,snow,met,F,snow:F
33,Assamese,snow,bɒrɒph,A,snow:A
35,Oriya,snow,bɔrɔphɔ,A,snow:A
37,Bihari,snow,bərph khəsəb,A,snow:A
40,Urdu,snow,bəɾf,A,snow:A
45,Marathi,snow,'bəɾfə,A,snow:A
50,Old Church Slavonic,snow,snægʊ̆,B,snow:B
51,Serbo-Croatian,snow,snjɛ̂ːɡ,B,snow:B
52,Bulgarian,snow,snʲaɡ,B,snow:B
53,Macedonian,snow,sneɡ,B,snow:B
54,Russian,snow,snʲɛg,B,snow:B
55,Polish,snow,ɕɲɛɡ,B,snow:B
56,Belarusian,snow,sʲnʲɛɣ,B,snow:B
57,Ukrainian,snow,sniɦ,B,snow:B
58,Slovak,snow,sɲɛɦ,B,snow:B
59,Czech,snow,sɲiːɦ,B,snow:B
60,Sorbian Upper,snow,snʲɪ,B,snow:B
61,Sorbian Lower,snow,sɲɪɡ,B,snow:B
62,Slovenian,snow,snêːɡ,B,snow:B
66,Old Norse,snow,snjoːr,B,snow:B
67,Icelandic,snow,stnjouːr,B,snow:B
68,Faroese,snow,ˈsnjɛɡ̊vʊɹ,B,snow:B
69,Faroese,snow,ˈkʰɛaːvɪ,I,snow:I
70,Norwegian Riksmal,snow,sneː,B,snow:B
71,Stavangersk,snow,snøː,B,snow:B
72,Old Swedish,snow,snjoːr,B,snow:B
73,Swedish,snow,snøː,B,snow:B
76,Elfdalian,snow,snɪʉ̃ə̃,B,snow:B
77,Danish,snow,sneˀ,B,snow:B
78,Danish Fjolde,snow,snie,B,snow:B
79,Gutnish Lau,snow,snoɪ,B,snow:B
81,English,snow,snəʊ,B,snow:B
82,Frisian,snow,sni.ə,B,snow:B
83,Dutch,snow,snew,B,snow:B
88,German,snow,ʃne:,B,snow:B
93,Latin,snow,niks,B,snow:B
94,Catalan,snow,new,B,snow:B
95,Portuguese,snow,ˈnɛvɨ,B,snow:B
96,Spanish,snow,'njeβe,B,snow:B
102,French,snow,nɛʒ,B,snow:B
108,Italian,snow,'neve,B,snow:B
111,Old Irish,snow,sʹnʹexte,B,snow:B
112,Middle Cornish,snow,ɛrx,E,snow:E
116,Irish,snow,ˈʃnʲãxt̪ˠə,B,snow:B
10,Ancient Greek,sing,áːjdɔː,L,sing:L
11,Greek,sing,ˌtraɣuˈðo̞,H,sing:H
13,Classical Armenian,sing,ergem,E,sing:E
14,Armenian Eastern,sing,jɛɾˈkʰɛl,E,sing:E
27,Ossetic,sing,zarɨn,A,sing:A
28,Ossetic Iron,sing,žar-,A,sing:A
29,Ossetic Digor,sing,zar-,A,sing:A
35,Assamese,sing,ga,F,sing:F
36,Oriya,sing,ga-,F,sing:F
38,Bihari,sing,gaeəb,F,sing:F
43,Urdu,sing,ɡɑnə,F,sing:F
48,Marathi,sing,'gaɳe,F,sing:F
52,Old Church Slavonic,sing,pæti,G,sing:G
53,Serbo-Croatian,sing,pjɛ̂vati,G,sing:G
54,Bulgarian,sing,ˈpɛjə,G,sing:G
55,Macedonian,sing,ˈpe.ɛ,G,sing:G
56,Russian,sing,pʲɛtʲ,G,sing:G
57,Polish,sing,ˈɕpjɛvatɕ,G,sing:G
58,Belarusian,sing,sʲpʲaˈvatsʲ,G,sing:G
59,Ukrainian,sing,spiˈʋatɪ,G,sing:G
60,Slovak,sing,ˈspiɛvac,G,sing:G
61,Czech,sing,ˈspiːvat,G,sing:G
62,Sorbian Upper,sing,ˈspɪwatʃ,G,sing:G
63,Sorbian Lower,sing,ˈspiwaɕ,G,sing:G
64,Slovenian,sing,ˈpěːti,G,sing:G
68,Old Norse,sing,"ˈsynɣva, synɣja",B,sing:B
69,Old Norse,sing,ˈɡala,R,sing:R
70,Icelandic,sing,ˈsɪɲca,B,sing:B
71,Faroese,sing,ˈsɪɲd̥ʒa,B,sing:B
72,Faroese,sing,ˈkvøːa,J,sing:J
73,Norwegian Riksmal,sing,ˈsʏ̀ŋːə,B,sing:B
74,Stavangersk,sing,ˈsʏ̀ŋːa,B,sing:B
75,Old Swedish,sing,ˈsjuŋːa,B,sing:B
76,Old Swedish,sing,ˈkvæːða,J,sing:J
77,Swedish,sing,ˈɧɵ̀ŋːa,B,sing:B
80,Elfdalian,sing,ˈkwɛ̀ðɔ,J,sing:J
81,Danish,sing,ˈsøŋə,B,sing:B
82,Danish Fjolde,sing,kveæ,J,sing:J
84,Gutnish Lau,sing,ˈsɪŋɡɛ,B,sing:B
86,English,sing,sɪŋ,B,sing:B
87,Frisian,sing,'sjoŋə,B,sing:B
88,Dutch,sing,'zɪŋə(n),B,sing:B
93,German,sing,'zɪŋən,B,sing:B
99,Latin,sing,ˈkanere,D,sing:D
102,Portuguese,sing,kɐ̃ˈtaɾ,D,sing:D
103,Spanish,sing,kan'taɾ,D,sing:D
109,French,sing,ʃɑ̃te,D,sing:D
115,Italian,sing,kan'tare,D,sing:D
118,Old Irish,sing,kanəðʹ,D,sing:D
119,Middle Cornish,sing,'kana,D,sing:D
123,Irish,sing,kan̪ˠ,D,sing:D
7,Ancient Greek,tail,kérkos,Al,tail:Al
8,Ancient Greek,tail,ou̯rá,O,tail:O
10,Greek,tail,u'ra,O,tail:O
16,Armenian Eastern,tail,poʧʰ,D,tail:D
31,Ossetic,tail,dɨmæɡ,E,tail:E
32,Ossetic Iron,tail,k'ɐzil,Z,tail:Z
33,Ossetic Digor,tail,k'ɐdželɐ,Z,tail:Z
42,Assamese,tail,lɛz,W,tail:W
43,Oriya,tail,lanjɔ,W,tail:W
45,Bihari,tail,nəŋgair,W,tail:W
48,Urdu,tail,d̪ʊm,E,tail:E
53,Marathi,tail,"ʃepʈi:, ʃepu:ʈ",V,tail:V
57,Old Church Slavonic,tail,ɔpɑʃɪ̆,H,tail:H
58,Serbo-Croatian,tail,rɛ̂ːp,R,tail:R
59,Bulgarian,tail,uˈpaʃkə,H,tail:H
60,Macedonian,tail,ˈopaʃka,H,tail:H
61,Russian,tail,xvɔst,I,tail:I
62,Polish,tail,ˈɔɡɔn,Q,tail:Q
63,Belarusian,tail,xvɔst,I,tail:I
64,Ukrainian,tail,xʋist,I,tail:I
65,Slovak,tail,xvɔst,I,tail:I
66,Czech,tail,ˈɔtsas,J,tail:J
67,Sorbian Upper,tail,ˈwɔpuʃ,H,tail:H
68,Sorbian Lower,tail,ˈhɔɡɛn,Q,tail:Q
69,Slovenian,tail,"rɛp, rěːp",R,tail:R
73,Old Norse,tail,sporðr,Ae,tail:Ae
74,Old Norse,tail,ˈhali,K,tail:K
75,Old Norse,tail,stertr,B,tail:B
76,Old Norse,tail,ˈroːva,T,tail:T
77,Old Norse,tail,ˈveːli,Ad,tail:Ad
78,Icelandic,tail,ˈhaːlɪ,K,tail:K
79,Icelandic,tail,ˈrouːva,T,tail:T
80,Icelandic,tail,ˈstɛr̥tʰʏr,B,tail:B
81,Icelandic,tail,ˈvjɛːlɪ,Ad,tail:Ad
82,Icelandic,tail,ˈspɔrðʏr,Ae,tail:Ae
84,Faroese,tail,ˈstɛɻ̊ʈʊɹ,B,tail:B
85,Faroese,tail,saks,Af,tail:Af
86,Faroese,tail,veːl,Ad,tail:Ad
87,Faroese,tail,svaiːv,Ag,tail:Ag
88,Faroese,tail,ˈhɛaːlɪ,K,tail:K
89,Faroese,tail,ˈɹɔuva,T,tail:T
90,Norwegian Riksmal,tail,ˈhàːlə,K,tail:K
91,Norwegian Riksmal,tail,ˈrʉ̀mpə,Y,tail:Y
92,Norwegian Riksmal,tail,ˈròːʋə,T,tail:T
93,Norwegian Riksmal,tail,spuɖː,Ae,tail:Ae
94,Norwegian Riksmal,tail,ˈʋèːlə,Ad,tail:Ad
95,Norwegian Riksmal,tail,sʋans,N,tail:N
96,Norwegian Riksmal,tail,stjɛʈː,B,tail:B
97,Stavangersk,tail,stæʁt,B,tail:B
98,Stavangersk,tail,spuːʁ,Ae,tail:Ae
99,Stavangersk,tail,spuːʁ,Ae,tail:Ae
100,Stavangersk,tail,ˈʋèːlə,Ad,tail:Ad
101,Old Swedish,tail,ˈstjærter,B,tail:B
102,Old Swedish,tail,ˈhaːli,K,tail:K
103,Old Swedish,tail,ˈvæːle,Ad,tail:Ad
104,Old Swedish,tail,ˈspoːrðer,Ae,tail:Ae
105,Swedish,tail,svans,N,tail:N
106,Swedish,tail,ɧæʈː,B,tail:B
110,Elfdalian,tail,ˈɔ̀lɔ,K,tail:K
111,Elfdalian,tail,ˈrʉ̀mpɑ,Y,tail:Y
112,Danish,tail,ˈsd̥jæɐ̠ˀd,B,tail:B
113,Danish,tail,ˈhɛ:lə,K,tail:K
114,Danish Fjolde,tail,sxæɹd,B,tail:B
115,Gutnish Lau,tail,ˈrumpo,Y,tail:Y
116,Gutnish Lau,tail,stjɛrt,B,tail:B
118,English,tail,teɪl,L,tail:L
120,Dutch,tail,start,B,tail:B
125,German,tail,ʃvant͜s,N,tail:N
129,Latin,tail,ˈkau̯da,F,tail:F
130,Catalan,tail,'kua,F,tail:F
132,Portuguese,tail,ˈɾaβu,T,tail:T
133,Portuguese,tail,ˈkauðɐ,F,tail:F
134,Spanish,tail,'kola,F,tail:F
141,French,tail,kø,F,tail:F
147,Italian,tail,'koda,F,tail:F
151,Old Irish,tail,erball,O,tail:O
152,Old Irish,tail,los,G,tail:G
155,Middle Cornish,tail,lɔ:st,G,tail:G
12,Ancient Greek,die,(apo-)tʰnɛ́ːjskɔː,D,die:D
14,Greek,die,pe̞ˈθe̞no̞,D,die:D
16,Classical Armenian,die,mɛr-ɑn-i-m,A,die:A
18,Armenian Eastern,die,mɛrˈnɛl,A,die:A
34,Ossetic,die,mælɨn,A,die:A
35,Ossetic Iron,die,mɐl-,A,die:A
36,Ossetic Digor,die,mɐl-,A,die:A
44,Assamese,die,mar-,A,die:A
45,Oriya,die,mɔr-,A,die:A
47,Bihari,die,mərəb,A,die:A
48,Magahi,die,mərnɑ,A,die:A
52,Urdu,die,məɾnə,A,die:A
57,Marathi,die,məɾ'ɳe,A,die:A
61,Old Church Slavonic,die,umræti,A,die:A
62,Serbo-Croatian,die,ˈǔmirati,A,die:A
63,Bulgarian,die,uˈmirəm,A,die:A
64,Macedonian,die,ˈumiram,A,die:A
65,Russian,die,umʲi'ratʲ,A,die:A
66,Polish,die,uˈmjɛraʨ,A,die:A
67,Belarusian,die,pamʲiˈratsʲ,A,die:A
68,Ukrainian,die,umɪˈratɪ,A,die:A
69,Slovak,die,ˈumiɛrac,A,die:A
70,Czech,die,ˈumiːrat,A,die:A
71,Sorbian Upper,die,mʀɪtʃ,A,die:A
72,Sorbian Lower,die,mrʲɪɕ,A,die:A
73,Slovenian,die,ˈmrěːti,A,die:A
78,Old Norse,die,ˈdɛyja,B,die:B
79,Old Norse,die,ˈandask,F,die:F
80,Icelandic,die,ˈd̥eiːja,B,die:B
81,Icelandic,die,ˈand̥ast,F,die:F
82,Faroese,die,ˈand̥ast,F,die:F
83,Faroese,die,ˈd̥ɔd̥ʒːa,B,die:B
84,Norwegian Riksmal,die,døː,B,die:B
85,Stavangersk,die,"dœɪ, døː",B,die:B
86,Old Swedish,die,ˈdøjːa,B,die:B
87,Swedish,die,dø:,B,die:B
90,Elfdalian,die,ˈdæ̀ːɑ,B,die:B
91,Danish,die,d̥øˀ,B,die:B
92,Danish Fjolde,die,dyø,B,die:B
94,Gutnish Lau,die,doɪ,B,die:B
96,English,die,daɪ,B,die:B
97,Frisian,die,dɪ.ə,B,die:B
99,Dutch,die,'stɛrvə(n),E,die:E
107,German,die,'ʃtɛrbn̩,E,die:E
113,Latin,die,ˈmoriː,A,die:A
114,Catalan,die,mu'ri,A,die:A
115,Portuguese,die,muˈʀeɾ,A,die:A
116,Spanish,die,mo'ɾiɾ,A,die:A
122,French,die,muʀiʀ,A,die:A
131,Italian,die,mo'rire,A,die:A
135,Middle Cornish,die,'mɛrwɛl,A,die:A
139,Middle Breton,die,ˈmervǝl,A,die:A
140,Breton,die,ˈmɛrvɛl,A,die:A
10,Ancient Greek,cold,kryerós,H,cold:H
11,Ancient Greek,cold,psyːkʰrós,K,cold:K
13,Greek,cold,ˈkriˌo̞s,H,cold:H
14,Greek,cold,psi'xros,K,cold:K
16,Classical Armenian,cold,tsʰuɾt,A,cold:A
18,Armenian Eastern,cold,tsʰuɾt,A,cold:A
38,Ossetic,cold,wazal,A,cold:A
39,Ossetic Iron,cold,wažal,A,cold:A
40,Ossetic Digor,cold,wazal,A,cold:A
50,Assamese,cold,xit,A,cold:A
51,Oriya,cold,thɔɳɖa,D,cold:D
53,Bihari,cold,ʈhəndha,D,cold:D
54,Magahi,cold,kənkən,U,cold:U
55,Magahi,cold,tʰəndʰɑ,D,cold:D
58,Urdu,cold,"səɾd̪, ʈʰə̃ɖɑ",D,cold:D
63,Marathi,cold,'tʰaɳɖi:,D,cold:D
68,Old Church Slavonic,cold,studɛnʊ̆,M,cold:M
69,Serbo-Croatian,cold,ˈhlǎːdan,G,cold:G
70,Bulgarian,cold,stuˈdɛn,M,cold:M
71,Macedonian,cold,ˈstudɛn,M,cold:M
72,Russian,cold,xɔ'ɫɔdnɨj,G,cold:G
73,Polish,cold,ˈʑimnɘ̟,L,cold:L
74,Belarusian,cold,xaˈɫɔdnɨ,G,cold:G
75,Ukrainian,cold,xɔˈɫɔdnɪj,G,cold:G
76,Slovak,cold,ˈstuɟɛniː,M,cold:M
77,Czech,cold,ˈstudɛniː,M,cold:M
78,Sorbian Upper,cold,ˈzɘ̟mnɘ̟,L,cold:L
79,Sorbian Lower,cold,ˈzɘ̟mnɘ̟,L,cold:L
80,Slovenian,cold,ˈhlǎːdɛn,G,cold:G
85,Old Norse,cold,kaldr,B,cold:B
86,Icelandic,cold,ˈkʰald̥ʏr,B,cold:B
87,Faroese,cold,ˈkʰald̥ʊɹ,B,cold:B
88,Norwegian Riksmal,cold,kalː,B,cold:B
89,Stavangersk,cold,ˈkalːə,B,cold:B
90,Old Swedish,cold,ˈkalder,B,cold:B
91,Swedish,cold,kalː,B,cold:B
94,Elfdalian,cold,kold,B,cold:B
95,Danish,cold,g̥ʰʌlˀ,B,cold:B
96,Danish Fjolde,cold,koːlʲ,B,cold:B
98,Gutnish Lau,cold,ˈkaldar,B,cold:B
100,English,cold,kəʊld,B,cold:B
101,Frisian,cold,kɔ:t,B,cold:B
102,Dutch,cold,kɑut,B,cold:B
107,German,cold,kalt,B,cold:B
112,Latin,cold,ˈfriːgidus,E,cold:E
113,Catalan,cold,"fɾɛt, fret",E,cold:E
114,Portuguese,cold,ˈfɾiu,E,cold:E
115,Spanish,cold,'fɾio,E,cold:E
121,French,cold,fʀwɑ,E,cold:E
130,Italian,cold,'freddo,E,cold:E
134,Old Irish,cold,u:ər,I,cold:I
136,Middle Cornish,cold,jɛɪn,F,cold:F
137,Middle Breton,cold,ˈjeːn,F,cold:F
138,Breton,cold,ˈjẽːn,F,cold:F
140,Irish,cold,fˠuəɾˠ,I,cold:I
12,Ancient Greek,name,ónoma,A,name:A
14,Greek,name,ˈo̞no̞ˌma,A,name:A
16,Classical Armenian,name,anown,A,name:A
17,Armenian Eastern,name,ɑˈnun,A,name:A
33,Ossetic,name,nom,A,name:A
34,Ossetic Iron,name,nom,A,name:A
35,Ossetic Digor,name,nom,A,name:A
43,Assamese,name,nam,A,name:A
44,Oriya,name,namɔ,A,name:A
46,Bihari,name,nam,A,name:A
47,Magahi,name,nɑm,A,name:A
50,Urdu,name,nɑm,A,name:A
55,Marathi,name,naw,A,name:A
59,Old Church Slavonic,name,imɛ̃,A,name:A
60,Serbo-Croatian,name,ˈîmɛ,A,name:A
61,Bulgarian,name,ˈimɘ,A,name:A
62,Macedonian,name,ˈimɛ,A,name:A
63,Russian,name,'imʲa,A,name:A
64,Polish,name,ˈimjɛ(ɰ̃),A,name:A
65,Belarusian,name,iˈmʲa,A,name:A
66,Ukrainian,name,iˈmja,A,name:A
67,Slovak,name,ˈmɛnɔ,A,name:A
68,Czech,name,ˈ(j)mɛːnɔ,A,name:A
69,Sorbian Upper,name,ˈmĕɛnɔ,A,name:A
70,Sorbian Lower,name,mɪ,A,name:A
71,Slovenian,name,iˈmêː,A,name:A
75,Old Norse,name,nafn,A,name:A
76,Icelandic,name,napn,A,name:A
77,Faroese,name,naun,A,name:A
78,Norwegian Riksmal,name,naʋn,A,name:A
79,Stavangersk,name,naʋn,A,name:A
80,Old Swedish,name,nampn,A,name:A
81,Swedish,name,namn,A,name:A
84,Elfdalian,name,ˈnɑ́mːɛn,A,name:A
85,Danish,name,nɑwˀn,A,name:A
86,Danish Fjolde,name,nɑːwn,A,name:A
88,Gutnish Lau,name,namn,A,name:A
90,English,name,neɪm,A,name:A
91,Frisian,name,'namə,A,name:A
92,Dutch,name,nam,A,name:A
97,German,name,'na:mə,A,name:A
105,Latin,name,ˈnoːmen,A,name:A
106,Catalan,name,nɔm,A,name:A
107,Portuguese,name,ˈnɔmɨ,A,name:A
108,Spanish,name,'nombɾe,A,name:A
114,French,name,nɔ̃,A,name:A
120,Italian,name,'nome,A,name:A
124,Old Irish,name,anʹmʹ,A,name:A
125,Middle Cornish,name,'hanɔʊ,A,name:A
127,Middle Breton,name,"ˈaːnv, aːno",A,name:A
128,Breton,name,"ˈɑ̃nw, ˈɑ̃ːno",A,name:A
131,Irish,name,ˈanʲəmʲ,A,name:A
