language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
NORWEGIAN_BOKMAAL	nor	dust	2	1.213	støːʋ	ielex-1.213-B	source form: støv
NORWEGIAN_BOKMAAL	nor	dust	2	1.213	dʉst	ielex-1.213-Q	source form: dust
NORWEGIAN_RIKSMAL	nor	dust	2	1.213	støːʋ	ielex-1.213-B	source form: støv
NORWEGIAN_RIKSMAL	nor	dust	2	1.213	dʉst	ielex-1.213-Q	source form: dust
OLD_CHURCH_SLAVONIC	chu	dust	2	1.213	praxŭ	ielex-1.213-H	source form: прахъ
OLD_NORSE	non	dust	2	1.213	ˈdumba	ielex-1.213-N	source form: dumba
OLD_NORSE	non	dust	2	1.213	dust	ielex-1.213-Q	source form: dust
OLD_NORSE	non	dust	2	1.213	damː	ielex-1.213-N	source form: damm
POLISH	pol	dust	2	1.213	pɨw	ielex-1.213-R	source form: pył
PORTUGUESE	por	dust	2	1.213	puˈejɾɐ	ielex-1.213-F	source form: poeira
RUSSIAN	rus	dust	2	1.213	pɨl	ielex-1.213-R	source form: пыл
SERBOCROATIAN	srp	dust	2	1.213	prǎʃina	ielex-1.213-H	source form: prašina
SPANISH	spa	dust	2	1.213	polβo	ielex-1.213-F	source form: polvo
STANDARD_GERMAN	deu	dust	2	1.213	ʃtaup	ielex-1.213-B	source form: Staub
SWEDISH	swe	dust	2	1.213	stɔft	ielex-1.213-B	source form: stoft
SWEDISH	swe	dust	2	1.213	damː	ielex-1.213-N	source form: damm
URDU	urd	dust	2	1.213	ɡəɾd̪	ielex-1.213-A	source form: گَرد; loanword
ASSAMESE	asm	sand	671	1.215	bali	ielex-1.215-P	source form: bali
BRETON	bre	sand	671	1.215	trɛ:s	ielex-1.215-H	source form: traezh
BULGARIAN	bul	sand	671	1.215	ˈpjasɤk	ielex-1.215-I	source form: pjasek
CROATIAN	hrv	sand	671	1.215	pijěːsak	ielex-1.215-I	source form: pijesak
CZECH	ces	sand	671	1.215	piːsɛk	ielex-1.215-I	source form: písek
DANISH	dan	sand	671	1.215	sanˀ	ielex-1.215-B	source form: sand
DIGOR_OSSETIAN	oss	sand	671	1.215	ɐzmensɐ	ielex-1.215-E	source form: ɐzmensɐ
DUTCH	nld	sand	671	1.215	zɑnt	ielex-1.215-B	source form: zand
EASTERN_ARMENIAN	hye	sand	671	1.215	ɑˈvɑz	ielex-1.215-B	source form: avaz
EASTERN_FRISIAN	frs	sand	671	1.215	sɔ:n	ielex-1.215-B	source form: sân
ENGLISH	eng	sand	671	1.215	sænd	ielex-1.215-B	source form: sand
FAROESE	fao	sand	671	1.215	ˈsand̥ʊɹ	ielex-1.215-B	source form: sandur
FRENCH	fra	sand	671	1.215	sɑbl	ielex-1.215-B	source form: sable
GREEK	ell	sand	671	1.215	ˈamo̞s	ielex-1.215-B	source form: amos
ICELANDIC	isl	sand	671	1.215	ˈsand̥ʏr	ielex-1.215-B	source form: sandur
IRON_OSSETIAN	oss	sand	671	1.215	žmiš	ielex-1.215-E	source form: žmiš
ITALIAN	ita	sand	671	1.215	sabbja	ielex-1.215-B	source form: sabbia
ITALIAN	ita	sand	671	1.215	rena	ielex-1.215-G	source form: rena
MAITHILI	mai	sand	671	1.215	baul	ielex-1.215-P	source form: baul
MARATHI	mar	sand	671	1.215	reti:	ielex-1.215-F	source form: retī
NORWEGIAN_BOKMAAL	nor	sand	671	1.215	sanː	ielex-1.215-B	source form: sand
NORWEGIAN_RIKSMAL	nor	sand	671	1.215	sanː	ielex-1.215-B	source form: sand
OLD_CHURCH_SLAVONIC	chu	sand	671	1.215	pěsǔkŭ	ielex-1.215-I	source form: пѣсъкъ
OLD_NORSE	non	sand	671	1.215	sandr	ielex-1.215-B	source form: sandr
POLISH	pol	sand	671	1.215	ˈpʲasɛk	ielex-1.215-I	source form: piasek
PORTUGUESE	por	sand	671	1.215	ɐˈɾejɐ	ielex-1.215-N	source form: areia
RUSSIAN	rus	sand	671	1.215	pʲesok	ielex-1.215-I	source form: песок
SERBOCROATIAN	srp	sand	671	1.215	pěːsak	ielex-1.215-I	source form: pesak
SPANISH	spa	sand	671	1.215	aɾena	ielex-1.215-N	source form: arena
STANDARD_GERMAN	deu	sand	671	1.215	sant	ielex-1.215-B	source form: Sand
SWEDISH	swe	sand	671	1.215	sand	ielex-1.215-B	source form: sand
TAJIK	tgk	sand	671	1.215	reg	ielex-1.215-R	source form: reg
URDU	urd	sand	671	1.215	ɾet̪	ielex-1.215-F	source form: ریت
ASSAMESE	asm	mountain	639	1.22	pɒrbɒt	ielex-1.22-E	source form: pɒrbɒt
BRETON	bre	mountain	639	1.22	mẽ:nɛs	ielex-1.22-F	source form: menez
BULGARIAN	bul	mountain	639	1.22	plɐniˈna	ielex-1.22-O	source form: planina
CATALAN	cat	mountain	639	1.22	mon	ielex-1.22-F	source form: mont
CROATIAN	hrv	mountain	639	1.22	ɡǒra	ielex-1.22-A	source form: gora
CZECH	ces	mountain	639	1.22	ɦora	ielex-1.22-A	source form: hora
DANISH	dan	mountain	639	1.22	ˈb̥jɛɐ̯ˀw	ielex-1.22-B	source form: bjerg
DANISH	dan	mountain	639	1.22	fjɛlˀ	ielex-1.22-P	source form: fjeld
DIGOR_OSSETIAN	oss	mountain	639	1.22	χʷɐnχ	ielex-1.22-Q	source form: χʷɐnχ
DUTCH	nld	mountain	639	1.22	bɛrχ	ielex-1.22-B	source form: berg
EASTERN_ARMENIAN	hye	mountain	639	1.22	lɛr	ielex-1.22-D	source form: leṙ
EASTERN_ARMENIAN	hye	mountain	639	1.22	sɑɾ	ielex-1.22-A	source form: sar
EASTERN_FRISIAN	frs	mountain	639	1.22	bɛrx	ielex-1.22-B	source form: berch
ENGLISH	eng	mountain	639	1.22	maʊntɪn	ielex-1.22-F	source form: mountain; loanword
FAROESE	fao	mountain	639	1.22	b̥ɛɹɡ̊	ielex-1.22-B	source form: berg
FAROESE	fao	mountain	639	1.22	fjad̥l	ielex-1.22-P	source form: fjall
FRENCH	fra	mountain	639	1.22	mɔ̃taɲ	ielex-1.22-F	source form: montagne
GREEK	ell	mountain	639	1.22	vuˈno̞	ielex-1.22-L	source form: vuno
GREEK_ANCIENT	grc	mountain	639	1.22	óros	ielex-1.22-G	source form: ὄρος
HINDI	hin	mountain	639	1.22	pəhɑːɽ	ielex-1.22-M	source form: pehar
ICELANDIC	isl	mountain	639	1.22	fjad̥l	ielex-1.22-P	source form: fjall
IRON_OSSETIAN	oss	mountain	639	1.22	χoχ	ielex-1.22-Q	source form: χoχ
ITALIAN	ita	mountain	639	1.22	montaɲɲa	ielex-1.22-F	source form: montagna
ITALIAN	ita	mountain	639	1.22	monte	ielex-1.22-F	source form: monte
LITHUANIAN	lit	mountain	639	1.22	ka:lnɐs	ielex-1.22-I	source form: kalnas
MAITHILI	mai	mountain	639	1.22	pəhar	ielex-1.22-M	source form: pəhar
MARATHI	mar	mountain	639	1.22	pəɾwət	ielex-1.22-E	source form: parwat
NORWEGIAN_BOKMAAL	nor	mountain	639	1.22	bɛrɡ	ielex-1.22-B	source form: berg
NORWEGIAN_BOKMAAL	nor	mountain	639	1.22	fjɛlː	ielex-1.22-P	source form: fjell
NORWEGIAN_RIKSMAL	nor	mountain	639	1.22	bɛrɡ	ielex-1.22-B	source form: berg
NORWEGIAN_RIKSMAL	nor	mountain	639	1.22	fjɛlː	ielex-1.22-P	source form: fjell
OLD_CHURCH_SLAVONIC	chu	mountain	639	1.22	gora	ielex-1.22-A	source form: гора
OLD_NORSE	non	mountain	639	1.22	fjalː	ielex-1.22-P	source form: fjall
OLD_NORSE	non	mountain	639	1.22	bjarɡ	ielex-1.22-B	source form: bjarg
OLD_NORSE	non	mountain	639	1.22	berɡ	ielex-1.22-B	source form: berg
POLISH	pol	mountain	639	1.22	ˈɡura	ielex-1.22-A	source form: góra
PORTUGUESE	por	mountain	639	1.22	mõˈtɐɲɐ	ielex-1.22-F	source form: montanha
RUSSIAN	rus	mountain	639	1.22	gora	ielex-1.22-A	source form: гора
SPANISH	spa	mountain	639	1.22	montaɲa	ielex-1.22-F	source form: montaña
STANDARD_GERMAN	deu	mountain	639	1.22	bɛrk	ielex-1.22-B	source form: Berg
SWEDISH	swe	mountain	639	1.22	fjɛlː	ielex-1.22-P	source form: fjäll
SWEDISH	swe	mountain	639	1.22	bærj	ielex-1.22-B	source form: berg
URDU	urd	mountain	639	1.22	pəhɑɽ	ielex-1.22-M	source form: پہاڑ
BENGALI	ben	water	948	1.31	dzɔl	ielex-1.31-I	source form: jol
BENGALI	ben	water	948	1.31	dʒɔl	ielex-1.31-I	source form: jol
BENGALI	ben	water	948	1.31	zɔl	ielex-1.31-I	source form: jol
BRETON	bre	water	948	1.31	duːʁ	ielex-1.31-F	source form: dour
BULGARIAN	bul	water	948	1.31	voda	ielex-1.31-B	source form: voda
CATALAN	cat	water	948	1.31	ajɣwa	ielex-1.31-E	source form: aigua
CATALAN	cat	water	948	1.31	ajɣwə	ielex-1.31-E	source form: aigua
CROATIAN	hrv	water	948	1.31	ʋǒda	ielex-1.31-B	source form: voda
CZECH	ces	water	948	1.31	voda	ielex-1.31-B	source form: voda
DANISH	dan	water	948	1.31	vanˀ	ielex-1.31-B	source form: vand
DIGOR_OSSETIAN	oss	water	948	1.31	don	ielex-1.31-B	source form: don
DUTCH	nld	water	948	1.31	watər	ielex-1.31-B	source form: water
EASTERN_ARMENIAN	hye	water	948	1.31	ʤuɾ	ielex-1.31-C	source form: ǰur
EASTERN_FRISIAN	frs	water	948	1.31	vɛtər	ielex-1.31-B	source form: wetter
ENGLISH	eng	water	948	1.31	wɔ:tə	ielex-1.31-B	source form: water
FAROESE	fao	water	948	1.31	vaʰtn̥	ielex-1.31-B	source form: vatn
FRENCH	fra	water	948	1.31	o	ielex-1.31-E	source form: eau
GAELIC_SCOTTISH	gla	water	948	1.31	ɯʃɡ̊ʲɪ	ielex-1.31-B	source form: uisge
GREEK	ell	water	948	1.31	ne̞ˈro̞	ielex-1.31-G	source form: nero
GREEK_ANCIENT	grc	water	948	1.31	hʉdɔːr	ielex-1.31-B	source form: ὕδωρ
GUJARATI	guj	water	948	1.31	paɳi	ielex-1.31-D	source form: pani
HINDI	hin	water	948	1.31	pa:ni:	ielex-1.31-D	source form: pani
ICELANDIC	isl	water	948	1.31	vaʰtn̥	ielex-1.31-B	source form: vatn
IRISH_GAELIC	gle	water	948	1.31	ˈiʃkʲə	ielex-1.31-B	source form: uisce
IRON_OSSETIAN	oss	water	948	1.31	don	ielex-1.31-B	source form: don
ITALIAN	ita	water	948	1.31	akkwa	ielex-1.31-E	source form: acqua
LITHUANIAN	lit	water	948	1.31	ʋɐndʊɔ	ielex-1.31-B	source form: vanduo
MAITHILI	mai	water	948	1.31	pain	ielex-1.31-D	source form: pain
MARATHI	mar	water	948	1.31	oaɳi:	ielex-1.31-D	source form: pānī
NORWEGIAN_BOKMAAL	nor	water	948	1.31	ʋanː	ielex-1.31-B	source form: vann
NORWEGIAN_RIKSMAL	nor	water	948	1.31	ʋanː	ielex-1.31-B	source form: vann
OLD_CHURCH_SLAVONIC	chu	water	948	1.31	voda	ielex-1.31-B	source form: вода
OLD_NORSE	non	water	948	1.31	vatn	ielex-1.31-B	source form: vatn
POLISH	pol	water	948	1.31	ˈvɔda	ielex-1.31-B	source form: woda
PORTUGUESE	por	water	948	1.31	ˈaɡwɐ	ielex-1.31-E	source form: água
ROMANIAN	ron	water	948	1.31	ˈapə	ielex-1.31-E	source form: apă
ROMANIAN_2	ron	water	948	1.31	ˈapə	ielex-1.31-E	source form: apă
RUSSIAN	rus	water	948	1.31	voda	ielex-1.31-B	source form: вода
SERBOCROATIAN	srp	water	948	1.31	ʋǒda	ielex-1.31-B	source form: voda
SPANISH	spa	water	948	1.31	aɣwa	ielex-1.31-E	source form: agua
STANDARD_GERMAN	deu	water	948	1.31	vasɐ	ielex-1.31-B	source form: wasser
SWEDISH	swe	water	948	1.31	ˈvatːən	ielex-1.31-B	source form: vatten
TAJIK	tgk	water	948	1.31	ɔːb	ielex-1.31-A	source form: ob
URDU	urd	water	948	1.31	pɑni	ielex-1.31-D	source form: پانی
WELSH	cym	water	948	1.31	duːr	ielex-1.31-F	source form: dwr
ASSAMESE	asm	sea	1474	1.32	xagɒr	ielex-1.32-L	source form: xagɒr
BRETON	bre	sea	1474	1.32	moːʁ	ielex-1.32-B	source form: mor
BULGARIAN	bul	sea	1474	1.32	moˈrɛ	ielex-1.32-B	source form: more
CATALAN	cat	sea	1474	1.32	maɾ	ielex-1.32-B	source form: mar
CATALAN	cat	sea	1474	1.32	mar	ielex-1.32-B	source form: mar
CZECH	ces	sea	1474	1.32	mor̝ɛ	ielex-1.32-B	source form: moře
DANISH	dan	sea	1474	1.32	hɑw	ielex-1.32-K	source form: hav
DANISH	dan	sea	1474	1.32	søˀ	ielex-1.32-J	source form: sø
DIGOR_OSSETIAN	oss	sea	1474	1.32	dengiz	ielex-1.32-M	source form: dengiz; loanword
DUTCH	nld	sea	1474	1.32	ze	ielex-1.32-J	source form: zee
EASTERN_ARMENIAN	hye	sea	1474	1.32	tsov	ielex-1.32-N	source form: cov
EASTERN_FRISIAN	frs	sea	1474	1.32	seː	ielex-1.32-J	source form: see
ENGLISH	eng	sea	1474	1.32	si:	ielex-1.32-J	source form: sea
FAROESE	fao	sea	1474	1.32	hɛaːv	ielex-1.32-K	source form: hav
FAROESE	fao	sea	1474	1.32	ˈʃɛɡvʊr	ielex-1.32-J	source form: sjógvur
FRENCH	fra	sea	1474	1.32	mɛʀ	ielex-1.32-B	source form: mer
GREEK	ell	sea	1474	1.32	ˈθalaˌsa	ielex-1.32-C	source form: thalasa
GREEK_ANCIENT	grc	sea	1474	1.32	tʰálatːa	ielex-1.32-C	source form: θάλαττα
ICELANDIC	isl	sea	1474	1.32	sjouːr	ielex-1.32-J	source form: sjór
ICELANDIC	isl	sea	1474	1.32	haːv	ielex-1.32-K	source form: haf
IRISH_GAELIC	gle	sea	1474	1.32	ˈfˠæɾˠɟɪ	ielex-1.32-G	source form: farraige
IRON_OSSETIAN	oss	sea	1474	1.32	dindžyz	ielex-1.32-M	source form: dindžyz; loanword
ITALIAN	ita	sea	1474	1.32	mare	ielex-1.32-B	source form: mare
LITHUANIAN	lit	sea	1474	1.32	ju:rɐ	ielex-1.32-H	source form: jura
MAITHILI	mai	sea	1474	1.32	səmudr	ielex-1.32-D	source form: səmudr
MARATHI	mar	sea	1474	1.32	səmudɾə	ielex-1.32-D	source form: samudra
NORWEGIAN_BOKMAAL	nor	sea	1474	1.32	ʃøː	ielex-1.32-J	source form: sjø
NORWEGIAN_BOKMAAL	nor	sea	1474	1.32	haːʋ	ielex-1.32-K	source form: hav
NORWEGIAN_RIKSMAL	nor	sea	1474	1.32	ʃøː	ielex-1.32-J	source form: sjø
NORWEGIAN_RIKSMAL	nor	sea	1474	1.32	haːʋ	ielex-1.32-K	source form: hav
OLD_CHURCH_SLAVONIC	chu	sea	1474	1.32	morje	ielex-1.32-B	source form: морѥ
OLD_NORSE	non	sea	1474	1.32	sjoːr	ielex-1.32-J	source form: sjór
OLD_NORSE	non	sea	1474	1.32	sɛːr	ielex-1.32-J	source form: sær
OLD_NORSE	non	sea	1474	1.32	hav	ielex-1.32-K	source form: haf
POLISH	pol	sea	1474	1.32	ˈmɔʒɛ	ielex-1.32-B	source form: morze
PORTUGUESE	por	sea	1474	1.32	maɾ	ielex-1.32-B	source form: mar
ROMANIAN	ron	sea	1474	1.32	ˈmare	ielex-1.32-B	source form: mare
ROMANIAN_2	ron	sea	1474	1.32	ˈmare	ielex-1.32-B	source form: mare
RUSSIAN	rus	sea	1474	1.32	morʲe	ielex-1.32-B	source form: море
SPANISH	spa	sea	1474	1.32	maɾ	ielex-1.32-B	source form: mar
STANDARD_GERMAN	deu	sea	1474	1.32	ze:	ielex-1.32-J	source form: See
STANDARD_GERMAN	deu	sea	1474	1.32	me:ɐ̯	ielex-1.32-B	source form: Meer
STANDARD_GERMAN	deu	sea	1474	1.32	o:t͜sea:n	ielex-1.32-E	source form: Ozean; loanword
SWEDISH	swe	sea	1474	1.32	ɧøː	ielex-1.32-J	source form: sjö
SWEDISH	swe	sea	1474	1.32	hɑːv	ielex-1.32-K	source form: hav
TAJIK	tgk	sea	1474	1.32	bæhr	ielex-1.32-A	source form: baxr; loanword
URDU	urd	sea	1474	1.32	səmənd̪əɾ	ielex-1.32-D	source form: سمندر
ASSAMESE	asm	lake	624	1.33	hrɒd	ielex-1.33-S	source form: hrɒd; loanword
BRETON	bre	lake	624	1.33	lɛn	ielex-1.33-E	source form: lenn
BULGARIAN	bul	lake	624	1.33	ˈɛzɛrɔ	ielex-1.33-F	source form: ezero
CATALAN	cat	lake	624	1.33	ʎak	ielex-1.33-E	source form: llac
CROATIAN	hrv	lake	624	1.33	jêzero	ielex-1.33-F	source form: jezero
CZECH	ces	lake	624	1.33	jɛzɛro	ielex-1.33-F	source form: jezero
DANISH	dan	lake	624	1.33	søˀ	ielex-1.33-G	source form: sø
DIGOR_OSSETIAN	oss	lake	624	1.33	cadɐ	ielex-1.33-T	source form: cadɐ
DUTCH	nld	lake	624	1.33	mer	ielex-1.33-B	source form: meer
EASTERN_ARMENIAN	hye	lake	624	1.33	liʧ	ielex-1.33-D	source form: lič
EASTERN_FARSI	prs	lake	624	1.33	âb	ielex-1.33-L	source form: آب
ENGLISH	eng	lake	624	1.33	leɪk	ielex-1.33-E	source form: lake; loanword
FAROESE	fao	lake	624	1.33	vaʰtn̥	ielex-1.33-H	source form: vatn
FRENCH	fra	lake	624	1.33	lak	ielex-1.33-E	source form: lac
GAELIC_SCOTTISH	gla	lake	624	1.33	ɫ̪ɔx	ielex-1.33-E	source form: loch
GREEK	ell	lake	624	1.33	limni	ielex-1.33-J	source form: limni
GREEK_ANCIENT	grc	lake	624	1.33	límnɛː	ielex-1.33-J	source form: λίμνη
ICELANDIC	isl	lake	624	1.33	vaʰtn	ielex-1.33-H	source form: vatn
IRISH_GAELIC	gle	lake	624	1.33	lʲɪnʲ	ielex-1.33-E	source form: linn
IRISH_GAELIC	gle	lake	624	1.33	lʲiːnʲ	ielex-1.33-E	source form: linn
IRISH_GAELIC	gle	lake	624	1.33	l̪ˠɔx	ielex-1.33-E	source form: loch
IRON_OSSETIAN	oss	lake	624	1.33	cad	ielex-1.33-T	source form: cad
ITALIAN	ita	lake	624	1.33	lago	ielex-1.33-E	source form: lago
LITHUANIAN	lit	lake	624	1.33	æ:ʒʲɛɾɐs	ielex-1.33-F	source form: ežeras
LITHUANIAN	lit	lake	624	1.33	ʊpʲe:	ielex-1.33-L	source form: upė
MAITHILI	mai	lake	624	1.33	jhil	ielex-1.33-P	source form: jhil
MARATHI	mar	lake	624	1.33	təlaw	ielex-1.33-Q	source form: talāw
NORWEGIAN_BOKMAAL	nor	lake	624	1.33	ʋanː	ielex-1.33-H	source form: vann
NORWEGIAN_RIKSMAL	nor	lake	624	1.33	ʋanː	ielex-1.33-H	source form: vann
OLD_CHURCH_SLAVONIC	chu	lake	624	1.33	jezero	ielex-1.33-F	source form: ѥзєръ
OLD_NORSE	non	lake	624	1.33	vatn	ielex-1.33-H	source form: vatn
PERSIAN	fas	lake	624	1.33	âb	ielex-1.33-L	source form: آب
POLISH	pol	lake	624	1.33	jɛˈʑɔrɔ	ielex-1.33-F	source form: jezioro
PORTUGUESE	por	lake	624	1.33	lagu	ielex-1.33-E	source form: lago
RUSSIAN	rus	lake	624	1.33	ozʲero	ielex-1.33-F	source form: озеро
SERBOCROATIAN	srp	lake	624	1.33	jêzero	ielex-1.33-F	source form: jezero
SPANISH	spa	lake	624	1.33	laɣo	ielex-1.33-E	source form: lago
STANDARD_GERMAN	deu	lake	624	1.33	ze:	ielex-1.33-G	source form: See
SWEDISH	swe	lake	624	1.33	ɧøː	ielex-1.33-G	source form: sjö
TAJIK	tgk	lake	624	1.33	kɵl	ielex-1.33-O	source form: kul
URDU	urd	lake	624	1.33	ʤʰil	ielex-1.33-P	source form: جِھیل
ASSAMESE	asm	river	666	1.36	nɔdi	ielex-1.36-E	source form: nɔdi
BRETON	bre	river	666	1.36	stɛ:r	ielex-1.36-G	source form: stêr
BULGARIAN	bul	river	666	1.36	rɛˈka	ielex-1.36-H	source form: reka
CATALAN	cat	river	666	1.36	ˈriw	ielex-1.36-H	source form: riu
CROATIAN	hrv	river	666	1.36	rjěːka	ielex-1.36-H	source form: rijeka
CZECH	ces	river	666	1.36	r̝ɛka	ielex-1.36-H	source form: řeka
DANISH	dan	river	666	1.36	floˀð	ielex-1.36-P	source form: flod; loanword
DANISH	dan	river	666	1.36	ɔˀ	ielex-1.36-O	source form: å
DANISH	dan	river	666	1.36	ɛlˀv	ielex-1.36-N	source form: elv
DIGOR_OSSETIAN	oss	river	666	1.36	don	ielex-1.36-I	source form: don
DUTCH	nld	river	666	1.36	rivir	ielex-1.36-F	source form: rivier; loanword
EASTERN_ARMENIAN	hye	river	666	1.36	gɛt	ielex-1.36-D	source form: get
EASTERN_FRISIAN	frs	river	666	1.36	rəvi.ər	ielex-1.36-F	source form: rivier
ENGLISH	eng	river	666	1.36	rɪvə	ielex-1.36-F	source form: river; loanword
FAROESE	fao	river	666	1.36	ˈɛlvʊɹ	ielex-1.36-N	source form: elvur
FAROESE	fao	river	666	1.36	ɔaː	ielex-1.36-O	source form: á
FRENCH	fra	river	666	1.36	ʀivjɛʀ	ielex-1.36-F	source form: rivière
GREEK	ell	river	666	1.36	po̞ˈtami	ielex-1.36-K	source form: potami
