ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA_TOKENS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
5	Spanish	all	entero	e n t e r o	2	e n t e r o	v200 c105 c118 v200 c151 v042	98	stan1288
6	Danish	all	æˀl	æˀ l	5	æˀ l	v245 c548	98	dani1285
7	Bulgarian	all	vsiʧki	v s i ʧ k i	3	v s i tʃ k i	c446 c087 v191 c645 c831 v191	98	bulg1262
8	Greek	all	kaθe	k a θ e	7	k a θ e	c831 v130 c413 v200	98	mode1248
9	Romanian	all	tot	t o t	6	t o t	c118 v042 c118	98	roma1327
10	Russian	all	fsʲe	f sʲ e	3	f sʲ e	c447 c088 v200	98	russ1263
11	Polish	all	fʃɨsʦɨ	f ʃ ɨ s ʦ ɨ	3	f ʃ ɨ s ts ɨ	c447 c677 v116 c087 c015 v116	98	poli1260
12	Norwegian	all	ɑlə	ɑ l ə	5	ɑ l ə	v089 c548 v155	98	norw1258
13	French	all	tu	t u	6	t u	c118 v027	98	stan1290
14	Czech	all	fʃɪxnʲɪ	f ʃ ɪ x nʲ ɪ	3	f ʃ ɪ x nʲ ɪ	c447 c677 v219 c772 c099 v219	98	czec1258
15	Icelandic	all	at͡lir	a t͡l i r	5	a tl i r	v130 c559 v191 c151	98	icel1247
16	Italian	all	intɛro	i n t ɛ r o	2	i n t ɛ r o	v191 c105 c118 v229 c151 v042	98	ital1282
17	Hindi	all	səb	s ə b	4	s ə b	c087 v155 c254	98	hind1269
18	Portuguese	all	todu	t o d u	6	t o d u	c118 v042 c143 v027	98	port1283
19	Spanish	all	toðo	t o ð o	6	t o ð o	c118 v042 c415 v042	98	stan1288
20	Romanian	all	ɨntreg	ɨ n t r e g	2	ɨ n t r e g	v116 c105 c118 c151 v200 c824	98	roma1327
21	French	all	ɑ̃tje	ɑ̃ t j e	2	ɑ̃ t j e	v088 c118 c564 v200	98	stan1290
22	Italian	all	tutto	t u tː o	6	t u tː o	c118 v027 c128 v042	98	ital1282
23	Hindi	all	saːraː	s aː r aː	1	s aː r aː	c087 v137 c151 v137	98	hind1269
24	Dutch	ashes	ɑs	ɑ s	10	ɑ s	v089 c087	646	dutc1256
25	Swedish	ashes	asːka	a sː k a	10	a sː k a	v130 c070 c831 v130	646	swed1254
26	English	ashes	æʃ	æ ʃ	10	æ ʃ	v198 c677	646	stan1293
27	German	ashes	aʃə	a ʃ ə	10	a ʃ ə	v130 c677 v155	646	stan1295
28	Spanish	ashes	θeniθa	θ e n i θ a	12	θ e n i θ a	c413 v200 c105 v191 c413 v130	646	stan1288
29	Danish	ashes	asg	a s g	10	a s g	v130 c087 c824	646	dani1285
30	Bulgarian	ashes	pɛpɛl	p ɛ p ɛ l	8	p ɛ p ɛ l	c288 v229 c288 v229 c548	646	bulg1262
31	Greek	ashes	staxti	s t a x t i	14	s t a x t i	c087 c118 v130 c772 c118 v191	646	mode1248
32	Armenian	ashes	moχiɾ	m o χ i ɾ	9	m o χ i ɾ	c239 v042 c742 v191 c064	646	nucl1235
33	Romanian	ashes	ʧenuʃə	ʧ e n u ʃ ə	12	tʃ e n u ʃ ə	c645 v200 c105 v027 c677 v155	646	roma1327
34	Russian	ashes	zɐla	z ɐ l a	11	z ɐ l a	c078 v119 c548 v130	646	russ1263
35	Polish	ashes	pɔpʲuw	p ɔ pʲ u w	8	p ɔ pʲ u w	c288 v067 c270 v027 c457	646	poli1260
36	Norwegian	ashes	ɑsk	ɑ s k	-10	ɑ s k	v089 c087 c831	646	norw1258
37	French	ashes	sɑ̃dʁ	s ɑ̃ d ʁ	12	s ɑ̃ d ʁ	c087 v088 c143 c733	646	stan1290
38	Czech	ashes	popɛl	p o p ɛ l	8	p o p ɛ l	c288 v042 c288 v229 c548	646	czec1258
39	Icelandic	ashes	aska	a s k a	10	a s k a	v130 c087 c831 v130	646	icel1247
40	Italian	ashes	ʧenere	ʧ e n e r e	12	tʃ e n e r e	c645 v200 c105 v200 c151 v200	646	ital1282
41	Hindi	ashes	raːkʰ	r aː kʰ	13	r aː kʰ	c151 v137 c813	646	hind1269
42	Portuguese	ashes	sĩzɐ	s ĩ z ɐ	12	s ĩ z ɐ	c087 v193 c078 v119	646	port1283
43	Russian	ashes	pʲepɪlʲ	pʲ e p ɪ lʲ	8	pʲ e p ɪ lʲ	c270 v200 c288 v219 c540	646	russ1263
44	Dutch	bark	bɑst	b ɑ s t	19	b ɑ s t	c254 v089 c087 c118	1204	dutc1256
45	Swedish	bark	barːk	b a rː k	15	b a rː k	c254 v130 c160 c831	1204	swed1254
46	English	bark	bɑːrk	b ɑː r k	-15	b ɑː r k	c254 v091 c151 c831	1204	stan1293
47	German	bark	rɪndə	r ɪ n d ə	20	r ɪ n d ə	c151 v219 c105 c143 v155	1204	stan1295
48	Spanish	bark	koɾteθa	k o ɾ t e θ a	18	k o ɾ t e θ a	c831 v042 c064 c118 v200 c413 v130	1204	stan1288
49	Danish	bark	bɑːg	b ɑː g	15	b ɑː g	c254 v091 c824	1204	dani1285
50	Bulgarian	bark	kora	k o r a	23	k o r a	c831 v042 c151 v130	1204	bulg1262
51	Greek	bark	flios	f l j o s	16	f l j o s	c447 c548 c564 v042 c087	1204	mode1248
52	Armenian	bark	kɛʁɛv	k ɛ ʁ ɛ v	22	k ɛ ʁ ɛ v	c831 v229 c733 v229 c446	1204	nucl1235
53	Romanian	bark	skwarʦə	s k w a r ʦ ə	23	s k w a r ts ə	c087 c831 c457 v130 c151 c015 v155	1204	roma1327
54	Russian	bark	kɐra	k ɐ r a	23	k ɐ r a	c831 v119 c151 v130	1204	russ1263
55	Polish	bark	kɔra	k ɔ r a	23	k ɔ r a	c831 v067 c151 v130	1204	poli1260
56	Norwegian	bark	bɑɾk	b ɑ ɾ k	-15	b ɑ ɾ k	c254 v089 c064 c831	1204	norw1258
57	French	bark	ekɔʁs	e k ɔ ʁ s	23	e k ɔ ʁ s	v200 c831 v067 c733 c087	1204	stan1290
58	Czech	bark	kuːra	k uː r a	23	k uː r a	c831 v019 c151 v130	1204	czec1258
59	Icelandic	bark	bœrkʏr	b œ r k ʏ r	15	b œ r k ʏ r	c254 v178 c151 c831 v173 c151	1204	icel1247
60	Italian	bark	korteʧʧa	k o r t e tːʃ a	18	k o r t e tːʃ a	c831 v042 c151 c118 v200 c196 v130	1204	ital1282
61	Hindi	bark	ʧʰaːl	ʧʰ aː l	21	tʃʰ aː l	c655 v137 c548	1204	hind1269
62	Portuguese	bark	kaʃkɐ	k a ʃ k ɐ	17	k a ʃ k ɐ	c831 v130 c677 c831 v119	1204	port1283
63	Dutch	belly	bœyk	b œi k	27	b œi k	c254 d042 c831	1251	dutc1256
64	Swedish	belly	maːge	m aː g e	32	m aː g e	c239 v137 c824 v200	1251	swed1254
65	English	belly	bɛlɪ	b ɛ l ɪ	28	b ɛ l ɪ	c254 v229 c548 v219	1251	stan1293
66	German	belly	baux	b au x	27	b au x	c254 d026 c772	1251	stan1295
67	Spanish	belly	bjentre	b j e n t r e	26	b j e n t r e	c254 c564 v200 c105 c118 c151 v200	1251	stan1288
68	Danish	belly	ɔnʌliwˀ	ɔ n ʌ l i wˀ	34	ɔ n ʌ l i wˀ	v067 c105 v097 c548 v191 c463	1251	dani1285
69	Bulgarian	belly	korɛm	k o r ɛ m	-30	k o r ɛ m	c831 v042 c151 v229 c239	1251	bulg1262
70	Greek	belly	ciʎa	c i ʎ a	24	c i ʎ a	c600 v191 c582 v130	1251	mode1248
71	Romanian	belly	pənteʦe	p ə n t e ʦ e	33	p ə n t e ts e	c288 v155 c105 c118 v200 c015 v200	1251	roma1327
72	Russian	belly	ʒɨvot	ʒ ɨ v o t	31	ʒ ɨ v o t	c679 v116 c446 v042 c118	1251	russ1263
73	Polish	belly	bʒux	b ʒ u x	35	b ʒ u x	c254 c679 v027 c772	1251	poli1260
74	Norwegian	belly	mɑːgə	m ɑː g ə	32	m ɑː g ə	c239 v091 c824 v155	1251	norw1258
75	French	belly	vɑ̃tʁ	v ɑ̃ t ʁ	26	v ɑ̃ t ʁ	c446 v088 c118 c733	1251	stan1290
76	Czech	belly	brɪxo	b r ɪ x o	35	b r ɪ x o	c254 c151 v219 c772 v042	1251	czec1258
77	Icelandic	belly	kʰvɪːðʏr	kʰ v ɪː ð ʏ r	36	kʰ v ɪː ð ʏ r	c813 c446 v221 c415 v173 c151	1251	icel1247
78	Italian	belly	panʧa	p a n ʧ a	33	p a n tʃ a	c288 v130 c105 c645 v130	1251	ital1282
79	Hindi	belly	peːʈ	p eː ʈ	-25	p eː ʈ	c288 v202 c711	1251	hind1269
80	Portuguese	belly	vẽtrə	v ẽ t r ə	26	v ẽ t r ə	c446 v201 c118 c151 v155	1251	port1283
81	Swedish	belly	buk	b u k	27	b u k	c254 v027 c831	1251	swed1254
82	Danish	belly	mæːvə	m æː v ə	32	m æː v ə	c239 v199 c446 v155	1251	dani1285
83	Norwegian	belly	bʉːk	b ʉː k	27	b ʉː k	c254 v100 c831	1251	norw1258
84	Italian	belly	vɛntre	v ɛ n t r e	26	v ɛ n t r e	c446 v229 c105 c118 c151 v200	1251	ital1282
85	Portuguese	belly	bɐʀigɐ	b ɐ ʀ i g ɐ	29	b ɐ ʀ i g ɐ	c254 v119 c761 v191 c824 v119	1251	port1283
86	Dutch	big	xroːt	x r oː t	46	x r oː t	c772 c151 v035 c118	1202	dutc1256
87	Swedish	big	stoːr	s t oː r	43	s t oː r	c087 c118 v035 c151	1202	swed1254
88	English	big	bɪɡ	b ɪ ɡ	40	b ɪ g	c254 v219 c824	1202	stan1293
89	German	big	ɡroːs	ɡ r oː s	46	g r oː s	c824 c151 v035 c087	1202	stan1295
90	Spanish	big	ɡɾande	ɡ ɾ a n d e	47	g ɾ a n d e	c824 c064 v130 c105 c143 v200	1202	stan1288
91	Danish	big	sdoˀʁ	s d oˀ ʁ	43	s d oˀ ʁ	c087 c143 v048 c733	1202	dani1285
92	Bulgarian	big	golʲam	g o lʲ a m	38	g o lʲ a m	c824 v042 c540 v130 c239	1202	bulg1262
93	Greek	big	meɣalos	m e ɣ a l o s	37	m e ɣ a l o s	c239 v200 c774 v130 c548 v042 c087	1202	mode1248
94	Armenian	big	mɛʦ	m ɛ ʦ	37	m ɛ ts	c239 v229 c015	1202	nucl1235
95	Romanian	big	mare	m a r e	42	m a r e	c239 v130 c151 v200	1202	roma1327
96	Russian	big	bɐlʲʃoj	b ɐ lʲ ʃ o j	44	b ɐ lʲ ʃ o j	c254 v119 c540 c677 v042 c564	1202	russ1263
97	Polish	big	vʲɛlki	vʲ ɛ l k i	41	vʲ ɛ l k i	c429 v229 c548 c831 v191	1202	poli1260
98	Norwegian	big	stuːɾ	s t uː ɾ	-43	s t uː ɾ	c087 c118 v019 c064	1202	norw1258
99	French	big	ɡʁã	ɡ ʁ ã	47	g ʁ ã	c824 c733 v147	1202	stan1290
100	Czech	big	vɛlkiː	v ɛ l k iː	41	v ɛ l k iː	c446 v229 c548 c831 v183	1202	czec1258
101	Icelandic	big	stouːr	s t o uː r	43	s t o uː r	c087 c118 v042 v019 c151	1202	icel1247
102	Italian	big	ɡrande	ɡ r a n d e	47	g r a n d e	c824 c151 v130 c105 c143 v200	1202	ital1282
103	Hindi	big	bəɽaː	b ə ɽ aː	39	b ə ɽ aː	c254 v155 c697 v137	1202	hind1269
104	Portuguese	big	grɐ̃də	g r ɐ̃ d ə	47	g r ɐ̃ d ə	c824 c151 v120 c143 v155	1202	port1283
105	English	big	ɡreɪt	ɡ r eɪ t	46	g r eɪ t	c824 c151 d048 c118	1202	stan1293
106	Polish	big	duʒɨ	d u ʒ ɨ	45	d u ʒ ɨ	c143 v027 c679 v116	1202	poli1260
107	Icelandic	big	mɪːcɪt͡l	m ɪː c ɪ t͡l	37	m ɪː c ɪ tl	c239 v221 c600 v219 c559	1202	icel1247
108	Dutch	bird	voːɣəl	v oː ɣ ə l	51	v oː ɣ ə l	c446 v035 c774 v155 c548	937	dutc1256
109	Swedish	bird	foːgel	f oː g e l	51	f oː g e l	c447 v035 c824 v200 c548	937	swed1254
110	English	bird	bɜːrd	b ɜː r d	53	b ɜː r d	c254 v150 c151 c143	937	stan1293
111	German	bird	foːɡəl	f oː ɡ ə l	51	f oː g ə l	c447 v035 c824 v155 c548	937	stan1295
112	Spanish	bird	paxaro	p a x a r o	48	p a x a r o	c288 v130 c772 v130 c151 v042	937	stan1288
113	Danish	bird	fuˀl	f uˀ l	51	f uˀ l	c447 v013 c548	937	dani1285
114	Bulgarian	bird	ptiʦə	p t i ʦ ə	51	p t i ts ə	c288 c118 v191 c015 v155	937	bulg1262
115	Greek	bird	puli	p u l i	-50	p u l i	c288 v027 c548 v191	937	mode1248
116	Armenian	bird	tʰərʧʰun	tʰ ə r ʧʰ u n	48	tʰ ə r tʃʰ u n	c136 v155 c151 c655 v027 c105	937	nucl1235
117	Romanian	bird	pasəre	p a s ə r e	48	p a s ə r e	c288 v130 c087 v155 c151 v200	937	roma1327
118	Russian	bird	ptʲiʦə	p tʲ i ʦ ə	51	p tʲ i ts ə	c288 c113 v191 c015 v155	937	russ1263
119	Polish	bird	ptak	p t a k	51	p t a k	c288 c118 v130 c831	937	poli1260
120	Norwegian	bird	fʉːl	f ʉː l	51	f ʉː l	c447 v100 c548	937	norw1258
121	French	bird	wazo	w a z o	52	w a z o	c457 v130 c078 v042	937	stan1290
122	Czech	bird	ptaːk	p t aː k	51	p t aː k	c288 c118 v137 c831	937	czec1258
123	Icelandic	bird	fʏkl	f ʏ k l	51	f ʏ k l	c447 v173 c831 c548	937	icel1247
124	Italian	bird	uʧːɛllo	u tːʃ ɛ lː o	52	u tːʃ ɛ lː o	v027 c196 v229 c539 v042	937	ital1282
125	Hindi	bird	ʧɪɽɪyaː	ʧ ɪ ɽ i y a:	-49	tʃ ɪ ɽ i y aː	c645 v219 c697 v191 v166 v137	937	hind1269
126	Portuguese	bird	avə	a v ə	52	a v ə	v130 c446 v155	937	port1283
127	Spanish	bird	ave	a v e	52	a v e	v130 c446 v200	937	stan1288
128	Portuguese	bird	pasɐru	p a s ɐ r u	48	p a s ɐ r u	c288 v130 c087 v119 c151 v027	937	port1283
129	Dutch	bite	bɛɪtə	b ɛɪ t ə	54	b ɛi t ə	c254 d059 c118 v155	1403	dutc1256
130	Swedish	bite	biːta	b iː t a	54	b iː t a	c254 v183 c118 v130	1403	swed1254
131	English	bite	baɪt	b aɪ t	54	b aɪ t	c254 d032 c118	1403	stan1293
132	German	bite	baisən	b ai s ə n	54	b ai s ə n	c254 d030 c087 v155 c105	1403	stan1295
133	Spanish	bite	moɾðeɾ	m o ɾ ð e ɾ	56	m o ɾ ð e ɾ	c239 v042 c064 c415 v200 c064	1403	stan1288
134	Danish	bite	biːðə	b iː ð ə	54	b iː ð ə	c254 v183 c415 v155	1403	dani1285
135	Bulgarian	bite	xəpa	x ə p a	58	x ə p a	c772 v155 c288 v130	1403	bulg1262
136	Greek	bite	ðaŋɡono	ð a ŋ ɡ o n o	59	ð a ŋ g o n o	c415 v130 c795 c824 v042 c105 v042	1403	mode1248
137	Armenian	bite	kəʦɛl	k ə ʦ ɛ l	57	k ə ts ɛ l	c831 v155 c015 v229 c548	1403	nucl1235
138	Romanian	bite	muʃka	m u ʃ k a	56	m u ʃ k a	c239 v027 c677 c831 v130	1403	roma1327
139	Russian	bite	kusatʲ	k u s a tʲ	57	k u s a tʲ	c831 v027 c087 v130 c113	1403	russ1263
140	Polish	bite	ssaʨ	sː a ʨ	57	sː a tɕ	c070 v130 c198	1403	poli1260
141	Norwegian	bite	biːtə	b iː t ə	54	b iː t ə	c254 v183 c118 v155	1403	norw1258
142	French	bite	mɔʁdʁ	m ɔ ʁ d ʁ	56	m ɔ ʁ d ʁ	c239 v067 c733 c143 c733	1403	stan1290
143	Czech	bite	kowsat	k o w s a t	57	k o w s a t	c831 v042 c457 c087 v130 c118	1403	czec1258
144	Icelandic	bite	piːta	p iː t a	54	p iː t a	c288 v183 c118 v130	1403	icel1247
145	Italian	bite	mɔrdere	m ɔ r d e r e	56	m ɔ r d e r e	c239 v067 c151 c143 v200 c151 v200	1403	ital1282
146	Hindi	bite	kaːʈnaː	k aː ʈ n aː	55	k aː ʈ n aː	c831 v137 c711 c105 v137	1403	hind1269
147	Portuguese	bite	murder	m u r d e r	56	m u r d e r	c239 v027 c151 c143 v200 c151	1403	port1283
148	Dutch	black	zʋɑrt	z ʋ ɑ r t	60	z ʋ ɑ r t	c078 c424 v089 c151 c118	163	dutc1256
149	Swedish	black	svartː	s v a r tː	60	s v a r tː	c087 c446 v130 c151 c128	163	swed1254
150	English	black	blæk	b l æ k	61	b l æ k	c254 c548 v198 c831	163	stan1293
151	German	black	ʃvart͡s	ʃ v a r t͡s	60	ʃ v a r ts	c677 c446 v130 c151 c015	163	stan1295
152	Spanish	black	neɣɾo	n e ɣ ɾ o	63	n e ɣ ɾ o	c105 v200 c774 c064 v042	163	stan1288
153	Danish	black	sɒːd	s ɒː d	60	s ɒː d	c087 v053 c143	163	dani1285
154	Bulgarian	black	ʧɛrɛn	ʧ ɛ r ɛ n	66	tʃ ɛ r ɛ n	c645 v229 c151 v229 c105	163	bulg1262
155	Greek	black	mavros	m a v r o s	64	m a v r o s	c239 v130 c446 c151 v042 c087	163	mode1248
156	Armenian	black	sɛv	s ɛ v	62	s ɛ v	c087 v229 c446	163	nucl1235
157	Romanian	black	neɡru	n e ɡ r u	63	n e g r u	c105 v200 c824 c151 v027	163	roma1327
158	Russian	black	ʧornɨj	ʧ o r n ɨ j	66	tʃ o r n ɨ j	c645 v042 c151 c105 v116 c564	163	russ1263
159	Polish	black	ʧarnɨ	ʧ a r n ɨ	66	tʃ a r n ɨ	c645 v130 c151 c105 v116	163	poli1260
160	Norwegian	black	sɔʈ	s ɔ ʈ	60	s ɔ ʈ	c087 v067 c711	163	norw1258
161	French	black	nwaʁ	n w a ʁ	63	n w a ʁ	c105 c457 v130 c733	163	stan1290
162	Czech	black	ʧɛrniː	ʧ ɛ r n iː	66	tʃ ɛ r n iː	c645 v229 c151 c105 v183	163	czec1258
163	Icelandic	black	svar̥tʏr	s v a r̥ t ʏ r	60	s v a r̥ t ʏ r	c087 c446 v130 c153 c118 v173 c151	163	icel1247
164	Italian	black	nero	n e r o	63	n e r o	c105 v200 c151 v042	163	ital1282
165	Hindi	black	kaːlaː	k aː l aː	65	k aː l aː	c831 v137 c548 v137	163	hind1269
166	Portuguese	black	pretu	p r e t u	67	p r e t u	c288 c151 v200 c118 v027	163	port1283
167	Dutch	blood	bluːt	b l uː t	71	b l uː t	c254 c548 v019 c118	946	dutc1256
168	Swedish	blood	bloːd	b l oː d	71	b l oː d	c254 c548 v035 c143	946	swed1254
169	English	blood	blʌd	b l ʌ d	71	b l ʌ d	c254 c548 v097 c143	946	stan1293
170	German	blood	bluːt	b l uː t	71	b l uː t	c254 c548 v019 c118	946	stan1295
171	Spanish	blood	saŋɡɾe	s a ŋ ɡ ɾ e	69	s a ŋ g ɾ e	c087 v130 c795 c824 c064 v200	946	stan1288
172	Danish	blood	bloˀð	b l oˀ ð	71	b l oˀ ð	c254 c548 v048 c415	946	dani1285
173	Bulgarian	blood	krɤf	k r ɤ f	68	k r ɤ f	c831 c151 v084 c447	946	bulg1262
174	Greek	blood	ema	e m a	70	e m a	v200 c239 v130	946	mode1248
175	Armenian	blood	ɑɾɪun	ɑ ɾ ɪ u n	69	ɑ ɾ ɪ u n	v089 c064 v219 v027 c105	946	nucl1235
176	Romanian	blood	sɨnʤe	s ɨ n ʤ e	69	s ɨ n dʒ e	c087 v116 c105 c649 v200	946	roma1327
177	Russian	blood	krofʲ	k r o fʲ	68	k r o fʲ	c831 c151 v042 c430	946	russ1263
178	Polish	blood	krɛf	k r ɛ f	68	k r ɛ f	c831 c151 v229 c447	946	poli1260
179	Norwegian	blood	bluː	b l uː	71	b l uː	c254 c548 v019	946	norw1258
180	French	blood	sɑ̃	s ɑ̃	69	s ɑ̃	c087 v088	946	stan1290
181	Czech	blood	krɛf	k r ɛ f	68	k r ɛ f	c831 c151 v229 c447	946	czec1258
182	Icelandic	blood	plouːθ	p l o uː θ	71	p l o uː θ	c288 c548 v042 v019 c413	946	icel1247
183	Italian	blood	saŋɡwe	s a ŋ ɡ w e	69	s a ŋ g w e	c087 v130 c795 c824 c457 v200	946	ital1282
184	Portuguese	blood	sɐ̃gə	s ɐ̃ g ə	69	s ɐ̃ g ə	c087 v120 c824 v155	946	port1283
185	Dutch	bone	beːn	b eː n	76	b eː n	c254 v202 c105	1394	dutc1256
186	Swedish	bone	beːn	b eː n	76	b eː n	c254 v202 c105	1394	swed1254
187	English	bone	bəʊn	b əʊ n	76	b əu n	c254 d029 c105	1394	stan1293
188	German	bone	knɔxən	k n ɔ x ə n	77	k n ɔ x ə n	c831 c105 v067 c772 v155 c105	1394	stan1295
189	Spanish	bone	weso	w e s o	73	w e s o	c457 v200 c087 v042	1394	stan1288
190	Danish	bone	beˀn	b eˀ n	76	b eˀ n	c254 v205 c105	1394	dani1285
191	Bulgarian	bone	kɔst	k ɔ s t	75	k ɔ s t	c831 v067 c087 c118	1394	bulg1262
192	Greek	bone	kokalo	k o k a l o	-72	k o k a l o	c831 v042 c831 v130 c548 v042	1394	mode1248
193	Armenian	bone	voskoɾ	v o s k o ɾ	73	v o s k o ɾ	c446 v042 c087 c831 v042 c064	1394	nucl1235
194	Romanian	bone	os	o s	73	o s	v042 c087	1394	roma1327
195	Russian	bone	kosʲtʲ	k o sʲ tʲ	75	k o sʲ tʲ	c831 v042 c088 c113	1394	russ1263
196	Polish	bone	kɔɕʨ	k ɔ ɕ ʨ	75	k ɔ ɕ tɕ	c831 v067 c202 c198	1394	poli1260
197	Norwegian	bone	beːn	b eː n	76	b eː n	c254 v202 c105	1394	norw1258
198	French	bone	ɔs	ɔ s	73	ɔ s	v067 c087	1394	stan1290
199	Czech	bone	kost	k o s t	75	k o s t	c831 v042 c087 c118	1394	czec1258
200	Icelandic	bone	peiːn	p e iː n	76	p e iː n	c288 v200 v183 c105	1394	icel1247
201	Italian	bone	ɔsso	ɔ sː o	73	ɔ sː o	v067 c070 v042	1394	ital1282
202	Hindi	bone	həɖɖiː	h ə ɖː iː	74	h ə ɖː iː	c401 v155 c707 v183	1394	hind1269
203	Portuguese	bone	osu	o s u	73	o s u	v042 c087 v027	1394	port1283
204	Dutch	breast	bɔrst	b ɔ r s t	79	b ɔ r s t	c254 v067 c151 c087 c118	1402	dutc1256
205	Swedish	breast	brøst	b r ø s t	79	b r ø s t	c254 c151 v171 c087 c118	1402	swed1254
206	English	breast	brɛst	b r ɛ s t	79	b r ɛ s t	c254 c151 v229 c087 c118	1402	stan1293
207	German	breast	brʊst	b r ʊ s t	79	b r ʊ s t	c254 c151 v056 c087 c118	1402	stan1295
208	Spanish	breast	seno	s e n o	78	s e n o	c087 v200 c105 v042	1402	stan1288
209	Danish	breast	bʁœsd	b ʁ œ s d	79	b ʁ œ s d	c254 c733 v178 c087 c143	1402	dani1285
210	Bulgarian	breast	ɡrɤt	ɡ r ɤ t	83	g r ɤ t	c824 c151 v084 c118	1402	bulg1262
211	Greek	breast	stiθos	s t i θ o s	78	s t i θ o s	c087 c118 v191 c413 v042 c087	1402	mode1248
212	Armenian	breast	kuɾʦkʰ	k u ɾ ʦ kʰ	83	k u ɾ ts kʰ	c831 v027 c064 c015 c813	1402	nucl1235
213	Romanian	breast	pjept	p j e p t	82	p j e p t	c288 c564 v200 c288 c118	1402	roma1327
214	Russian	breast	ɡrutʲ	ɡ r u tʲ	83	g r u tʲ	c824 c151 v027 c113	1402	russ1263
215	Polish	breast	pʲɛrɕ	pʲ ɛ r ɕ	80	pʲ ɛ r ɕ	c270 v229 c151 c202	1402	poli1260
216	Norwegian	breast	bɾyst	b ɾ y s t	-79	b ɾ y s t	c254 c064 v166 c087 c118	1402	norw1258
217	French	breast	pwatʁin	p w a t ʁ i n	82	p w a t ʁ i n	c288 c457 v130 c118 c733 v191 c105	1402	stan1290
218	Czech	breast	pr̩sa	p r̩ s a	80	p r̩ s a	c288 c152 c087 v130	1402	czec1258
219	Icelandic	breast	b̥rjousd̥	b̥ r j ou s d̥	79	b̥ r j ou s d̥	c280 c151 c564 d006 c087 c107	1402	icel1247
220	Italian	breast	seno	s e n o	78	s e n o	c087 v200 c105 v042	1402	ital1282
221	Hindi	breast	ʧaːtiː	ʧ aː t iː	81	tʃ aː t iː	c645 v137 c118 v183	1402	hind1269
222	Portuguese	breast	pɐjtu	p ɐ j t u	82	p ɐ j t u	c288 v119 c564 c118 v027	1402	port1283
223	Spanish	breast	peʧo	p e ʧ o	82	p e tʃ o	c288 v200 c645 v042	1402	stan1288
224	Romanian	breast	sɨn	s ɨ n	78	s ɨ n	c087 v116 c105	1402	roma1327
225	French	breast	sɛ̃	s ɛ̃	78	s ɛ̃	c087 v231	1402	stan1290
226	Italian	breast	pɛtto	p ɛ tː o	82	p ɛ tː o	c288 v229 c128 v042	1402	ital1282
227	Portuguese	breast	sɐju	s ɐ j u	78	s ɐ j u	c087 v119 c564 v027	1402	port1283
228	Dutch	burn	brɑndə	b r ɑ n d ə	89	b r ɑ n d ə	c254 c151 v089 c105 c143 v155	141	dutc1256
229	Swedish	burn	brɛnːa	b r ɛ nː a	89	b r ɛ nː a	c254 c151 v229 c104 v130	141	swed1254
230	English	burn	bɜːrn	b ɜː r n	89	b ɜː r n	c254 v150 c151 c105	141	stan1293
231	German	burn	brɛnən	b r ɛ n ə n	89	b r ɛ n ə n	c254 c151 v229 c105 v155 c105	141	stan1295
232	Spanish	burn	kemaɾ	k e m a ɾ	90	k e m a ɾ	c831 v200 c239 v130 c064	141	stan1288
