ID	DOCULECT	CONCEPT	COUNTERPART	IPA	TOKENS	COGID	CLPA_TOKENS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
17	French	animal	animal	animal	a n i m a l	-1016	a n i m a l	v130 c105 v191 c239 v130 c548	619	stan1290
18	German	animal	Tier	tiːr	t iː r	1015	t iː r	c118 v183 c151	619	stan1295
19	Hawaiian	animal	holoholona	holoholona	h o l o h o l o n a	1020	h o l o h o l o n a	c401 v042 c548 v042 c401 v042 c548 v042 c105 v130	619	hawa1245
20	Navajo	animal	naaldeehii	naːldeːhiː	n aː l d eː h iː	1019	n aː l d eː h iː	c105 v137 c548 c143 v202 c401 v183	619	nava1243
21	Turkish	animal	hayvan	hajvan	h a j v a n	-1017	h a j v a n	c401 v130 c564 c446 v130 c105	619	nucl1301
22	Albanian	ashes	hi	hir	h i r	274	h i r	c401 v191 c151	646	gheg1238
23	English	ashes	ashes	aʃ	a ʃ	271	a ʃ	v130 c677	646	stan1293
24	French	ashes	cendre	sɑ̃dr	s ɑ̃ d r	272	s ɑ̃ d r	c087 v088 c143 c151	646	stan1290
25	German	ashes	Asche	aʃə	a ʃ ə	271	a ʃ ə	v130 c677 v155	646	stan1295
26	Hawaiian	ashes	lehu	lehu	l e h u	276	l e h u	c548 v200 c401 v027	646	hawa1245
27	Navajo	ashes	ƚeeshch'ih	ɬeːʃʧˀih	ɬ eː ʃ ʧˀ i h	275	ɬ eː ʃ tʃˀ i h	c534 v202 c677 c646 v191 c401	646	nava1243
28	Turkish	ashes	kül	kyl	k y l	273	k y l	c831 v166 c548	646	nucl1301
29	Albanian	at	në	nə	n ə	954	n ə	c105 v155	1461	gheg1238
30	English	at	at	at	a t	952	a t	v130 c118	1461	stan1293
31	French	at	à	a	a	952	a	v130	1461	stan1290
32	German	at	an	an	a n	951	a n	v130 c105	1461	stan1295
33	Hawaiian	at	ma	ma	m a	956	m a	c239 v130	1461	hawa1245
34	Navajo	at	-di	di	d i	955	d i	c143 v191	1461	nava1243
35	Turkish	at	-de	de	d e	953	d e	c143 v200	1461	nucl1301
36	Albanian	back	shpinë	ʃpin	ʃ p i n	-369	ʃ p i n	c677 c288 v191 c105	1291	gheg1238
37	English	back	back	bak	b a k	367	b a k	c254 v130 c831	1291	stan1293
38	French	back	dos	do	d o	366	d o	c143 v042	1291	stan1290
39	German	back	Rücken	rykən	r y k ə n	365	r y k ə n	c151 v166 c831 v155 c105	1291	stan1295
40	Hawaiian	back	kua	kua	k u a	372	k u a	c831 v027 v130	1291	hawa1245
41	Navajo	back	'anághah	nayɣah	n ai ɣ a h	370	n ai ɣ a h	c105 d030 c774 v130 c401	1291	nava1243
42	Turkish	back	arka	arka	a r k a	368	a r k a	v130 c151 c831 v130	1291	nucl1301
43	Albanian	bad	keq	kec	k e c	-281	k e c	c831 v200 c600	1292	gheg1238
44	English	bad	bad	bad	b a d	279	b a d	c254 v130 c143	1292	stan1293
45	French	bad	mauvais	mɔvɛz	m ɔ v ɛ z	278	m ɔ v ɛ z	c239 v067 c446 v229 c078	1292	stan1290
46	German	bad	schlecht	ʃlext	ʃ l e x t	277	ʃ l e x t	c677 c548 v200 c772 c118	1292	stan1295
47	Hawaiian	bad	`ino	ʔino	ʔ i n o	283	ʔ i n o	c405 v191 c105 v042	1292	hawa1245
48	Navajo	bad	doo yá'áshǫ́ǫ da	jayʔayʃõõ	j ai ʔ ai ʃ õ õ	282	j ai ʔ ai ʃ õ õ	c564 d030 c405 d030 c677 v038 v038	1292	nava1243
49	Turkish	bad	kötü	køty	k ø t y	-280	k ø t y	c831 v171 c118 v166	1292	nucl1301
50	Albanian	bark	shkëlbozë	ʃkəlboz	ʃ k ə l b o z	413	ʃ k ə l b o z	c677 c831 v155 c548 c254 v042 c078	1204	gheg1238
51	English	bark	bark	bɑrk	b ɑ r k	-411	b ɑ r k	c254 v089 c151 c831	1204	stan1293
52	French	bark	écorce	ekɔrs	e k ɔ r s	410	e k ɔ r s	v200 c831 v067 c151 c087	1204	stan1290
53	German	bark	Rinde	rində	r i n d ə	409	r i n d ə	c151 v191 c105 c143 v155	1204	stan1295
54	Hawaiian	bark	`ili	ʔili	ʔ i l i	415	ʔ i l i	c405 v191 c548 v191	1204	hawa1245
55	Navajo	bark	'akásht'óózh	kayʃtˀoːʒ	k ai ʃ tˀ oː ʒ	414	k ai ʃ tˀ oː ʒ	c831 d030 c677 c840 v035 c679	1204	nava1243
56	Turkish	bark	kabuk	kabuk	k a b u k	412	k a b u k	c831 v130 c254 v027 c831	1204	nucl1301
57	Albanian	because	sepse	sepse	s e p s e	336	s e p s e	c087 v200 c288 c087 v200	1157	gheg1238
58	English	because	because	bəkɔz	b ə k ɔ z	-337	b ə k ɔ z	c254 v155 c831 v067 c078	1157	stan1293
59	French	because	parce que	pars	p a r s	336	p a r s	c288 v130 c151 c087	1157	stan1290
60	German	because	weil	vail	v ai l	335	v ai l	c446 d030 c548	1157	stan1295
61	Hawaiian	because	ā mea	aːmea	aː m e a	341	aː m e a	v137 c239 v200 v130	1157	hawa1245
62	Navajo	because	háálá	haːlay	h aː l ai	339	h aː l ai	c401 v137 c548 d030	1157	nava1243
63	Turkish	because	çünkü	ʧynky	ʧ y n k y	338	tʃ y n k y	c645 v166 c105 c831 v166	1157	nucl1301
64	Albanian	belly	bark	bark	b a r k	1012	b a r k	c254 v130 c151 c831	1251	gheg1238
65	English	belly	belly	bɛli	b ɛ l i	1010	b ɛ l i	c254 v229 c548 v191	1251	stan1293
66	French	belly	ventre	vɑ̃tr	v ɑ̃ t r	1009	v ɑ̃ t r	c446 v088 c118 c151	1251	stan1290
67	German	belly	Bauch	baux	b au x	1008	b au x	c254 d026 c772	1251	stan1295
68	Hawaiian	belly	`ōpū	ʔoːpuː	ʔ oː p uː	1014	ʔ oː p uː	c405 v035 c288 v019	1251	hawa1245
69	Navajo	belly	'abid	bid	b i d	1013	b i d	c254 v191 c143	1251	nava1243
70	Turkish	belly	karın	karn	k a r n	1011	k a r n	c831 v130 c151 c105	1251	nucl1301
71	Albanian	big	madh	mað	m a ð	198	m a ð	c239 v130 c415	1202	gheg1238
72	English	big	big	bɪg	b ɪ g	196	b ɪ g	c254 v219 c824	1202	stan1293
73	French	big	grand	grɑ̃d	g r ɑ̃ d	195	g r ɑ̃ d	c824 c151 v088 c143	1202	stan1290
74	German	big	groß	groːs	g r oː s	194	g r oː s	c824 c151 v035 c087	1202	stan1295
75	Hawaiian	big	nui	nui	n u i	200	n u i	c105 v027 v191	1202	hawa1245
76	Navajo	big	'áníƚtso	ʔayniɬʦo	ʔ ai n i ɬ ʦ o	199	ʔ ai n i ɬ ts o	c405 d030 c105 v191 c534 c015 v042	1202	nava1243
77	Turkish	big	büyük	byjyk	b y j y k	197	b y j y k	c254 v166 c564 v166 c831	1202	nucl1301
78	Albanian	bird	zog	zog	z o g	-482	z o g	c078 v042 c824	937	gheg1238
79	English	bird	bird	bərd	b ə r d	480	b ə r d	c254 v155 c151 c143	937	stan1293
80	French	bird	oiseau	wazo	w a z o	479	w a z o	c457 v130 c078 v042	937	stan1290
81	German	bird	Vogel	foːgəl	f oː g ə l	478	f oː g ə l	c447 v035 c824 v155 c548	937	stan1295
82	Hawaiian	bird	manu	manu	m a n u	484	m a n u	c239 v130 c105 v027	937	hawa1245
83	Navajo	bird	tsídii	ʦidiː	ʦ i d iː	483	ts i d iː	c015 v191 c143 v183	937	nava1243
84	Turkish	bird	kuş	kuʃ	k u ʃ	481	k u ʃ	c831 v027 c677	937	nucl1301
85	Albanian	bite	kafshon	kafʃo	k a f ʃ o	714	k a f ʃ o	c831 v130 c447 c677 v042	1403	gheg1238
86	English	bite	bites	bait	b ai t	711	b ai t	c254 d030 c118	1403	stan1293
87	French	bite	mord	mɔr	m ɔ r	712	m ɔ r	c239 v067 c151	1403	stan1290
88	German	bite	beißt	bais	b ai s	711	b ai s	c254 d030 c087	1403	stan1295
89	Hawaiian	bite	nahu	nahu	n a h u	716	n a h u	c105 v130 c401 v027	1403	hawa1245
90	Navajo	bite	'aháshháásh	ʔahayɬhaːʃ	ʔ a h ai ɬ h aː ʃ	715	ʔ a h ai ɬ h aː ʃ	c405 v130 c401 d030 c534 c401 v137 c677	1403	nava1243
91	Turkish	bite	ısırıyor	ɯsɯr	ɯ s ɯ r	713	ɯ s ɯ r	v081 c087 v081 c151	1403	nucl1301
92	Albanian	black	zi	zez	z e z	133	z e z	c078 v200 c078	163	gheg1238
93	English	black	black	blak	b l a k	131	b l a k	c254 c548 v130 c831	163	stan1293
94	French	black	noir	nwar	n w a r	130	n w a r	c105 c457 v130 c151	163	stan1290
95	German	black	schwarz	ʃvarʦ	ʃ v a r ʦ	129	ʃ v a r ts	c677 c446 v130 c151 c015	163	stan1295
96	Hawaiian	black	`ele`ele	ʔeleʔele	ʔ e l e ʔ e l e	136	ʔ e l e ʔ e l e	c405 v200 c548 v200 c405 v200 c548 v200	163	hawa1245
97	Navajo	black	ƚizhin	ɬiʒin	ɬ i ʒ i n	134	ɬ i ʒ i n	c534 v191 c679 v191 c105	163	nava1243
98	Turkish	black	kara	kara	k a r a	132	k a r a	c831 v130 c151 v130	163	nucl1301
99	Albanian	blood	gjak	ɟakr	ɟ a k r	1115	ɟ a k r	c603 v130 c831 c151	946	gheg1238
100	English	blood	blood	bləd	b l ə d	1112	b l ə d	c254 c548 v155 c143	946	stan1293
101	French	blood	sang	sɑ̃	s ɑ̃	1113	s ɑ̃	c087 v088	946	stan1290
102	German	blood	Blut	bluːt	b l uː t	1112	b l uː t	c254 c548 v019 c118	946	stan1295
103	Hawaiian	blood	koko	koko	k o k o	1117	k o k o	c831 v042 c831 v042	946	hawa1245
104	Navajo	blood	diƚ	diɬ	d i ɬ	1116	d i ɬ	c143 v191 c534	946	nava1243
105	Turkish	blood	kan	kan	k a n	1114	k a n	c831 v130 c105	946	nucl1301
106	Albanian	blow	fryn	fry	f r y	81	f r y	c447 c151 v166	175	gheg1238
107	English	blow	blows	blo	b l o	78	b l o	c254 c548 v042	175	stan1293
108	French	blow	vente	vɑ̃te	v ɑ̃ t e	79	v ɑ̃ t e	c446 v088 c118 v200	175	stan1290
109	German	blow	bläst	blaːz	b l aː z	78	b l aː z	c254 c548 v137 c078	175	stan1295
110	Hawaiian	blow	puhi	puhi	p u h i	83	p u h i	c288 v027 c401 v191	175	hawa1245
111	Navajo	blow	ních'i	niʧˀi	n i ʧˀ i	82	n i tʃˀ i	c105 v191 c646 v191	175	nava1243
112	Turkish	blow	esiyor	es	e s	80	e s	v200 c087	175	nucl1301
113	Albanian	bone	kockë	koʦk	k o ʦ k	608	k o ts k	c831 v042 c015 c831	1394	gheg1238
114	English	bone	bone	bon	b o n	606	b o n	c254 v042 c105	1394	stan1293
115	French	bone	os	ɔs	ɔ s	605	ɔ s	v067 c087	1394	stan1290
116	German	bone	Knochen	knoxən	k n o x ə n	604	k n o x ə n	c831 c105 v042 c772 v155 c105	1394	stan1295
117	Hawaiian	bone	iwi	iwi	i w i	610	i w i	v191 c457 v191	1394	hawa1245
118	Navajo	bone	ts'in	ʦˀin	ʦˀ i n	609	tsˀ i n	c016 v191 c105	1394	nava1243
119	Turkish	bone	kemik	kemik	k e m i k	607	k e m i k	c831 v200 c239 v191 c831	1394	nucl1301
120	Albanian	breast	gji	ɟir	ɟ i r	208	ɟ i r	c603 v191 c151	1402	gheg1238
121	English	breast	breast	brɛst	b r ɛ s t	205	b r ɛ s t	c254 c151 v229 c087 c118	1402	stan1293
122	French	breast	sein	sɛ̃	s ɛ̃	206	s ɛ̃	c087 v231	1402	stan1290
123	German	breast	Brust	brust	b r u s t	205	b r u s t	c254 c151 v027 c087 c118	1402	stan1295
124	Hawaiian	breast	ū	uː	uː	211	uː	v019	1402	hawa1245
125	Navajo	breast	'abe'	beʔ	b e ʔ	209	b e ʔ	c254 v200 c405	1402	nava1243
126	Turkish	breast	meme	meme	m e m e	207	m e m e	c239 v200 c239 v200	1402	nucl1301
127	Albanian	breathe	marr frymë	frym	f r y m	755	f r y m	c447 c151 v166 c239	1407	gheg1238
128	English	breathe	breathes	brið	b r i ð	753	b r i ð	c254 c151 v191 c415	1407	stan1293
129	French	breathe	respire	rɛspire	r ɛ s p i r e	-752	r ɛ s p i r e	c151 v229 c087 c288 v191 c151 v200	1407	stan1290
130	German	breathe	atmet	aːtm	aː t m	751	aː t m	v137 c118 c239	1407	stan1295
131	Hawaiian	breathe	hanu	hanu	h a n u	757	h a n u	c401 v130 c105 v027	1407	hawa1245
132	Navajo	breathe	ńdísdzih	ńdiʣih	n̩ d i ʣ i h	756	n̩ d i dz i h	c095 c143 v191 c020 v191 c401	1407	nava1243
133	Turkish	breathe	nefes alıyor	nefes	n e f e s	-754	n e f e s	c105 v200 c447 v200 c087	1407	nucl1301
134	Albanian	burn	digjet	diɟ	d i ɟ	516	d i ɟ	c143 v191 c603	2102	gheg1238
135	English	burn	burns	bərn	b ə r n	514	b ə r n	c254 v155 c151 c105	2102	stan1293
136	French	burn	brûle	bryle	b r y l e	-514	b r y l e	c254 c151 v166 c548 v200	2102	stan1290
137	German	burn	brennt	bren	b r e n	514	b r e n	c254 c151 v200 c105	2102	stan1295
138	Hawaiian	burn	`ā	ʔaː	ʔ aː	519	ʔ aː	c405 v137	2102	hawa1245
139	Navajo	burn	diltƚi'	diltˡiʔ	d i l tˡ i ʔ	517	d i l tˡ i ʔ	c143 v191 c548 c119 v191 c405	2102	nava1243
140	Turkish	burn	yanıyor	jan	j a n	515	j a n	c564 v130 c105	2102	nucl1301
141	Albanian	child	fëmiljë	fəmiʎ	f ə m i ʎ	-804	f ə m i ʎ	c447 v155 c239 v191 c582	2099	gheg1238
142	English	child	child	ʧaild	ʧ ai l d	802	tʃ ai l d	c645 d030 c548 c143	2099	stan1293
143	French	child	enfant	ɑ̃fɑ̃t	ɑ̃ f ɑ̃ t	801	ɑ̃ f ɑ̃ t	v088 c447 v088 c118	2099	stan1290
144	German	child	Kind	kind	k i n d	800	k i n d	c831 v191 c105 c143	2099	stan1295
145	Hawaiian	child	keiki	keiki	k e i k i	807	k e i k i	c831 v200 v191 c831 v191	2099	hawa1245
146	Navajo	child	'ashkii	ʔʃkiː	ʔ ʃ k iː	805	ʔ ʃ k iː	c405 c677 c831 v183	2099	nava1243
147	Turkish	child	çocuk	ʧoʤuk	ʧ o ʤ u k	803	tʃ o dʒ u k	c645 v042 c649 v027 c831	2099	nucl1301
148	Albanian	claw	thua	θon	θ o n	304	θ o n	c413 v042 c105	72	gheg1238
149	English	claw	claw	klɔ	k l ɔ	301	k l ɔ	c831 c548 v067	72	stan1293
150	French	claw	griffe	grif	g r i f	-302	g r i f	c824 c151 v191 c447	72	stan1290
151	German	claw	Klaue	klauə	k l au ə	301	k l au ə	c831 c548 d026 v155	72	stan1295
152	Hawaiian	claw	miki`ao	mikiʔao	m i k i ʔ a o	307	m i k i ʔ a o	c239 v191 c831 v191 c405 v130 v042	72	hawa1245
153	Navajo	claw	'akéshgaan	keʃgaː	k e ʃ g aː	305	k e ʃ g aː	c831 v200 c677 c824 v137	72	nava1243
154	Turkish	claw	tırnak	tɯrnak	t ɯ r n a k	303	t ɯ r n a k	c118 v081 c151 c105 v130 c831	72	nucl1301
155	Albanian	cloud	re	re	r e	698	r e	c151 v200	1489	gheg1238
156	English	cloud	cloud	klaud	k l au d	696	k l au d	c831 c548 d026 c143	1489	stan1293
157	French	cloud	nuage	nɥaʒ	n ɥ a ʒ	695	n ɥ a ʒ	c105 c453 v130 c679	1489	stan1290
158	German	cloud	Wolke	volkə	v o l k ə	694	v o l k ə	c446 v042 c548 c831 v155	1489	stan1295
159	Hawaiian	cloud	ao	ao	a o	700	a o	v130 v042	1489	hawa1245
160	Navajo	cloud	k'os	kˀos	kˀ o s	699	kˀ o s	c841 v042 c087	1489	nava1243
161	Turkish	cloud	bulut	bulut	b u l u t	697	b u l u t	c254 v027 c548 v027 c118	1489	nucl1301
162	Albanian	cold	ftohët	ftohət	f t o h ə t	75	f t o h ə t	c447 c118 v042 c401 v155 c118	2483	gheg1238
163	English	cold	cold	kold	k o l d	72	k o l d	c831 v042 c548 c143	2483	stan1293
164	French	cold	froid	frwad	f r w a d	73	f r w a d	c447 c151 c457 v130 c143	2483	stan1290
165	German	cold	kalt	kalt	k a l t	72	k a l t	c831 v130 c548 c118	2483	stan1295
166	Hawaiian	cold	anu	anu	a n u	77	a n u	v130 c105 v027	2483	hawa1245
167	Navajo	cold	sik'az	sikˀaz	s i kˀ a z	76	s i kˀ a z	c087 v191 c841 v130 c078	2483	nava1243
168	Turkish	cold	soğuk	soɣuk	s o ɣ u k	74	s o ɣ u k	c087 v042 c774 v027 c831	2483	nucl1301
169	Albanian	come	vjen	vjen	v j e n	-560	v j e n	c446 c564 v200 c105	1446	gheg1238
170	English	come	comes	kəm	k ə m	560	k ə m	c831 v155 c239	1446	stan1293
171	French	come	vient	vjɛ̃	v j ɛ̃	560	v j ɛ̃	c446 c564 v231	1446	stan1290
172	German	come	kommt	kom	k o m	560	k o m	c831 v042 c239	1446	stan1295
173	Hawaiian	come	hele mai	hele	h e l e	563	h e l e	c401 v200 c548 v200	1446	hawa1245
174	Navajo	come	yíghááh	jiɣaːh	j i ɣ aː h	562	j i ɣ aː h	c564 v191 c774 v137 c401	1446	nava1243
175	Turkish	come	geliyor	gel	g e l	561	g e l	c824 v200 c548	1446	nucl1301
176	Albanian	count	numëron	numəruar	n u m ə r u a r	-164	n u m ə r u a r	c105 v027 c239 v155 c151 v027 v130 c151	1420	gheg1238
177	English	count	counts	kaunt	k au n t	-162	k au n t	c831 d026 c105 c118	1420	stan1293
178	French	count	compte	kɔ̃te	k ɔ̃ t e	162	k ɔ̃ t e	c831 v066 c118 v200	1420	stan1290
179	German	count	zählt	ʦeːl	ʦ eː l	161	ts eː l	c015 v202 c548	1420	stan1295
180	Hawaiian	count	helu	helu	h e l u	166	h e l u	c401 v200 c548 v027	1420	hawa1245
181	Navajo	count	'ííníshta'	iːniɬtaʔ	iː n i ɬ t a ʔ	165	iː n i ɬ t a ʔ	v183 c105 v191 c534 c118 v130 c405	1420	nava1243
182	Turkish	count	sayıyor	saj	s a j	163	s a j	c087 v130 c564	1420	nucl1301
183	Albanian	cut	pres	pres	p r e s	88	p r e s	c288 c151 v200 c087	1432	gheg1238
184	English	cut	cuts	kət	k ə t	-86	k ə t	c831 v155 c118	1432	stan1293
185	French	cut	coupe	kupe	k u p e	-85	k u p e	c831 v027 c288 v200	1432	stan1290
186	German	cut	schneidet	ʃnaid	ʃ n ai d	84	ʃ n ai d	c677 c105 d030 c143	1432	stan1295
187	Hawaiian	cut	`oki	ʔoki	ʔ o k i	91	ʔ o k i	c405 v042 c831 v191	1432	hawa1245
188	Navajo	cut	'aháshgéésh	ʔahaygeːʃ	ʔ a h ai g eː ʃ	89	ʔ a h ai g eː ʃ	c405 v130 c401 d030 c824 v202 c677	1432	nava1243
189	Turkish	cut	kesiyor	kes	k e s	87	k e s	c831 v200 c087	1432	nucl1301
190	Albanian	day	ditë	dit	d i t	241	d i t	c143 v191 c118	1225	gheg1238
191	English	day	day	de	d e	238	d e	c143 v200	1225	stan1293
192	French	day	jour	ʒur	ʒ u r	239	ʒ u r	c679 v027 c151	1225	stan1290
193	German	day	Tag	taːg	t aː g	238	t aː g	c118 v137 c824	1225	stan1295
194	Hawaiian	day	lā	laː	l aː	243	l aː	c548 v137	1225	hawa1245
195	Navajo	day	jį́	ʤĩ́	ʤ ĩ́	242	dʒ ĩ	c649 v193	1225	nava1243
196	Turkish	day	gün	gyn	g y n	240	g y n	c824 v166 c105	1225	nucl1301
197	Albanian	die	vdes	vdes	v d e s	260	v d e s	c446 c143 v200 c087	1494	gheg1238
198	English	die	dies	dai	d ai	-258	d ai	c143 d030	1494	stan1293
199	French	die	meurt	mœr	m œ r	257	m œ r	c239 v178 c151	1494	stan1290
200	German	die	stirbt	ʃterb	ʃ t e r b	256	ʃ t e r b	c677 c118 v200 c151 c254	1494	stan1295
201	Hawaiian	die	make loa	make	m a k e	262	m a k e	c239 v130 c831 v200	1494	hawa1245
202	Navajo	die	daaztsą́	daːzʦã́	d aː z ʦ ã́	261	d aː z ts ã	c143 v137 c078 c015 v147	1494	nava1243
203	Turkish	die	ölüyor	øl	ø l	259	ø l	v171 c548	1494	nucl1301
204	Albanian	dig	gërmon	gərmo	g ə r m o	543	g ə r m o	c824 v155 c151 c239 v042	1418	gheg1238
205	English	dig	digs	dɪg	d ɪ g	-541	d ɪ g	c143 v219 c824	1418	stan1293
206	French	dig	creuse	krøze	k r ø z e	-540	k r ø z e	c831 c151 v171 c078 v200	1418	stan1290
207	German	dig	gräbt	graːb	g r aː b	539	g r aː b	c824 c151 v137 c254	1418	stan1295
208	Hawaiian	dig	`eli	ʔeli	ʔ e l i	546	ʔ e l i	c405 v200 c548 v191	1418	hawa1245
209	Navajo	dig	hahashgééd	hahageːd	h a h a g eː d	544	h a h a g eː d	c401 v130 c401 v130 c824 v202 c143	1418	nava1243
210	Turkish	dig	kazıyor	kaz	k a z	542	k a z	c831 v130 c078	1418	nucl1301
211	Albanian	dirty	ndyrë	ndyr	n d y r	900	n d y r	c105 c143 v166 c151	1230	gheg1238
212	English	dirty	dirty	dərti	d ə r t i	-898	d ə r t i	c143 v155 c151 c118 v191	1230	stan1293
213	French	dirty	sale	sal	s a l	-897	s a l	c087 v130 c548	1230	stan1290
214	German	dirty	schmutzig	ʃmuʦix	ʃ m u ʦ i x	896	ʃ m u ts i x	c677 c239 v027 c015 v191 c772	1230	stan1295
215	Hawaiian	dirty	lepo	lepo	l e p o	903	l e p o	c548 v200 c288 v042	1230	hawa1245
216	Navajo	dirty	baa'ih	baːʔih	b aː ʔ i h	901	b aː ʔ i h	c254 v137 c405 v191 c401	1230	nava1243
217	Turkish	dirty	pis	pis	p i s	-899	p i s	c288 v191 c087	1230	nucl1301
218	Albanian	dog	qen	cen	c e n	-1181	c e n	c600 v200 c105	2009	gheg1238
219	English	dog	dog	dɑg	d ɑ g	1182	d ɑ g	c143 v089 c824	2009	stan1293
220	French	dog	chien	ʃjɛn	ʃ j ɛ n	1181	ʃ j ɛ n	c677 c564 v229 c105	2009	stan1290
221	German	dog	Hund	hund	h u n d	1181	h u n d	c401 v027 c105 c143	2009	stan1295
222	Hawaiian	dog	`īlio	ʔiːlio	ʔ iː l i o	1185	ʔ iː l i o	c405 v183 c548 v191 v042	2009	hawa1245
223	Navajo	dog	ƚééchąą'í	ɬeːʧãːʔi	ɬ eː ʧ ãː ʔ i	1184	ɬ eː tʃ ãː ʔ i	c534 v202 c645 v125 c405 v191	2009	nava1243
224	Turkish	dog	köpek	køpek	k ø p e k	1183	k ø p e k	c831 v171 c288 v200 c831	2009	nucl1301
225	Albanian	drink	pi	pi	p i	1079	p i	c288 v191	1401	gheg1238
226	English	drink	drinks	drɪŋk	d r ɪ ŋ k	1078	d r ɪ ŋ k	c143 c151 v219 c795 c831	1401	stan1293
227	French	drink	bois	bwa	b w a	1079	b w a	c254 c457 v130	1401	stan1290
228	German	drink	trinkt	triŋk	t r i ŋ k	1078	t r i ŋ k	c118 c151 v191 c795 c831	1401	stan1295
229	Hawaiian	drink	inu	inu	i n u	1082	i n u	v191 c105 v027	1401	hawa1245
230	Navajo	drink	'adlą́	ʔadˡã́	ʔ a dˡ ã́	1081	ʔ a dˡ ã	c405 v130 c144 v147	1401	nava1243
231	Turkish	drink	içiyor	iʧ	i ʧ	1080	i tʃ	v191 c645	1401	nucl1301
232	Albanian	dry	thatë	θat	θ a t	575	θ a t	c413 v130 c118	1398	gheg1238
233	English	dry	dry	drai	d r ai	572	d r ai	c143 c151 d030	1398	stan1293
234	French	dry	sec	sɛʃ	s ɛ ʃ	573	s ɛ ʃ	c087 v229 c677	1398	stan1290
235	German	dry	trocken	trokən	t r o k ə n	572	t r o k ə n	c118 c151 v042 c831 v155 c105	1398	stan1295
236	Hawaiian	dry	malo`o	maloʔo	m a l o ʔ o	577	m a l o ʔ o	c239 v130 c548 v042 c405 v042	1398	hawa1245
237	Navajo	dry	yíƚtseii	jiɬʦeiː	j i ɬ ʦ e iː	576	j i ɬ ts e iː	c564 v191 c534 c015 v200 v183	1398	nava1243
238	Turkish	dry	kuru	kuru	k u r u	574	k u r u	c831 v027 c151 v027	1398	nucl1301
239	Albanian	dull	pa mprehtë	mpreht	m p r e h t	823	m p r e h t	c239 c288 c151 v200 c401 c118	379	gheg1238
240	English	dull	dull	dəl	d ə l	821	d ə l	c143 v155 c548	379	stan1293
241	French	dull	émoussé	emuse	e m u s e	820	e m u s e	v200 c239 v027 c087 v200	379	stan1290
242	German	dull	stumpf	ʃtump͡f	ʃ t u m p͡f	819	ʃ t u m pf	c677 c118 v027 c239 c420	379	stan1295
243	Hawaiian	dull	kūmūmū	kuːmuːmuː	k uː m uː m uː	826	k uː m uː m uː	c831 v019 c239 v019 c239 v019	379	hawa1245
244	Navajo	dull	doo deení da	deːni	d eː n i	824	d eː n i	c143 v202 c105 v191	379	nava1243
245	Turkish	dull	kör	kør	k ø r	-822	k ø r	c831 v171 c151	379	nucl1301
246	Albanian	dust	pluhur	pluhur	p l u h u r	1122	p l u h u r	c288 c548 v027 c401 v027 c151	2	gheg1238
247	English	dust	dust	dəst	d ə s t	1120	d ə s t	c143 v155 c087 c118	2	stan1293
248	French	dust	poussière	pusjɛr	p u s j ɛ r	1119	p u s j ɛ r	c288 v027 c087 c564 v229 c151	2	stan1290
