ID	DOCULECT	CONCEPT	IDS_ID	COUNTERPART	IPA	COGID	TOKENS	CLPA_TOKENS	CLPA_IDS	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOTTOLOG
1186	German	deaf	4.95	taub	taup	274	t au p	t au p	c118 d026 c288	996	DEAF	stan1295
1187	French	deaf	4.95	sourd	suʀ	275	s u ʀ	s u ʀ	c087 v027 c761	996	DEAF	stan1290
1188	Dutch	deaf	4.95	doof	doːf	274	d oː f	d oː f	c143 v035 c447	996	DEAF	dutc1256
1189	English	deaf	4.95	deaf	dɛf	274	d ɛ f	d ɛ f	c143 v229 c447	996	DEAF	stan1293
2734	German	deep	12.67	tief	tiːf	1177	t iː f	t iː f	c118 v183 c447	1593	DEEP	stan1295
2735	French	deep	12.67	profond	pʀɔfɔ̃	1178	p ʀ ɔ f ɔ̃	p ʀ ɔ f ɔ̃	c288 c761 v067 c447 v066	1593	DEEP	stan1290
2736	Dutch	deep	12.67	diep	diːp	1177	d iː p	d iː p	c143 v183 c288	1593	DEEP	dutc1256
2737	English	deep	12.67	deep	diːp	1177	d iː p	d iː p	c143 v183 c288	1593	DEEP	stan1293
1194	German	drunk	4.98	betrunken	bə#trʊŋkən	258	b ə # t r ʊ ŋ k ə n	b ə _ t r ʊ ŋ k ə n	c254 v155 m001 c118 c151 v056 c795 c831 v155 c105	1463	DRUNK	stan1295
1195	French	drunk	4.98	ivre	ivʀ	259	i v ʀ	i v ʀ	v191 c446 c761	1463	DRUNK	stan1290
1196	Dutch	drunk	4.98	dronken	drɔŋkə	258	d r ɔ ŋ k ə	d r ɔ ŋ k ə	c143 c151 v067 c795 c831 v155	1463	DRUNK	dutc1256
1197	English	drunk	4.98	drunk	drʌŋk	258	d r ʌ ŋ k	d r ʌ ŋ k	c143 c151 v097 c795 c831	1463	DRUNK	stan1293
2531	German	expensive	11.88	teuer	tɔyər	243	t ɔ i ə r	t ɔ i ə r	c118 v067 v191 v155 c151	1426	EXPENSIVE	stan1295
2532	French	expensive	11.88	cher	ʃɛʀ	245	ʃ ɛ ʀ	ʃ ɛ ʀ	c677 v229 c761	1426	EXPENSIVE	stan1290
2533	Dutch	expensive	11.88	duur	dyːr	243	d yː r	d yː r	c143 v168 c151	1426	EXPENSIVE	dutc1256
2534	English	expensive	11.88	expensive	ɪks#pɛnsɪv	244	ɪ k s # p ɛ n s ɪ v	ɪ k s _ p ɛ n s ɪ v	v219 c831 c087 m001 c288 v229 c105 c087 v219 c446	1426	EXPENSIVE	stan1293
2667	German	far	12.44	fern	fɛrn	1286	f ɛ r n	f ɛ r n	c447 v229 c151 c105	1406	FAR	stan1295
2669	French	far	12.44	loin	lwɛ̃	1287	l w ɛ̃	l w ɛ̃	c548 c457 v231	1406	FAR	stan1290
2670	Dutch	far	12.44	ver	vɛr	1286	v ɛ r	v ɛ r	c446 v229 c151	1406	FAR	dutc1256
2671	English	far	12.44	far	fɑːr	1286	f ɑː r	f ɑː r	c447 v091 c151	1406	FAR	stan1293
288	German	female(1)	2.24	weiblich	vaip#lɪx	114	v ai p # l ɪ x	v ai p _ l ɪ x	c446 d030 c288 m001 c548 v219 c772	1551	FEMALE	stan1295
289	French	female(1)	2.24	femelle	fəmɛl	115	f ə m ɛ l	f ə m ɛ l	c447 v155 c239 v229 c548	1551	FEMALE	stan1290
290	Dutch	female(1)	2.24	vrouwelijk	vrɑuwə#lək	6009	v r ɑu w ə # l ə k	v r ɑu w ə _ l ə k	c446 c151 d023 c457 v155 m001 c548 v155 c831	1551	FEMALE	dutc1256
291	English	female(1)	2.24	female	fiːmeɪl	-115	f iː m eɪ l	f iː m eɪ l	c447 v183 c239 d048 c548	1551	FEMALE	stan1293
2815	German	few	13.17	wenig	veːnɪx	1568	v eː n ɪ x	v eː n ɪ x	c446 v202 c105 v219 c772	1242	FEW	stan1295
2816	French	few	13.17	peu	pø	1570	p ø	p ø	c288 v171	1242	FEW	stan1290
2817	Dutch	few	13.17	weinig	wɛɪnəx	1568	w ɛɪ n ə x	w ɛi n ə x	c457 d059 c105 v155 c772	1242	FEW	dutc1256
2818	English	few	13.17	few	fjuː	1569	f j uː	f j uː	c447 c564 v019	1242	FEW	stan1293
2839	German	first	13.34	erste	eːrstə	352	eː r s t ə	eː r s t ə	v202 c151 c087 c118 v155	728	FIRST	stan1295
2840	French	first	13.34	premier	pʀəmje	354	p ʀ ə m j e	p ʀ ə m j e	c288 c761 v155 c239 c564 v200	728	FIRST	stan1290
2841	Dutch	first	13.34	eerste	eːrstə	352	eː r s t ə	eː r s t ə	v202 c151 c087 c118 v155	728	FIRST	dutc1256
2842	English	first	13.34	first	fɜːst	353	f ɜː s t	f ɜː s t	c447 v150 c087 c118	728	FIRST	stan1293
2738	German	flat	12.71	flach	flax	588	f l a x	f l a x	c447 c548 v130 c772	1633	FLAT	stan1295
2739	German	flat	12.71	platt	plat	-588	p l a t	p l a t	c288 c548 v130 c118	1633	FLAT	stan1295
2740	French	flat	12.71	plat	pla	588	p l a	p l a	c288 c548 v130	1633	FLAT	stan1290
2741	Dutch	flat	12.71	plat	plɑt	-588	p l ɑ t	p l ɑ t	c288 c548 v089 c118	1633	FLAT	dutc1256
2742	Dutch	flat	12.71	vlak	vlɑk	588	v l ɑ k	v l ɑ k	c446 c548 v089 c831	1633	FLAT	dutc1256
2743	English	flat	12.71	flat	flæt	6202	f l æ t	f l æ t	c447 c548 v198 c118	1633	FLAT	stan1293
2824	German	full	13.21	voll	fɔl	1970	f ɔ l	f ɔ l	c447 v067 c548	1429	FULL	stan1295
2825	French	full	13.21	plein	plɛ̃	1970	p l ɛ̃	p l ɛ̃	c288 c548 v231	1429	FULL	stan1290
2826	Dutch	full	13.21	vol	vɔl	1970	v ɔ l	v ɔ l	c446 v067 c548	1429	FULL	dutc1256
2827	English	full	13.21	full	fʊl	1970	f ʊ l	f ʊ l	c447 v056 c548	1429	FULL	stan1293
1101	German	healthy	4.83	gesund	ɡə#zʊnt	1909	ɡ ə # z ʊ n t	g ə _ z ʊ n t	c824 v155 m001 c078 v056 c105 c118	1364	HEALTHY	stan1295
1103	French	healthy	4.83	santé	sɑ̃te	1911	s ɑ̃ t e	s ɑ̃ t e	c087 v088 c118 v200	1364	HEALTHY	stan1290
1104	Dutch	healthy	4.83	gezond	xə#zɔnt	1909	x ə # z ɔ n t	x ə _ z ɔ n t	c772 v155 m001 c078 v067 c105 c118	1364	HEALTHY	dutc1256
1105	English	healthy	4.83	healthy	hɛlθɪ	1910	h ɛ l θ ɪ	h ɛ l θ ɪ	c401 v229 c548 c413 v219	1364	HEALTHY	stan1293
2615	German	high	12.31	hoch	hoːx	847	h oː x	h oː x	c401 v035 c772	1265	HIGH	stan1295
2616	French	high	12.31	haut	o	848	o	o	v042	1265	HIGH	stan1290
2617	Dutch	high	12.31	hoog	hoːx	847	h oː x	h oː x	c401 v035 c772	1265	HIGH	dutc1256
2618	English	high	12.31	high	haɪ	847	h aɪ	h aɪ	c401 d032	1265	HIGH	stan1293
1182	German	lame	4.94	lahm	laːm	276	l aː m	l aː m	c548 v137 c239	320	LAME	stan1295
1183	French	lame	4.94	boiteux	bwatø	277	b w a t ø	b w a t ø	c254 c457 v130 c118 v171	320	LAME	stan1290
1184	Dutch	lame	4.94	lam	lɑm	276	l ɑ m	l ɑ m	c548 v089 c239	320	LAME	dutc1256
1185	English	lame	4.94	lame	lɑːmeɪ	276	l ɑː m eɪ	l ɑː m eɪ	c548 v091 c239 d048	320	LAME	stan1293
1173	German	lazy	4.92	faul	faul	270	f au l	f au l	c447 d026 c548	1564	LAZY	stan1295
1174	German	lazy	4.92	lässig	lɛsɪx	271	l ɛ s ɪ x	l ɛ s ɪ x	c548 v229 c087 v219 c772	1564	LAZY	stan1295
1175	French	lazy	4.92	paresseux	paʀɛsø	272	p a ʀ ɛ s ø	p a ʀ ɛ s ø	c288 v130 c761 v229 c087 v171	1564	LAZY	stan1290
1176	Dutch	lazy	4.92	lui	lœy	273	l œi	l œi	c548 d042	1564	LAZY	dutc1256
1177	English	lazy	4.92	lazy	leɪzɪ	271	l eɪ z ɪ	l eɪ z ɪ	c548 d048 c078 v219	1564	LAZY	stan1293
2708	German	long	12.57	lang	laŋ	2020	l a ŋ	l a ŋ	c548 v130 c795	1203	LONG	stan1295
2709	French	long	12.57	long	lɔ̃	2020	l ɔ̃	l ɔ̃	c548 v066	1203	LONG	stan1290
2710	Dutch	long	12.57	lang	lɑŋ	2020	l ɑ ŋ	l ɑ ŋ	c548 v089 c795	1203	LONG	dutc1256
2711	English	long	12.57	long	lɔŋ	2020	l ɔ ŋ	l ɔ ŋ	c548 v067 c795	1203	LONG	stan1293
2619	German	low	12.32	niedrig	niːdrɪx	854	n iː d r ɪ x	n iː d r ɪ x	c105 v183 c143 c151 v219 c772	721	LOW	stan1295
2620	French	low	12.32	bas	bɑ	856	b ɑ	b ɑ	c254 v089	721	LOW	stan1290
2621	Dutch	low	12.32	laag	laːx	855	l aː x	l aː x	c548 v137 c772	721	LOW	dutc1256
2622	English	low	12.32	low	ləʊ	855	l əʊ	l əu	c548 d029	721	LOW	stan1293
284	German	male(1)	2.23	männlich	mɛn#lɪx	104	m ɛ n # l ɪ x	m ɛ n _ l ɪ x	c239 v229 c105 m001 c548 v219 c772	1553	MALE	stan1295
285	French	male(1)	2.23	mâle	mɑl	105	m ɑ l	m ɑ l	c239 v089 c548	1553	MALE	stan1290
286	Dutch	male(1)	2.23	mannelijk	mɑnə#lək	104	m ɑ n ə # l ə k	m ɑ n ə _ l ə k	c239 v089 c105 v155 m001 c548 v155 c831	1553	MALE	dutc1256
287	English	male(1)	2.23	male	meɪl	-105	m eɪ l	m eɪ l	c239 d048 c548	1553	MALE	stan1293
2806	German	many	13.15	viel	fiːl	1562	f iː l	f iː l	c447 v183 c548	1198	MANY	stan1295
2807	French	many	13.15	beaucoup	boku	1564	b o k u	b o k u	c254 v042 c831 v027	1198	MANY	stan1290
2808	Dutch	many	13.15	veel	veːl	1562	v eː l	v eː l	c446 v202 c548	1198	MANY	dutc1256
2809	English	many	13.15	many	mɛnɪ	1563	m ɛ n ɪ	m ɛ n ɪ	c239 v229 c105 v219	1198	MANY	stan1293
2810	German	more	13.16	mehr	meːr	1565	m eː r	m eː r	c239 v202 c151	1992	MORE	stan1295
2811	French	more	13.16	encore	ɑ̃kɔʀ	1566	ɑ̃ k ɔ ʀ	ɑ̃ k ɔ ʀ	v088 c831 v067 c761	1992	MORE	stan1290
2812	French	more	13.16	plus	ply	1567	p l y	p l y	c288 c548 v166	1992	MORE	stan1290
2813	Dutch	more	13.16	meer	meːr	1565	m eː r	m eː r	c239 v202 c151	1992	MORE	dutc1256
2814	English	more	13.16	more	mɔːr	1565	m ɔː r	m ɔː r	c239 v065 c151	1992	MORE	stan1293
1198	German	naked	4.99	nackt	nakt	256	n a k t	n a k t	c105 v130 c831 c118	590	NAKED	stan1295
1199	French	naked	4.99	nu	ny	257	n y	n y	c105 v166	590	NAKED	stan1290
1200	Dutch	naked	4.99	naakt	naːkt	256	n aː k t	n aː k t	c105 v137 c831 c118	590	NAKED	dutc1256
1201	English	naked	4.99	naked	neɪkɪd	256	n eɪ k ɪ d	n eɪ k ɪ d	c105 d048 c831 v219 c143	590	NAKED	stan1293
2722	German	narrow	12.62	schmal	ʃmaːl	1187	ʃ m aː l	ʃ m aː l	c677 c239 v137 c548	1267	NARROW	stan1295
2723	French	narrow	12.62	étroit	etʀwa	1189	e t ʀ w a	e t ʀ w a	v200 c118 c761 c457 v130	1267	NARROW	stan1290
2724	Dutch	narrow	12.62	nauw	nɑuw	1188	n ɑu w	n ɑu w	c105 d023 c457	1267	NARROW	dutc1256
2725	English	narrow	12.62	narrow	nærəʊ	1188	n æ r əʊ	n æ r əu	c105 v198 c151 d029	1267	NARROW	stan1293
2662	German	near	12.43	nahe	naː.ə	1333	n aː ə	n aː ə	c105 v137 v155	1942	NEAR	stan1295
2663	German	near	12.43	nah	naː	1333	n aː	n aː	c105 v137	1942	NEAR	stan1295
2664	French	near	12.43	près	pʀɛ	1334	p ʀ ɛ	p ʀ ɛ	c288 c761 v229	1942	NEAR	stan1290
2665	Dutch	near	12.43	dichtbij	dɪɣd#bɛɪ	1335	d ɪ ɣ d # b ɛɪ	d ɪ ɣ d _ b ɛi	c143 v219 c774 c143 m001 c254 d059	1942	NEAR	dutc1256
2666	English	near	12.43	near	nɪər	1333	n i ə r	n i ə r	c105 v191 v155 c151	1942	NEAR	stan1293
2862	German	new	14.13	neu	nɔy	2017	n ɔi	n ɔi	c105 d018	1231	NEW	stan1295
2863	French	new	14.13	nouveau	nuvo	2017	n u v o	n u v o	c105 v027 c446 v042	1231	NEW	stan1290
2864	Dutch	new	14.13	nieuw	niːw	2017	n iː w	n iː w	c105 v183 c457	1231	NEW	dutc1256
2865	English	new	14.13	new	njuː	2017	n j uː	n j uː	c105 c564 v019	1231	NEW	stan1293
2633	German	pointed	12.352	Spitze	ʃpɪʦə	1518	ʃ p ɪ ʦ ə	ʃ p ɪ ts ə	c677 c288 v219 c015 v155	372	POINTED	stan1295
2634	French	pointed	12.352	pointu	pwɛ̃ty	1520	p w ɛ̃ t y	p w ɛ̃ t y	c288 c457 v231 c118 v166	372	POINTED	stan1290
2635	Dutch	pointed	12.352	spits	spɪʦ	1518	s p ɪ ʦ	s p ɪ ts	c087 c288 v219 c015	372	POINTED	dutc1256
2636	English	pointed	12.352	pointed	pɔɪntɪd	1519	p ɔi n t ɪ d	p ɔi n t ɪ d	c288 d018 c105 c118 v219 c143	372	POINTED	stan1293
2451	German	poor	11.52	bedürftig	bə#dʏrftɪx	1786	b ə # d ʏ r f t ɪ x	b ə _ d ʏ r f t ɪ x	c254 v155 m001 c143 v173 c151 c447 c118 v219 c772	1674	POOR	stan1295
2452	French	poor	11.52	pauvre	povʀ	1787	p o v ʀ	p o v ʀ	c288 v042 c446 c761	1674	POOR	stan1290
2453	Dutch	poor	11.52	arm	ɑrm	1788	ɑ r m	ɑ r m	v089 c151 c239	1674	POOR	dutc1256
2454	English	poor	11.52	poor	pɔːr	-1787	p ɔː r	p ɔː r	c288 v065 c151	1674	POOR	stan1293
1052	German	pregnant	4.73	schwanger	ʃvaŋər	330	ʃ v a ŋ ə r	ʃ v a ŋ ə r	c677 c446 v130 c795 v155 c151	1123	PREGNANT	stan1295
1053	French	pregnant	4.73	enceinte	ɑ̃sɛ̃t	329	ɑ̃ s ɛ̃ t	ɑ̃ s ɛ̃ t	v088 c087 v231 c118	1123	PREGNANT	stan1290
1054	Dutch	pregnant	4.73	zwanger	zwɑŋər	330	z w ɑ ŋ ə r	z w ɑ ŋ ə r	c078 c457 v089 c795 v155 c151	1123	PREGNANT	dutc1256
1055	English	pregnant	4.73	pregnant	prɛɡnənt	328	p r ɛ ɡ n ə n t	p r ɛ g n ə n t	c288 c151 v229 c824 c105 v155 c105 c118	1123	PREGNANT	stan1293
2447	German	rich	11.51	reich	raix	-1791	r ai x	r ai x	c151 d030 c772	712	RICH	stan1295
2448	French	rich	11.51	riche	ʀiʃ	1791	ʀ i ʃ	ʀ i ʃ	c761 v191 c677	712	RICH	stan1290
2449	Dutch	rich	11.51	rijk	rɛɪk	-1791	r ɛɪ k	r ɛi k	c151 d059 c831	712	RICH	dutc1256
2450	English	rich	11.51	rich	rɪʧ	-1791	r ɪ ʧ	r ɪ tʃ	c151 v219 c645	712	RICH	stan1293
2657	German	right(1)	12.41	recht	rɛxt	213	r ɛ x t	r ɛ x t	c151 v229 c772 c118	1019	RIGHT	stan1295
2659	French	right(1)	12.41	droite	dʀwɑt	215	d ʀ w ɑ t	d ʀ w ɑ t	c143 c761 c457 v089 c118	1019	RIGHT	stan1290
2660	Dutch	right(1)	12.41	rechts	rɛxʦ	213	r ɛ x ʦ	r ɛ x ts	c151 v229 c772 c015	1019	RIGHT	dutc1256
2661	English	right(1)	12.41	right	raɪt	213	r aɪ t	r aɪ t	c151 d032 c118	1019	RIGHT	stan1293
1213	German	ripe	5.123	reif	raif	207	r ai f	r ai f	c151 d030 c447	178	RIPE	stan1295
1214	French	ripe	5.123	mûr	myʀ	208	m y ʀ	m y ʀ	c239 v166 c761	178	RIPE	stan1290
1215	Dutch	ripe	5.123	rijp	rɛɪp	207	r ɛɪ p	r ɛi p	c151 d059 c288	178	RIPE	dutc1256
1216	English	ripe	5.123	ripe	raɪp	207	r aɪ p	r aɪ p	c151 d032 c288	178	RIPE	stan1293
1217	German	rotten	5.125	faul	faul	1316	f au l	f au l	c447 d026 c548	1728	ROTTEN	stan1295
1218	French	rotten	5.125	pourri	puʀi	1318	p u ʀ i	p u ʀ i	c288 v027 c761 v191	1728	ROTTEN	stan1290
1219	Dutch	rotten	5.125	rot	rɔt	1317	r ɔ t	r ɔ t	c151 v067 c118	1728	ROTTEN	dutc1256
1220	English	rotten	5.125	rotten	rɔtṇ	1317	r ɔ t ṇ	r ɔ t n̩	c151 v067 c118 c095	1728	ROTTEN	stan1293
75	German	rough(2)	1.323	rauh	rau	1832	r au	r au	c151 d026	259	ROUGH (OF SEA)	stan1295
76	French	rough(2)	1.323	trouble	tʀubl	1833	t ʀ u b l	t ʀ u b l	c118 c761 v027 c254 c548	259	ROUGH (OF SEA)	stan1290
77	French	rough(2)	1.323	agité	aʒite	1834	a ʒ i t e	a ʒ i t e	v130 c679 v191 c118 v200	259	ROUGH (OF SEA)	stan1290
78	Dutch	rough(2)	1.323	ruw	ryːw	1832	r yː w	r yː w	c151 v168 c457	259	ROUGH (OF SEA)	dutc1256
79	English	rough(2)	1.323	rough	rʌf	1832	r ʌ f	r ʌ f	c151 v097 c447	259	ROUGH (OF SEA)	stan1293
2752	German	round	12.81	rund	rʊnt	-1153	r ʊ n t	r ʊ n t	c151 v056 c105 c118	1395	ROUND	stan1295
2753	French	round	12.81	rond	ʀɔ̃	1153	ʀ ɔ̃	ʀ ɔ̃	c761 v066	1395	ROUND	stan1290
2754	Dutch	round	12.81	rond	rɔnt	-1153	r ɔ n t	r ɔ n t	c151 v067 c105 c118	1395	ROUND	dutc1256
2755	English	round	12.81	round	raʊnd	-1153	r aʊ n d	r aʊ n d	c151 d028 c105 c143	1395	ROUND	stan1293
2843	German	second	13.36	zweite	ʦvaitə	347	ʦ v ai t ə	ts v ai t ə	c015 c446 d030 c118 v155	1384	SECOND	stan1295
2844	French	second	13.36	deuxième	døzjɛm	349	d ø z j ɛ m	d ø z j ɛ m	c143 v171 c078 c564 v229 c239	1384	SECOND	stan1290
2845	Dutch	second	13.36	tweede	tweːdə	347	t w eː d ə	t w eː d ə	c118 c457 v202 c143 v155	1384	SECOND	dutc1256
2846	English	second	13.36	second	sɛkənd	348	s ɛ k ə n d	s ɛ k ə n d	c087 v229 c831 v155 c105 c143	1384	SECOND	stan1293
1106	German	sick/ill	4.84	krank	kraŋk	1899	k r a ŋ k	k r a ŋ k	c831 c151 v130 c795 c831	1847	SICK	stan1295
1108	French	sick/ill	4.84	malade	malad	1901	m a l a d	m a l a d	c239 v130 c548 v130 c143	1847	SICK	stan1290
1110	Dutch	sick/ill	4.84	ziek	ziːk	1900	z iː k	z iː k	c078 v183 c831	1847	SICK	dutc1256
1111	English	sick/ill	4.84	sick	sɪk	1900	s ɪ k	s ɪ k	c087 v219 c831	1847	SICK	stan1293
1112	English	sick/ill	4.84	ill	ɪl	1902	ɪ l	ɪ l	v219 c548	1847	SICK	stan1293
2703	German	small	12.56	klein	klain	20	k l ai n	k l ai n	c831 c548 d030 c105	1246	SMALL	stan1295
2704	French	small	12.56	petit	pəti	22	p ə t i	p ə t i	c288 v155 c118 v191	1246	SMALL	stan1290
2705	Dutch	small	12.56	klein	klɛɪn	20	k l ɛɪ n	k l ɛi n	c831 c548 d059 c105	1246	SMALL	dutc1256
2706	English	small	12.56	small	smɔːl	21	s m ɔː l	s m ɔː l	c087 c239 v065 c548	1246	SMALL	stan1293
2707	English	small	12.56	little	lɪtḷ	23	l ɪ t ḷ	l ɪ t l̩	c548 v219 c118 c537	1246	SMALL	stan1293
1089	German	strong	4.81	stark	ʃtark	1912	ʃ t a r k	ʃ t a r k	c677 c118 v130 c151 c831	785	STRONG	stan1295
1090	German	strong	4.81	mächtig	mɛxtɪx	1915	m ɛ x t ɪ x	m ɛ x t ɪ x	c239 v229 c772 c118 v219 c772	785	STRONG	stan1295
1093	French	strong	4.81	fort	fɔʀ	1914	f ɔ ʀ	f ɔ ʀ	c447 v067 c761	785	STRONG	stan1290
1094	French	strong	4.81	puissant	pɥisɑ̃	1916	p ɥ i s ɑ̃	p ɥ i s ɑ̃	c288 c453 v191 c087 v088	785	STRONG	stan1290
1095	Dutch	strong	4.81	sterk	stɛrk	1912	s t ɛ r k	s t ɛ r k	c087 c118 v229 c151 c831	785	STRONG	dutc1256
1096	English	strong	4.81	strong	strɔŋ	1913	s t r ɔ ŋ	s t r ɔ ŋ	c087 c118 c151 v067 c795	785	STRONG	stan1293
219	German	the air	1.71	Luft	lʊft	758	l ʊ f t	l ʊ f t	c548 v056 c447 c118	27	AIR	stan1295
220	French	the air	1.71	air	ɛʀ	759	ɛ ʀ	ɛ ʀ	v229 c761	27	AIR	stan1290
221	Dutch	the air	1.71	lucht	lʉxt	758	l ʉ x t	l ʉ x t	c548 v102 c772 c118	27	AIR	dutc1256
222	English	the air	1.71	air	ɛər	-759	ɛ ə r	ɛ ə r	v229 v155 c151	27	AIR	stan1293
458	German	the animal	3.11	Tier	tiːr	122	t iː r	t iː r	c118 v183 c151	619	ANIMAL	stan1295
459	French	the animal	3.11	animal	animal	123	a n i m a l	a n i m a l	v130 c105 v191 c239 v130 c548	619	ANIMAL	stan1290
460	French	the animal	3.11	bête	bɛːt	124	b ɛː t	b ɛː t	c254 v225 c118	619	ANIMAL	stan1290
461	Dutch	the animal	3.11	dier	diːr	122	d iː r	d iː r	c143 v183 c151	619	ANIMAL	dutc1256
462	Dutch	the animal	3.11	beest	beːst	-124	b eː s t	b eː s t	c254 v202 c087 c118	619	ANIMAL	dutc1256
463	English	the animal	3.11	animal	ænɪmḷ	-123	æ n ɪ m ḷ	æ n ɪ m l̩	v198 c105 v219 c239 c537	619	ANIMAL	stan1293
913	German	the ankle	4.371	Knöchel	knœxəl	1236	k n œ x ə l	k n œ x ə l	c831 c105 v178 c772 v155 c548	803	ANKLE	stan1295
914	French	the ankle	4.371	cheville	ʃəvij	1238	ʃ ə v i j	ʃ ə v i j	c677 v155 c446 v191 c564	803	ANKLE	stan1290
915	Dutch	the ankle	4.371	enkel	ɛŋkəl	1237	ɛ ŋ k ə l	ɛ ŋ k ə l	v229 c795 c831 v155 c548	803	ANKLE	dutc1256
