ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
906	Kōchi	black	kuroi	k u r oi	195	c831 v027 c151 d015	163	shik1243
907	Sado	black	kuroi	k u r oi	195	c831 v027 c151 d015	163	sado1237
908	Oki	black	kureː	k u r eː	195	c831 v027 c151 v202	163	
909	Kagoshima	black	kure	k u r e	195	c831 v027 c151 v200	163	kyus1238
271	Miyako	blood	akaʦɨ	a k a ts ɨ	71	v130 c831 v130 c015 v116	946	miya1259
272	Tōkyō	blood	ʨi	tɕ i	71	c198 v191	946	toky1238
273	Amami	blood	ʨi	tɕ i	71	c198 v191	946	naze1238
274	Kyōto	blood	ʨiː	tɕ iː	71	c198 v183	946	kyot1238
275	Hachijō	blood	ʨi	tɕ i	71	c198 v191	946	hach1238
276	Shuri	blood	ʨiː	tɕ iː	71	c198 v183	946	shur1243
277	Kōchi	blood	ti	t i	71	c118 v191	946	shik1243
278	Sado	blood	ʨi	tɕ i	71	c198 v191	946	sado1237
279	Oki	blood	ʨi	tɕ i	71	c198 v191	946	
280	Kagoshima	blood	ʨiː	tɕ iː	71	c198 v183	946	kyus1238
1878	Miyako	blow	fːu	fː u	435	c439 v027	175	miya1259
1879	Tōkyō	blow	huku	h u k u	435	c401 v027 c831 v027	175	toky1238
1880	Amami	blow	hukuri	h u k u r i	435	c401 v027 c831 v027 c151 v191	175	naze1238
1881	Kyōto	blow	huku	h u k u	435	c401 v027 c831 v027	175	kyot1238
1882	Hachijō	blow	huku	h u k u	435	c401 v027 c831 v027	175	hach1238
1883	Shuri	blow	huʦuɴ	h u ts u ɴ	435	c401 v027 c015 v027 c745	175	shur1243
1884	Kōchi	blow	huku	h u k u	435	c401 v027 c831 v027	175	shik1243
1885	Sado	blow	huku	h u k u	435	c401 v027 c831 v027	175	sado1237
1886	Oki	blow	ɸuku	ɸ u k u	435	c224 v027 c831 v027	175	
1887	Kagoshima	blow	hu	h u	435	c401 v027	175	kyus1238
301	Miyako	bone	puni	p u n i	76	c288 v027 c105 v191	1394	miya1259
302	Tōkyō	bone	hone	h o n e	76	c401 v042 c105 v200	1394	toky1238
303	Amami	bone	hunɨ	h u n ɨ	76	c401 v027 c105 v116	1394	naze1238
304	Kyōto	bone	hone	h o n e	76	c401 v042 c105 v200	1394	kyot1238
305	Hachijō	bone	hone	h o n e	76	c401 v042 c105 v200	1394	hach1238
306	Shuri	bone	huni	h u n i	76	c401 v027 c105 v191	1394	shur1243
307	Kōchi	bone	hone	h o n e	76	c401 v042 c105 v200	1394	shik1243
308	Sado	bone	hone	h o n e	76	c401 v042 c105 v200	1394	sado1237
309	Oki	bone	ɸone	ɸ o n e	76	c224 v042 c105 v200	1394	
310	Kagoshima	bone	hone	h o n e	76	c401 v042 c105 v200	1394	kyus1238
502	Miyako	breast	mːifuʦɨ	mː i f u ts ɨ	116	c242 v191 c447 v027 c015 v116	1402	miya1259
503	Tōkyō	breast	mune	m u n e	116	c239 v027 c105 v200	1402	toky1238
504	Amami	breast	munɨ	m u n ɨ	116	c239 v027 c105 v116	1402	naze1238
505	Kyōto	breast	mune	m u n e	116	c239 v027 c105 v200	1402	kyot1238
506	Hachijō	breast	mune	m u n e	116	c239 v027 c105 v200	1402	hach1238
507	Shuri	breast	ɴni	ɴ n i	116	c745 c105 v191	1402	shur1243
508	Kōchi	breast	mune	m u n e	116	c239 v027 c105 v200	1402	shik1243
509	Sado	breast	mune	m u n e	116	c239 v027 c105 v200	1402	sado1237
510	Oki	breast	ɴne	ɴ n e	116	c745 c105 v200	1402	
511	Kagoshima	breast	muine	m ui n e	116	c239 d016 c105 v200	1402	kyus1238
830	Miyako	burn	muiɭ	m ui ɭ	186	c239 d016 c702	2102	miya1259
831	Tōkyō	burn	moeru	m o e r u	186	c239 v042 v200 c151 v027	2102	toky1238
832	Amami	burn	meːruri	m eː r u r i	186	c239 v202 c151 v027 c151 v191	2102	naze1238
833	Kyōto	burn	moeru	m o e r u	186	c239 v042 v200 c151 v027	2102	kyot1238
834	Hachijō	burn	mieru	m ie r u	186	c239 d044 c151 v027	2102	hach1238
835	Shuri	burn	meːjuɴ	m eː j u ɴ	186	c239 v202 c564 v027 c745	2102	shur1243
836	Kōchi	burn	moeru	m o e r u	186	c239 v042 v200 c151 v027	2102	shik1243
837	Sado	burn	moeru	m o e r u	186	c239 v042 v200 c151 v027	2102	sado1237
838	Oki	burn	moeru	m o e r u	186	c239 v042 v200 c151 v027	2102	
839	Kagoshima	burn	moiju	m oi j u	186	c239 d015 c564 v027	2102	kyus1238
1491	Miyako	child	jarabi	j a r a b i	345	c564 v130 c151 v130 c254 v191	2099	miya1259
1492	Tōkyō	child	kodomo	k o d o m o	344	c831 v042 c143 v042 c239 v042	2099	toky1238
1493	Amami	child	warabɨ	w a r a b ɨ	345	c457 v130 c151 v130 c254 v116	2099	naze1238
1494	Kyōto	child	kodomo	k o d o m o	344	c831 v042 c143 v042 c239 v042	2099	kyot1238
1495	Hachijō	child	kodomo	k o d o m o	344	c831 v042 c143 v042 c239 v042	2099	hach1238
1496	Shuri	child	warabi	w a r a b i	345	c457 v130 c151 v130 c254 v191	2099	shur1243
1497	Kōchi	child	kodomo	k o d o m o	344	c831 v042 c143 v042 c239 v042	2099	shik1243
1498	Sado	child	kodomo	k o d o m o	344	c831 v042 c143 v042 c239 v042	2099	sado1237
1499	Oki	child	kodomo	k o d o m o	344	c831 v042 c143 v042 c239 v042	2099	
1500	Kagoshima	child	koidoɴ	k oi d o ɴ	344	c831 d015 c143 v042 c745	2099	kyus1238
442	Miyako	claw	ʦɨmi	ts ɨ m i	103	c015 v116 c239 v191	72	miya1259
443	Tōkyō	claw	ʦume	ts u m e	103	c015 v027 c239 v200	72	toky1238
444	Amami	claw	ʦɨmɨ	ts ɨ m ɨ	103	c015 v116 c239 v116	72	naze1238
445	Kyōto	claw	ʦume	ts u m e	103	c015 v027 c239 v200	72	kyot1238
446	Hachijō	claw	ʦume	ts u m e	103	c015 v027 c239 v200	72	hach1238
447	Shuri	claw	ɕimi	ɕ i m i	103	c202 v191 c239 v191	72	shur1243
448	Kōchi	claw	tume	t u m e	103	c118 v027 c239 v200	72	shik1243
449	Sado	claw	ʦume	ts u m e	103	c015 v027 c239 v200	72	sado1237
450	Oki	claw	ʦume	ts u m e	103	c015 v027 c239 v200	72	
451	Kagoshima	claw	ʦuime	ts ui m e	103	c015 d016 c239 v200	72	kyus1238
790	Miyako	cloud	fumu	f u m u	180	c447 v027 c239 v027	1489	miya1259
791	Tōkyō	cloud	kumo	k u m o	180	c831 v027 c239 v042	1489	toky1238
792	Amami	cloud	kumo	k u m o	180	c831 v027 c239 v042	1489	naze1238
793	Kyōto	cloud	kumo	k u m o	180	c831 v027 c239 v042	1489	kyot1238
794	Hachijō	cloud	kumo	k u m o	180	c831 v027 c239 v042	1489	hach1238
795	Shuri	cloud	kumu	k u m u	180	c831 v027 c239 v027	1489	shur1243
796	Kōchi	cloud	kumo	k u m o	180	c831 v027 c239 v042	1489	shik1243
797	Sado	cloud	kumo	k u m o	180	c831 v027 c239 v042	1489	sado1237
798	Oki	cloud	kumo	k u m o	180	c831 v027 c239 v042	1489	
799	Kagoshima	cloud	kumo	k u m o	180	c831 v027 c239 v042	1489	kyus1238
930	Miyako	cold	piʃi	p i ʃ i	201	c288 v191 c677 v191	1287	miya1259
931	Tōkyō	cold	samui	s a m ui	203	c087 v130 c239 d016	1287	toky1238
932	Amami	cold	higurusari	h i g u r u s a r i	201	c401 v191 c824 v027 c151 v027 c087 v130 c151 v191	1287	naze1238
933	Kyōto	cold	sabui	s a b ui	203	c087 v130 c254 d016	1287	kyot1238
934	Hachijō	cold	kogiete	k o g ie t e	202	c831 v042 c824 d044 c118 v200	1287	hach1238
935	Shuri	cold	hwiːsaɴ	h w iː s a ɴ	201	c401 c457 v183 c087 v130 c745	1287	shur1243
936	Kōchi	cold	hijai	h i j ai	201	c401 v191 c564 d030	1287	shik1243
937	Sado	cold	samui	s a m ui	203	c087 v130 c239 d016	1287	sado1237
938	Oki	cold	sabiː	s a b iː	203	c087 v130 c254 v183	1287	
939	Kagoshima	cold	sami	s a m i	203	c087 v130 c239 v191	1287	kyus1238
650	Miyako	come	fuː	f uː	147	c447 v019	1446	miya1259
651	Tōkyō	come	kuru	k u r u	149	c831 v027 c151 v027	1446	toky1238
652	Amami	come	xuri	x u r i	149	c772 v027 c151 v191	1446	naze1238
653	Kyōto	come	kuru	k u r u	149	c831 v027 c151 v027	1446	kyot1238
654	Hachijō	come	kuru	k u r u	149	c831 v027 c151 v027	1446	hach1238
655	Shuri	come	ʦuːɴ	ts uː ɴ	148	c015 v019 c745	1446	shur1243
656	Kōchi	come	kuru	k u r u	149	c831 v027 c151 v027	1446	shik1243
657	Sado	come	kuru	k u r u	149	c831 v027 c151 v027	1446	sado1237
658	Oki	come	kuru	k u r u	149	c831 v027 c151 v027	1446	
659	Kagoshima	come	ku	k u	149	c831 v027	1446	kyus1238
1671	Miyako	correct (right)	atariːduːɭ	a t a r iː d uː ɭ	392	v130 c118 v130 c151 v183 c143 v019 c702	1725	miya1259
1672	Tōkyō	correct (right)	iː	iː	387	v183	1725	toky1238
1673	Amami	correct (right)	iʨːari	i tːɕ a r i	390	v191 c200 v130 c151 v191	1725	naze1238
1674	Kyōto	correct (right)	eː	eː	387	v202	1725	kyot1238
1675	Hachijō	correct (right)	jokːja	j o kː j a	393	c564 v042 c825 c564 v130	1725	hach1238
1676	Shuri	correct (right)	jutaɕaɴ	j u t a ɕ a ɴ	391	c564 v027 c118 v130 c202 v130 c745	1725	shur1243
1677	Kōchi	correct (right)	eː	eː	387	v202	1725	shik1243
1678	Sado	correct (right)	tadasiː	t a d a s iː	388	c118 v130 c143 v130 c087 v183	1725	sado1237
1679	Oki	correct (right)	eː	eː	387	v202	1725	
1680	Kagoshima	correct (right)	naiːʨo	n a iː tɕ o	389	c105 v130 v183 c198 v042	1725	kyus1238
1511	Miyako	cut	ʦɨːʦɨː	ts ɨː ts ɨː	347	c015 v109 c015 v109	1432	miya1259
1512	Tōkyō	cut	kiru	k i r u	347	c831 v191 c151 v027	1432	toky1238
1513	Amami	cut	kiruri	k i r u r i	347	c831 v191 c151 v027 c151 v191	1432	naze1238
1514	Kyōto	cut	kiru	k i r u	347	c831 v191 c151 v027	1432	kyot1238
1515	Hachijō	cut	kiru	k i r u	347	c831 v191 c151 v027	1432	hach1238
1516	Shuri	cut	ʨijuɴ	tɕ i j u ɴ	347	c198 v191 c564 v027 c745	1432	shur1243
1517	Kōchi	cut	kiru	k i r u	347	c831 v191 c151 v027	1432	shik1243
1518	Sado	cut	kiru	k i r u	347	c831 v191 c151 v027	1432	sado1237
1519	Oki	cut	kiru	k i r u	347	c831 v191 c151 v027	1432	
1520	Kagoshima	cut	kit	k i t	347	c831 v191 c118	1432	kyus1238
1501	Miyako	dark	fːa	fː a	346	c439 v130	706	miya1259
1502	Tōkyō	dark	kurai	k u r ai	346	c831 v027 c151 d030	706	toky1238
1503	Amami	dark	kurasari	k u r a s a r i	346	c831 v027 c151 v130 c087 v130 c151 v191	706	naze1238
1504	Kyōto	dark	kurai	k u r ai	346	c831 v027 c151 d030	706	kyot1238
1505	Hachijō	dark	kurakʲa	k u r a kʲ a	346	c831 v027 c151 v130 c830 v130	706	hach1238
1506	Shuri	dark	kurasaɴ	k u r a s a ɴ	346	c831 v027 c151 v130 c087 v130 c745	706	shur1243
1507	Kōchi	dark	kurai	k u r ai	346	c831 v027 c151 d030	706	shik1243
1508	Sado	dark	kurai	k u r ai	346	c831 v027 c151 d030	706	sado1237
1509	Oki	dark	kureː	k u r eː	346	c831 v027 c151 v202	706	
1510	Kagoshima	dark	kuire	k ui r e	346	c831 d016 c151 v200	706	kyus1238
1140	Miyako	day	sɨkama	s ɨ k a m a	263	c087 v116 c831 v130 c239 v130	1225	miya1259
1141	Tōkyō	day	hiruma	h i r u m a	262	c401 v191 c151 v027 c239 v130	1225	toky1238
1142	Amami	day	hiruhiɴma	h i r u h i ɴ m a	262	c401 v191 c151 v027 c401 v191 c745 c239 v130	1225	naze1238
1143	Kyōto	day	hiruma	h i r u m a	262	c401 v191 c151 v027 c239 v130	1225	kyot1238
1144	Hachijō	day	hiruma	h i r u m a	262	c401 v191 c151 v027 c239 v130	1225	hach1238
1145	Shuri	day	hwiru	h w i r u	262	c401 c457 v191 c151 v027	1225	shur1243
1146	Kōchi	day	hiruma	h i r u m a	262	c401 v191 c151 v027 c239 v130	1225	shik1243
1147	Sado	day	hiruma	h i r u m a	262	c401 v191 c151 v027 c239 v130	1225	sado1237
1148	Oki	day	ɸiru	ɸ i r u	262	c224 v191 c151 v027	1225	
1149	Kagoshima	day	hiːi	h iː i	262	c401 v183 v191	1225	kyus1238
600	Miyako	die	sɨn	s ɨ n	138	c087 v116 c105	1494	miya1259
601	Tōkyō	die	sinu	s i n u	138	c087 v191 c105 v027	1494	toky1238
602	Amami	die	simʲuri	s i mʲ u r i	138	c087 v191 c240 v027 c151 v191	1494	naze1238
603	Kyōto	die	sinu	s i n u	138	c087 v191 c105 v027	1494	kyot1238
604	Hachijō	die	marubu	m a r u b u	137	c239 v130 c151 v027 c254 v027	1494	hach1238
605	Shuri	die	sinuɴ	s i n u ɴ	138	c087 v191 c105 v027 c745	1494	shur1243
606	Kōchi	die	sinuru	s i n u r u	138	c087 v191 c105 v027 c151 v027	1494	shik1243
607	Sado	die	sinu	s i n u	138	c087 v191 c105 v027	1494	sado1237
608	Oki	die	sinoru	s i n o r u	138	c087 v191 c105 v042 c151 v027	1494	
609	Kagoshima	die	siːɴ	s iː ɴ	138	c087 v183 c745	1494	kyus1238
1780	Miyako	dig	puɭ	p u ɭ	414	c288 v027 c702	1418	miya1259
1781	Tōkyō	dig	horu	h o r u	414	c401 v042 c151 v027	1418	toky1238
1782	Amami	dig	hururi	h u r u r i	414	c401 v027 c151 v027 c151 v191	1418	naze1238
1783	Kyōto	dig	horu	h o r u	414	c401 v042 c151 v027	1418	kyot1238
1784	Hachijō	dig	horu	h o r u	414	c401 v042 c151 v027	1418	hach1238
1785	Shuri	dig	hujuɴ	h u j u ɴ	414	c401 v027 c564 v027 c745	1418	shur1243
1786	Kōchi	dig	horu	h o r u	414	c401 v042 c151 v027	1418	shik1243
1787	Sado	dig	horu	h o r u	414	c401 v042 c151 v027	1418	sado1237
1788	Oki	dig	horu	h o r u	414	c401 v042 c151 v027	1418	
1789	Kagoshima	dig	ho	h o	414	c401 v042	1418	kyus1238
1621	Miyako	dirty	ʃːanagi	ʃː a n a g i	375	c672 v130 c105 v130 c824 v191	1230	miya1259
1622	Tōkyō	dirty	kitanai	k i t a n ai	370	c831 v191 c118 v130 c105 d030	1230	toky1238
1623	Amami	dirty	janagesari	j a n a g e s a r i	373	c564 v130 c105 v130 c824 v200 c087 v130 c151 v191	1230	naze1238
1624	Kyōto	dirty	kitanai	k i t a n ai	370	c831 v191 c118 v130 c105 d030	1230	kyot1238
1625	Hachijō	dirty	kitanakʲa	k i t a n a kʲ a	370	c831 v191 c118 v130 c105 v130 c830 v130	1230	hach1238
1626	Shuri	dirty	hagoːsaɴ	h a g oː s a ɴ	374	c401 v130 c824 v035 c087 v130 c745	1230	shur1243
1627	Kōchi	dirty	dakina	d a k i n a	372	c143 v130 c831 v191 c105 v130	1230	shik1243
1628	Sado	dirty	jogoretoru	j o g o r e t o r u	371	c564 v042 c824 v042 c151 v200 c118 v042 c151 v027	1230	sado1237
