CONCEPT	IPA	DOCULECT	COGID
1396	ˈsxɑɹəb	DANISH_FJOLDE	sharp:B
1396	ˈskarpar	GUTNISH_LAU	sharp:B
1396	ˈvasːar	GUTNISH_LAU	sharp:H
1396	ʃɑ:p	ENGLISH	sharp:B
1396	skɛrp	FRISIAN	sharp:B
1396	sχɛrp	DUTCH	sharp:B
1396	ʃarf	GERMAN	sharp:B
1396	ˈaːker	LATIN	sharp:C
1396	aˈkuːtus	LATIN	sharp:C
1396	ɐfiˈadu	PORTUGUESE	sharp:C
1396	ɐɡuˈsadu	PORTUGUESE	sharp:C
1396	afilaðo	SPANISH	sharp:C
1396	aɣuðo	SPANISH	sharp:C
1396	tʀɑ̃ʃɑ̃	FRENCH	sharp:I
1396	taʎʎɛnte	ITALIAN	sharp:G
1396	gʹe:r	OLD_IRISH	sharp:L
1396	ɸaiβər	OLD_IRISH	sharp:O
1396	lɪm:	MIDDLE_CORNISH	sharp:F
1396	ˈlemː	MIDDLE_BRETON	sharp:F
1396	ɟeːɾˠ	IRISH	sharp:L
1446	ˈe̞rxo̞ˌme̞	GREEK	come:G
1446	ɡɑ-m	CLASSICAL_ARMENIAN	come:D
1446	gɑl	ARMENIAN_EASTERN	come:D
1446	tsæwɨn	OSSETIC	come:P
1446	ɐrbasɐw-	OSSETIC_IRON	come:K
1446	ɐrbacɐw-	OSSETIC_DIGOR	come:K
1446	as-	ORIYA	come:N
1446	aeəb	BIHARI	come:H
1446	ɑnɑ	MAGAHI	come:H
1446	ʔɑnə	URDU	come:H
1446	jeɳe	MARATHI	come:S
1446	priti	OLD_CHURCH_SLAVONIC	come:F
1446	prixɔditi	OLD_CHURCH_SLAVONIC	come:W
1446	ɡrɛ̃sti	OLD_CHURCH_SLAVONIC	come:U
1446	ˈdɔ̌laziti	SERBO-CROATIAN	come:V
1446	ˈdɔ̂ːtɕi	SERBO-CROATIAN	come:F
1446	ˈdɔjdə	BULGARIAN	come:F
1446	ˈdojdɛ	MACEDONIAN	come:F
1446	ˈdo.aɟa	MACEDONIAN	come:W
1446	prʲixɔdʲitʲ	RUSSIAN	come:W
1446	pɾʲijˈtʲi	RUSSIAN	come:F
1446	pʂɘ̟ˈxɔdʑitɕ	POLISH	come:W
1446	pʂɘ̟jɕtɕ	POLISH	come:F
1446	prɨˈxɔdzʲitsʲ	BELARUSIAN	come:W
1446	prɨjsˈtsʲi	BELARUSIAN	come:F
1446	prɪˈxodɪtɪ	UKRAINIAN	come:W
1446	prɪjˈtɪ	UKRAINIAN	come:F
1446	priːsc	SLOVAK	come:F
1446	ˈprixaːdzac	SLOVAK	come:W
1446	ˈpr̝̊ɪjiːt	CZECH	come:F
1446	ˈpʃikʰadʒɛtʃ	SORBIAN_UPPER	come:W
1446	pʃintʃ	SORBIAN_UPPER	come:F
1446	pɕiɕ	SORBIAN_LOWER	come:F
1446	ˈpɕixadaɕ	SORBIAN_LOWER	come:W
1446	priˈxâːjati	SLOVENIAN	come:W
1446	ˈprǐːti	SLOVENIAN	come:F
1446	ˈkoma	OLD_NORSE	come:B
1446	ˈkʰɔːma	ICELANDIC	come:B
1446	ˈkʰoːma	FAROESE	come:B
1446	ˈkɔ̀mːə	NORWEGIAN_RIKSMAL	come:B
1446	ˈkɔ̀mːa	STAVANGERSK	come:B
1446	ˈkoːma	OLD_SWEDISH	come:B
1446	ˈkɔ̀mːa	SWEDISH	come:B
1446	ˈkʉ̀mɔ	ELFDALIAN	come:B
1446	ˈg̥ʰʌmə	DANISH	come:B
1446	kom	DANISH_FJOLDE	come:B
1446	kumːɛ	GUTNISH_LAU	come:B
1446	kʌm	ENGLISH	come:B
1446	komə	FRISIAN	come:B
1446	komən	DUTCH	come:B
1446	kɔmən	GERMAN	come:B
1446	weˈniːre	LATIN	come:B
1446	bəni	CATALAN	come:B
1446	viɾ	PORTUGUESE	come:B
1446	beniɾ	SPANISH	come:B
1446	vəniʀ	FRENCH	come:B
1446	venire	ITALIAN	come:B
1446	doˈtʹe:dʹ	OLD_IRISH	come:I
1446	doˈikʹ	OLD_IRISH	come:I
1446	dɔ:z	MIDDLE_CORNISH	come:E
1446	ˈdoːnǝt	MIDDLE_BRETON	come:E
1446	ˈdɔ̃nt	BRETON	come:E
1446	t̪ˠaɾˠ	IRISH	come:I
1424	ˈcitriˌno̞s	GREEK	yellow:G
1424	dełin	CLASSICAL_ARMENIAN	yellow:O
1424	dɛˈʁin	ARMENIAN_EASTERN	yellow:O
1424	bur	OSSETIC	yellow:M
1424	bur	OSSETIC_IRON	yellow:M
1424	borɐ	OSSETIC_DIGOR	yellow:M
1424	hɔlɔdhia	ASSAMESE	yellow:L
1424	hɔɭɔdia	ORIYA	yellow:L
1424	piyər	BIHARI	yellow:H
1424	piər	MAGAHI	yellow:H
1424	pilɑ	URDU	yellow:H
1424	piwɭa	MARATHI	yellow:H
1424	ʒl̩ʲtʊ̆	OLD_CHURCH_SLAVONIC	yellow:A
1424	ʒûːt	SERBO-CROATIAN	yellow:A
1424	ʒɤɫt	BULGARIAN	yellow:A
1424	ʒolt	MACEDONIAN	yellow:A
1424	ʐɔɫtɨj	RUSSIAN	yellow:A
1424	ˈʐuwtɘ̟	POLISH	yellow:A
1424	ˈʐɔwtɨ	BELARUSIAN	yellow:A
1424	ˈʐɔʋtɪj	UKRAINIAN	yellow:A
1424	ˈʒl̩tiː	SLOVAK	yellow:A
1424	ˈʒlutiː	CZECH	yellow:A
1424	ˈʒotɘ̟	SORBIAN_UPPER	yellow:A
1424	ˈʐowtɘ̟	SORBIAN_LOWER	yellow:A
1424	ruˈmɛn	SLOVENIAN	yellow:R
1424	ɡulr	OLD_NORSE	yellow:A
1424	ˈɡ̊ʏːlʏr	ICELANDIC	yellow:A
1424	ˈɡ̊uːlʊɹ	FAROESE	yellow:A
1424	ɡʉːɽ	NORWEGIAN_RIKSMAL	yellow:A
1424	ˈɡʉːlə	STAVANGERSK	yellow:A
1424	ɡuːl	OLD_SWEDISH	yellow:A
1424	ɡʉːl	SWEDISH	yellow:A
1424	gʉəl	ELFDALIAN	yellow:A
1424	guˀl	DANISH	yellow:A
1424	ɡuːl	DANISH_FJOLDE	yellow:A
1424	ˈɡɛular	GUTNISH_LAU	yellow:A
1424	jɛləʊ	ENGLISH	yellow:A
1424	ge:l	FRISIAN	yellow:A
1424	ɣel	DUTCH	yellow:A
1424	gɛlp	GERMAN	yellow:A
1424	gɾɔk	CATALAN	yellow:E
1424	ɐmɐˈɾɛlu	PORTUGUESE	yellow:C
1424	amaɾiʎo	SPANISH	yellow:C
1424	ʒon	FRENCH	yellow:F
1424	dʒallo	ITALIAN	yellow:F
1424	budʹe	OLD_IRISH	yellow:I
1424	mɛlɪn	MIDDLE_CORNISH	yellow:D
1424	ˈmeːlen	MIDDLE_BRETON	yellow:D
1424	ˈmeːlǝn	BRETON	yellow:D
784	ˈço̞ni	GREEK	snow:D
784	jiwn	CLASSICAL_ARMENIAN	snow:D
784	ʣɪ̯un	ARMENIAN_EASTERN	snow:D
784	mit	OSSETIC	snow:F
784	mit	OSSETIC_IRON	snow:F
784	met	OSSETIC_DIGOR	snow:F
784	bɒrɒph	ASSAMESE	snow:A
784	bɔrɔphɔ	ORIYA	snow:A
784	bərph_khəsəb	BIHARI	snow:A
784	bəɾf	URDU	snow:A
784	bəɾfə	MARATHI	snow:A
784	snægʊ̆	OLD_CHURCH_SLAVONIC	snow:B
784	snjɛ̂ːɡ	SERBO-CROATIAN	snow:B
784	snʲaɡ	BULGARIAN	snow:B
784	sneɡ	MACEDONIAN	snow:B
784	snʲɛg	RUSSIAN	snow:B
784	ɕɲɛɡ	POLISH	snow:B
784	sʲnʲɛɣ	BELARUSIAN	snow:B
784	sniɦ	UKRAINIAN	snow:B
784	sɲɛɦ	SLOVAK	snow:B
784	sɲiːɦ	CZECH	snow:B
784	snʲɪ	SORBIAN_UPPER	snow:B
784	sɲɪɡ	SORBIAN_LOWER	snow:B
784	snêːɡ	SLOVENIAN	snow:B
784	snjoːr	OLD_NORSE	snow:B
784	stnjouːr	ICELANDIC	snow:B
784	ˈsnjɛɡ̊vʊɹ	FAROESE	snow:B
784	ˈkʰɛaːvɪ	FAROESE	snow:I
784	sneː	NORWEGIAN_RIKSMAL	snow:B
784	snøː	STAVANGERSK	snow:B
784	snjoːr	OLD_SWEDISH	snow:B
784	snøː	SWEDISH	snow:B
784	snɪʉ̃ə̃	ELFDALIAN	snow:B
784	sneˀ	DANISH	snow:B
784	snie	DANISH_FJOLDE	snow:B
784	snoɪ	GUTNISH_LAU	snow:B
784	snəʊ	ENGLISH	snow:B
784	sni.ə	FRISIAN	snow:B
784	snew	DUTCH	snow:B
784	ʃne:	GERMAN	snow:B
784	niks	LATIN	snow:B
784	new	CATALAN	snow:B
784	ˈnɛvɨ	PORTUGUESE	snow:B
784	njeβe	SPANISH	snow:B
784	nɛʒ	FRENCH	snow:B
784	neve	ITALIAN	snow:B
784	sʹnʹexte	OLD_IRISH	snow:B
784	ɛrx	MIDDLE_CORNISH	snow:E
784	ˈʃnʲãxt̪ˠə	IRISH	snow:B
1261	ˌtraɣuˈðo̞	GREEK	sing:H
1261	ergem	CLASSICAL_ARMENIAN	sing:E
1261	jɛɾˈkʰɛl	ARMENIAN_EASTERN	sing:E
1261	zarɨn	OSSETIC	sing:A
1261	žar-	OSSETIC_IRON	sing:A
1261	zar-	OSSETIC_DIGOR	sing:A
1261	ga	ASSAMESE	sing:F
1261	ga-	ORIYA	sing:F
1261	gaeəb	BIHARI	sing:F
1261	ɡɑnə	URDU	sing:F
1261	gaɳe	MARATHI	sing:F
1261	pæti	OLD_CHURCH_SLAVONIC	sing:G
1261	pjɛ̂vati	SERBO-CROATIAN	sing:G
1261	ˈpɛjə	BULGARIAN	sing:G
1261	ˈpe.ɛ	MACEDONIAN	sing:G
1261	pʲɛtʲ	RUSSIAN	sing:G
1261	ˈɕpjɛvatɕ	POLISH	sing:G
1261	sʲpʲaˈvatsʲ	BELARUSIAN	sing:G
1261	spiˈʋatɪ	UKRAINIAN	sing:G
1261	ˈspiɛvac	SLOVAK	sing:G
1261	ˈspiːvat	CZECH	sing:G
1261	ˈspɪwatʃ	SORBIAN_UPPER	sing:G
1261	ˈspiwaɕ	SORBIAN_LOWER	sing:G
1261	ˈpěːti	SLOVENIAN	sing:G
1261	ˈsynɣva	OLD_NORSE	sing:B
1261	ˈɡala	OLD_NORSE	sing:R
1261	ˈsɪɲca	ICELANDIC	sing:B
1261	ˈsɪɲd̥ʒa	FAROESE	sing:B
1261	ˈkvøːa	FAROESE	sing:J
1261	ˈsʏ̀ŋːə	NORWEGIAN_RIKSMAL	sing:B
1261	ˈsʏ̀ŋːa	STAVANGERSK	sing:B
1261	ˈsjuŋːa	OLD_SWEDISH	sing:B
1261	ˈkvæːða	OLD_SWEDISH	sing:J
1261	ˈɧɵ̀ŋːa	SWEDISH	sing:B
1261	ˈkwɛ̀ðɔ	ELFDALIAN	sing:J
1261	ˈsøŋə	DANISH	sing:B
1261	kveæ	DANISH_FJOLDE	sing:J
1261	ˈsɪŋɡɛ	GUTNISH_LAU	sing:B
1261	sɪŋ	ENGLISH	sing:B
1261	sjoŋə	FRISIAN	sing:B
1261	zɪŋən	DUTCH	sing:B
1261	zɪŋən	GERMAN	sing:B
1261	ˈkanere	LATIN	sing:D
1261	kɐ̃ˈtaɾ	PORTUGUESE	sing:D
1261	kantaɾ	SPANISH	sing:D
1261	ʃɑ̃te	FRENCH	sing:D
1261	kantare	ITALIAN	sing:D
1261	kanəðʹ	OLD_IRISH	sing:D
1261	kana	MIDDLE_CORNISH	sing:D
1261	kan̪ˠ	IRISH	sing:D
1220	ura	GREEK	tail:O
1220	poʧʰ	ARMENIAN_EASTERN	tail:D
1220	dɨmæɡ	OSSETIC	tail:E
1220	kɐzil	OSSETIC_IRON	tail:Z
1220	kɐdželɐ	OSSETIC_DIGOR	tail:Z
1220	lɛz	ASSAMESE	tail:W
1220	lanjɔ	ORIYA	tail:W
1220	nəŋgair	BIHARI	tail:W
1220	d̪ʊm	URDU	tail:E
1220	ʃepʈi:	MARATHI	tail:V
1220	ɔpɑʃɪ̆	OLD_CHURCH_SLAVONIC	tail:H
1220	rɛ̂ːp	SERBO-CROATIAN	tail:R
1220	uˈpaʃkə	BULGARIAN	tail:H
1220	ˈopaʃka	MACEDONIAN	tail:H
1220	xvɔst	RUSSIAN	tail:I
1220	ˈɔɡɔn	POLISH	tail:Q
1220	xvɔst	BELARUSIAN	tail:I
1220	xʋist	UKRAINIAN	tail:I
1220	xvɔst	SLOVAK	tail:I
1220	ˈɔtsas	CZECH	tail:J
1220	ˈwɔpuʃ	SORBIAN_UPPER	tail:H
1220	ˈhɔɡɛn	SORBIAN_LOWER	tail:Q
1220	rɛp	SLOVENIAN	tail:R
1220	sporðr	OLD_NORSE	tail:Ae
1220	ˈhali	OLD_NORSE	tail:K
1220	stertr	OLD_NORSE	tail:B
1220	ˈroːva	OLD_NORSE	tail:T
1220	ˈveːli	OLD_NORSE	tail:Ad
1220	ˈhaːlɪ	ICELANDIC	tail:K
1220	ˈrouːva	ICELANDIC	tail:T
1220	ˈstɛr̥tʰʏr	ICELANDIC	tail:B
1220	ˈvjɛːlɪ	ICELANDIC	tail:Ad
1220	ˈspɔrðʏr	ICELANDIC	tail:Ae
1220	ˈstɛɻ̊ʈʊɹ	FAROESE	tail:B
1220	saks	FAROESE	tail:Af
1220	veːl	FAROESE	tail:Ad
1220	svaiːv	FAROESE	tail:Ag
1220	ˈhɛaːlɪ	FAROESE	tail:K
1220	ˈɹɔuva	FAROESE	tail:T
1220	ˈhàːlə	NORWEGIAN_RIKSMAL	tail:K
1220	ˈrʉ̀mpə	NORWEGIAN_RIKSMAL	tail:Y
1220	ˈròːʋə	NORWEGIAN_RIKSMAL	tail:T
1220	spuɖː	NORWEGIAN_RIKSMAL	tail:Ae
1220	ˈʋèːlə	NORWEGIAN_RIKSMAL	tail:Ad
1220	sʋans	NORWEGIAN_RIKSMAL	tail:N
1220	stjɛʈː	NORWEGIAN_RIKSMAL	tail:B
1220	stæʁt	STAVANGERSK	tail:B
1220	spuːʁ	STAVANGERSK	tail:Ae
1220	spuːʁ	STAVANGERSK	tail:Ae
1220	ˈʋèːlə	STAVANGERSK	tail:Ad
1220	ˈstjærter	OLD_SWEDISH	tail:B
1220	ˈhaːli	OLD_SWEDISH	tail:K
1220	ˈvæːle	OLD_SWEDISH	tail:Ad
1220	ˈspoːrðer	OLD_SWEDISH	tail:Ae
1220	svans	SWEDISH	tail:N
1220	ɧæʈː	SWEDISH	tail:B
1220	ˈɔ̀lɔ	ELFDALIAN	tail:K
1220	ˈrʉ̀mpɑ	ELFDALIAN	tail:Y
1220	ˈsd̥jæɐ̠ˀd	DANISH	tail:B
1220	ˈhɛ:lə	DANISH	tail:K
1220	sxæɹd	DANISH_FJOLDE	tail:B
1220	ˈrumpo	GUTNISH_LAU	tail:Y
1220	stjɛrt	GUTNISH_LAU	tail:B
1220	teɪl	ENGLISH	tail:L
1220	start	DUTCH	tail:B
1220	ʃvant͜s	GERMAN	tail:N
1220	ˈkau̯da	LATIN	tail:F
1220	kua	CATALAN	tail:F
1220	ˈɾaβu	PORTUGUESE	tail:T
1220	ˈkauðɐ	PORTUGUESE	tail:F
1220	kola	SPANISH	tail:F
1220	kø	FRENCH	tail:F
1220	koda	ITALIAN	tail:F
1220	erball	OLD_IRISH	tail:O
1220	los	OLD_IRISH	tail:G
1220	lɔ:st	MIDDLE_CORNISH	tail:G
1494	pe̞ˈθe̞no̞	GREEK	die:D
1494	mɛr-ɑn-i-m	CLASSICAL_ARMENIAN	die:A
1494	mɛrˈnɛl	ARMENIAN_EASTERN	die:A
1494	mælɨn	OSSETIC	die:A
1494	mɐl-	OSSETIC_IRON	die:A
1494	mɐl-	OSSETIC_DIGOR	die:A
1494	mar-	ASSAMESE	die:A
1494	mɔr-	ORIYA	die:A
1494	mərəb	BIHARI	die:A
1494	mərnɑ	MAGAHI	die:A
1494	məɾnə	URDU	die:A
1494	məɾɳe	MARATHI	die:A
1494	umræti	OLD_CHURCH_SLAVONIC	die:A
1494	ˈǔmirati	SERBO-CROATIAN	die:A
1494	uˈmirəm	BULGARIAN	die:A
1494	ˈumiram	MACEDONIAN	die:A
1494	umʲiratʲ	RUSSIAN	die:A
1494	uˈmjɛraʨ	POLISH	die:A
1494	pamʲiˈratsʲ	BELARUSIAN	die:A
1494	umɪˈratɪ	UKRAINIAN	die:A
1494	ˈumiɛrac	SLOVAK	die:A
1494	ˈumiːrat	CZECH	die:A
1494	mʀɪtʃ	SORBIAN_UPPER	die:A
1494	mrʲɪɕ	SORBIAN_LOWER	die:A
1494	ˈmrěːti	SLOVENIAN	die:A
1494	ˈdɛyja	OLD_NORSE	die:B
1494	ˈandask	OLD_NORSE	die:F
1494	ˈd̥eiːja	ICELANDIC	die:B
1494	ˈand̥ast	ICELANDIC	die:F
1494	ˈand̥ast	FAROESE	die:F
1494	ˈd̥ɔd̥ʒːa	FAROESE	die:B
1494	døː	NORWEGIAN_RIKSMAL	die:B
1494	dœɪ	STAVANGERSK	die:B
1494	ˈdøjːa	OLD_SWEDISH	die:B
1494	dø:	SWEDISH	die:B
1494	ˈdæ̀ːɑ	ELFDALIAN	die:B
1494	d̥øˀ	DANISH	die:B
1494	dyø	DANISH_FJOLDE	die:B
1494	doɪ	GUTNISH_LAU	die:B
1494	daɪ	ENGLISH	die:B
1494	dɪ.ə	FRISIAN	die:B
1494	stɛrvən	DUTCH	die:E
1494	ʃtɛrbn̩	GERMAN	die:E
1494	ˈmoriː	LATIN	die:A
1494	muri	CATALAN	die:A
1494	muˈʀeɾ	PORTUGUESE	die:A
1494	moɾiɾ	SPANISH	die:A
1494	muʀiʀ	FRENCH	die:A
1494	morire	ITALIAN	die:A
1494	mɛrwɛl	MIDDLE_CORNISH	die:A
1494	ˈmervǝl	MIDDLE_BRETON	die:A
1494	ˈmɛrvɛl	BRETON	die:A
1287	ˈkriˌo̞s	GREEK	cold:H
1287	psixros	GREEK	cold:K
1287	tsʰuɾt	CLASSICAL_ARMENIAN	cold:A
1287	tsʰuɾt	ARMENIAN_EASTERN	cold:A
1287	wazal	OSSETIC	cold:A
1287	wažal	OSSETIC_IRON	cold:A
1287	wazal	OSSETIC_DIGOR	cold:A
1287	xit	ASSAMESE	cold:A
1287	thɔɳɖa	ORIYA	cold:D
1287	ʈhəndha	BIHARI	cold:D
1287	kənkən	MAGAHI	cold:U
1287	tʰəndʰɑ	MAGAHI	cold:D
1287	səɾd̪	URDU	cold:D
1287	tʰaɳɖi:	MARATHI	cold:D
1287	studɛnʊ̆	OLD_CHURCH_SLAVONIC	cold:M
1287	ˈhlǎːdan	SERBO-CROATIAN	cold:G
1287	stuˈdɛn	BULGARIAN	cold:M
1287	ˈstudɛn	MACEDONIAN	cold:M
1287	xɔɫɔdnɨj	RUSSIAN	cold:G
1287	ˈʑimnɘ̟	POLISH	cold:L
1287	xaˈɫɔdnɨ	BELARUSIAN	cold:G
1287	xɔˈɫɔdnɪj	UKRAINIAN	cold:G
1287	ˈstuɟɛniː	SLOVAK	cold:M
1287	ˈstudɛniː	CZECH	cold:M
1287	ˈzɘ̟mnɘ̟	SORBIAN_UPPER	cold:L
1287	ˈzɘ̟mnɘ̟	SORBIAN_LOWER	cold:L
1287	ˈhlǎːdɛn	SLOVENIAN	cold:G
1287	kaldr	OLD_NORSE	cold:B
1287	ˈkʰald̥ʏr	ICELANDIC	cold:B
1287	ˈkʰald̥ʊɹ	FAROESE	cold:B
1287	kalː	NORWEGIAN_RIKSMAL	cold:B
1287	ˈkalːə	STAVANGERSK	cold:B
1287	ˈkalder	OLD_SWEDISH	cold:B
1287	kalː	SWEDISH	cold:B
1287	kold	ELFDALIAN	cold:B
1287	g̥ʰʌlˀ	DANISH	cold:B
1287	koːlʲ	DANISH_FJOLDE	cold:B
1287	ˈkaldar	GUTNISH_LAU	cold:B
1287	kəʊld	ENGLISH	cold:B
1287	kɔ:t	FRISIAN	cold:B
1287	kɑut	DUTCH	cold:B
1287	kalt	GERMAN	cold:B
1287	ˈfriːgidus	LATIN	cold:E
1287	fɾɛt	CATALAN	cold:E
1287	ˈfɾiu	PORTUGUESE	cold:E
1287	fɾio	SPANISH	cold:E
1287	fʀwɑ	FRENCH	cold:E
1287	freddo	ITALIAN	cold:E
1287	u:ər	OLD_IRISH	cold:I
1287	jɛɪn	MIDDLE_CORNISH	cold:F
1287	ˈjeːn	MIDDLE_BRETON	cold:F
1287	ˈjẽːn	BRETON	cold:F
1287	fˠuəɾˠ	IRISH	cold:I
1405	ˈo̞no̞ˌma	GREEK	name:A
1405	anown	CLASSICAL_ARMENIAN	name:A
1405	ɑˈnun	ARMENIAN_EASTERN	name:A
1405	nom	OSSETIC	name:A
1405	nom	OSSETIC_IRON	name:A
1405	nom	OSSETIC_DIGOR	name:A
1405	nam	ASSAMESE	name:A
1405	namɔ	ORIYA	name:A
1405	nam	BIHARI	name:A
1405	nɑm	MAGAHI	name:A
1405	nɑm	URDU	name:A
1405	naw	MARATHI	name:A
1405	imɛ̃	OLD_CHURCH_SLAVONIC	name:A
1405	ˈîmɛ	SERBO-CROATIAN	name:A
1405	ˈimɘ	BULGARIAN	name:A
1405	ˈimɛ	MACEDONIAN	name:A
1405	imʲa	RUSSIAN	name:A
1405	ˈimjɛɰ̃	POLISH	name:A
1405	iˈmʲa	BELARUSIAN	name:A
1405	iˈmja	UKRAINIAN	name:A
1405	ˈmɛnɔ	SLOVAK	name:A
1405	ˈjmɛːnɔ	CZECH	name:A
1405	ˈmĕɛnɔ	SORBIAN_UPPER	name:A
1405	mɪ	SORBIAN_LOWER	name:A
1405	iˈmêː	SLOVENIAN	name:A
1405	nafn	OLD_NORSE	name:A
1405	napn	ICELANDIC	name:A
1405	naun	FAROESE	name:A
1405	naʋn	NORWEGIAN_RIKSMAL	name:A
1405	naʋn	STAVANGERSK	name:A
1405	nampn	OLD_SWEDISH	name:A
1405	namn	SWEDISH	name:A
1405	ˈnɑ́mːɛn	ELFDALIAN	name:A
1405	nɑwˀn	DANISH	name:A
1405	nɑːwn	DANISH_FJOLDE	name:A
1405	namn	GUTNISH_LAU	name:A
1405	neɪm	ENGLISH	name:A
1405	namə	FRISIAN	name:A
1405	nam	DUTCH	name:A
1405	na:mə	GERMAN	name:A
1405	ˈnoːmen	LATIN	name:A
1405	nɔm	CATALAN	name:A
1405	ˈnɔmɨ	PORTUGUESE	name:A
1405	nombɾe	SPANISH	name:A
1405	nɔ̃	FRENCH	name:A
1405	nome	ITALIAN	name:A
1405	anʹmʹ	OLD_IRISH	name:A
1405	hanɔʊ	MIDDLE_CORNISH	name:A
1405	ˈaːnv	MIDDLE_BRETON	name:A
1405	ˈɑ̃nw	BRETON	name:A
1405	ˈanʲəmʲ	IRISH	name:A
1295	raˈvði	GREEK	stick:Y
1295	ˈksilo̞	GREEK	stick:L
1295	pʰɑɪ̯t	ARMENIAN_EASTERN	stick:V
1295	lædzæɡ	OSSETIC	stick:U
1295	lɐzɐg	OSSETIC_IRON	stick:U
1295	lathi	ASSAMESE	stick:E
1295	laʈhi	ORIYA	stick:E
1295	chə̃ri	BIHARI	stick:O
1295	ɖənɖɑ	URDU	stick:M
1295	kaʈʰi:	MARATHI	stick:O
1295	pɑlitsʲa	OLD_CHURCH_SLAVONIC	stick:H
1295	ˈpâlitsa	SERBO-CROATIAN	stick:H
1295	prûːt	SERBO-CROATIAN	stick:G
1295	ˈprɤtʃkə	BULGARIAN	stick:G
1295	prat	MACEDONIAN	stick:G
1295	paɫka	RUSSIAN	stick:H
1295	kʲij	POLISH	stick:I
1295	kʲij	BELARUSIAN	stick:I
1295	ˈpaɫɪtsʲa	UKRAINIAN	stick:H
1295	pruːt	SLOVAK	stick:G
1295	ˈpalitsa	SLOVAK	stick:H
1295	ɦuːl	CZECH	stick:J
1295	ki	SORBIAN_UPPER	stick:I
1295	kij	SORBIAN_LOWER	stick:I
1295	ˈpǎːlitsa	SLOVENIAN	stick:H
1295	ˈpinːi	OLD_NORSE	stick:Aa
1295	vɔlr	OLD_NORSE	stick:S
1295	kepːr	OLD_NORSE	stick:Ab
1295	stavr	OLD_NORSE	stick:D
1295	ˈvœːlʏr	ICELANDIC	stick:S
1295	ˈstaːvʏr	ICELANDIC	stick:D
1295	ˈtʃɛpːʊɹ	FAROESE	stick:Ab
1295	ˈstɛaːvʊɹ	FAROESE	stick:D
1295	stɔkː	NORWEGIAN_RIKSMAL	stick:B
1295	staːʋ	NORWEGIAN_RIKSMAL	stick:D
1295	çɛpː	NORWEGIAN_RIKSMAL	stick:Ab
1295	stɑːv	STAVANGERSK	stick:D
1295	çɛpː	STAVANGERSK	stick:Ab
1295	stɔkː	STAVANGERSK	stick:B
1295	ˈstaːver	OLD_SWEDISH	stick:D
1295	ˈkæpːer	OLD_SWEDISH	stick:Ab
1295	vaːl	OLD_SWEDISH	stick:S
1295	kvist	SWEDISH	stick:Ac
1295	ɕɛpː	SWEDISH	stick:Ab
1295	ˈpɪ̀nːə	SWEDISH	stick:Aa
1295	stɑːv	SWEDISH	stick:D
1295	ˈpɪ̀nːɛ	ELFDALIAN	stick:Ae
1295	kwɪst	ELFDALIAN	stick:Ac
1295	sd̥ʰʌg̥ʰ	DANISH	stick:B
