ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
4339	Tetum	Fifty	limanulu	l i m a n u l u	1931	c548 v191 c239 v130 c105 v027 c548 v027	1717	tetu1246
4340	Chamorro	Fifty	limijai#na#fulu	l i m i j a i _ n a _ f u l u	2599	c548 v191 c239 v191 c564 v130 v191 m001 c105 v130 m001 c447 v027 c548 v027	1717	cham1312
4223	Merina_Malagasy	Five	dimj	d i m j	134	c143 v191 c239 c564	493	plat1254
4224	Thao	Five	riːmaʔ	r iː m a ʔ	134	c151 v183 c239 v130 c405	493	thao1240
4225	Thao	Five	hrima	h r i m a	134	c401 c151 v191 c239 v130	493	thao1240
4226	Palauan	Five	kleim	k l e i m	134	c831 c548 v200 v191 c239	493	pala1344
4227	Tunjung	Five	limaq	l i m a q	134	c548 v191 c239 v130 c751	493	tunj1244
4228	Bare'e	Five	alima	a l i m a	134	v130 c548 v191 c239 v130	493	pamo1252
4229	Iban	Five	limaʔ	l i m a ʔ	134	c548 v191 c239 v130 c405	493	iban1264
4230	Berawan_Long_Terawan	Five	dimːah	d i mː a h	134	c143 v191 c242 v130 c401	493	west2564
4231	Moken	Five	lemaʔ	l e m a ʔ	134	c548 v200 c239 v130 c405	493	moke1242
4232	Hanunoo	Five	lima	l i m a	134	c548 v191 c239 v130	493	hanu1241
4233	Tetum	Five	lima	l i m a	134	c548 v191 c239 v130	493	tetu1246
4234	Tsou	Five	eimo	e i m o	134	v200 v191 c239 v042	493	tsou1248
4235	Tsou	Five	rimo	r i m o	134	c151 v191 c239 v042	493	tsou1248
4236	Nias	Five	lima	l i m a	134	c548 v191 c239 v130	493	nias1242
4237	Central Amis	Five	lima	l i m a	134	c548 v191 c239 v130	493	amis1246
4238	Central Amis	Five	lima	l i m a	134	c548 v191 c239 v130	493	amis1246
4239	Chamorro	Five	lima	l i m a	134	c548 v191 c239 v130	493	cham1312
4200	Maloh	Four	ampat	a m p a t	358	v130 c239 c288 v130 c118	1500	emba1238
4201	Merina_Malagasy	Four	éfatra	e f a t r a	358	v200 c447 v130 c118 c151 v130	1500	plat1254
4202	Thao	Four	pat	p a t	358	c288 v130 c118	1500	thao1240
4203	Palauan	Four	oaŋ	o a ŋ	-358	v042 v130 c795	1500	pala1344
4204	Tunjung	Four	pat	p a t	358	c288 v130 c118	1500	tunj1244
4205	Bare'e	Four	opo	o p o	358	v042 c288 v042	1500	pamo1252
4206	Bare'e	Four	pata	p a t a	358	c288 v130 c118 v130	1500	pamo1252
4207	Iban	Four	ampat	a m p a t	358	v130 c239 c288 v130 c118	1500	iban1264
4208	Iban	Four	empat	e m p a t	358	v200 c239 c288 v130 c118	1500	iban1264
4209	Berawan_Long_Terawan	Four	paʔ	p a ʔ	358	c288 v130 c405	1500	west2564
4210	Moken	Four	paːt	p aː t	358	c288 v137 c118	1500	moke1242
4211	Hanunoo	Four	upat	u p a t	358	v027 c288 v130 c118	1500	hanu1241
4212	Wuna	Four	paʔ	p a ʔ	358	c288 v130 c405	1500	muna1247
4213	Mailu	Four	tourai	t o u r a i	2098	c118 v042 v027 c151 v130 v191	1500	mail1248
4214	Tsou	Four	sʉptʉ	s ʉ p t ʉ	358	c087 v102 c288 c118 v102	1500	tsou1248
4215	Nias	Four	õfa	õ f a	358	v038 c447 v130	1500	nias1242
4216	Central Amis	Four	sepat	s e p a t	358	c087 v200 c288 v130 c118	1500	amis1246
4217	Central Amis	Four	spat	s p a t	358	c087 c288 v130 c118	1500	amis1246
4218	Chamorro	Four	farfatai	f a r f a t a i	2589	c447 v130 c151 c447 v130 c118 v130 v191	1500	cham1312
4219	Chamorro	Four	fatfat	f a t f a t	2590	c447 v130 c118 c447 v130 c118	1500	cham1312
4220	Banoni	Four	toatsi	t o a t s i	358	c118 v042 v130 c118 c087 v191	1500	bann1247
4221	Singhi	Four	pat	p a t	358	c288 v130 c118	1500	baub1235
4222	Banggi	Four	afad	a f a d	358	v130 c447 v130 c143	1500	bong1289
3788	Maloh	I	iak	i a k	7	v191 v130 c831	1209	emba1238
3789	Merina_Malagasy	I	iz	i z	7	v191 c078	1209	plat1254
3790	Thao	I	jaku	j a k u	7	c564 v130 c831 v027	1209	thao1240
3791	Palauan	I	ŋak	ŋ a k	7	c795 v130 c831	1209	pala1344
3792	Tunjung	I	ap	a p	1471	v130 c288	1209	tunj1244
3793	Bare'e	I	aku	a k u	7	v130 c831 v027	1209	pamo1252
3794	Iban	I	aku	a k u	7	v130 c831 v027	1209	iban1264
3795	Berawan_Long_Terawan	I	akːoh	a kː o h	7	v130 c825 v042 c401	1209	west2564
3796	Hanunoo	I	aku	a k u	7	v130 c831 v027	1209	hanu1241
3797	Wuna	I	inodi	i n o d i	697	v191 c105 v042 c143 v191	1209	muna1247
3798	Tetum	I	hau	h a u	7	c401 v130 v027	1209	tetu1246
3799	Mailu	I	ia	i a	-7	v191 v130	1209	mail1248
3800	Tsou	I	ao	a o	7	v130 v042	1209	tsou1248
3801	Nias	I	jaʔo	j a ʔ o	-7	c564 v130 c405 v042	1209	nias1242
3802	Central Amis	I	aku	a k u	7	v130 c831 v027	1209	amis1246
3803	Central Amis	I	kako	k a k o	7	c831 v130 c831 v042	1209	amis1246
3804	Chamorro	I	guahu	g u a h u	7	c824 v027 v130 c401 v027	1209	cham1312
3805	Banoni	I	na	n a	-7	c105 v130	1209	bann1247
3806	Singhi	I	aku	a k u	7	v130 c831 v027	1209	baub1235
3807	Banggi	I	ou	o u	7	v042 v027	1209	bong1289
4292	Merina_Malagasy	Nine	sivj	s i v j	339	c087 v191 c446 c564	1483	plat1254
4293	Thao	Nine	tamaso	t a m a s o	695	c118 v130 c239 v130 c087 v042	1483	thao1240
4294	Palauan	Nine	klteiu	k l t e i u	1395	c831 c548 c118 v200 v191 v027	1483	pala1344
4295	Tunjung	Nine	tiant	t i a n t	1480	c118 v191 v130 c105 c118	1483	tunj1244
4296	Bare'e	Nine	sasio	s a s i o	1552	c087 v130 c087 v191 v042	1483	pamo1252
4297	Iban	Nine	semilan	s e m i l a n	1627	c087 v200 c239 v191 c548 v130 c105	1483	iban1264
4298	Berawan_Long_Terawan	Nine	gelpej	g e l p e j	1698	c824 v200 c548 c288 v200 c564	1483	west2564
4299	Moken	Nine	sewaːj	s e w aː j	339	c087 v200 c457 v137 c564	1483	moke1242
4300	Hanunoo	Nine	sijam	s i j a m	461	c087 v191 c564 v130 c239	1483	hanu1241
4301	Tetum	Nine	sia	s i a	1929	c087 v191 v130	1483	tetu1246
4302	Tsou	Nine	sio	s i o	339	c087 v191 v042	1483	tsou1248
4303	Tsou	Nine	sijo	s i j o	339	c087 v191 c564 v042	1483	tsou1248
4304	Tsou	Nine	cʰuga	cʰ u g a	2225	c598 v027 c824 v130	1483	tsou1248
4305	Central Amis	Nine	siwa	s i w a	339	c087 v191 c457 v130	1483	amis1246
4306	Central Amis	Nine	siwa	s i w a	339	c087 v191 c457 v130	1483	amis1246
4307	Chamorro	Nine	sigua	s i g u a	2594	c087 v191 c824 v027 v130	1483	cham1312
4308	Chamorro	Nine	siguijai	s i g u i j a i	2595	c087 v191 c824 v027 v191 c564 v130 v191	1483	cham1312
4133	Maloh	One	sera	s e r a	676	c087 v200 c151 v130	1493	emba1238
4134	Maloh	One	insa	i n s a	676	v191 c105 c087 v130	1493	emba1238
4135	Merina_Malagasy	One	isa	i s a	676	v191 c087 v130	1493	plat1254
4136	Thao	One	tata	t a t a	-676	c118 v130 c118 v130	1493	thao1240
4137	Palauan	One	taŋ	t a ŋ	676	c118 v130 c795	1493	pala1344
4138	Tunjung	One	caʔ	c a ʔ	676	c600 v130 c405	1493	tunj1244
4139	Tunjung	One	bueq	b u e q	1475	c254 v027 v200 c751	1493	tunj1244
4140	Bare'e	One	isa	i s a	676	v191 c087 v130	1493	pamo1252
4141	Iban	One	satu	s a t u	121	c087 v130 c118 v027	1493	iban1264
4142	Berawan_Long_Terawan	One	acih	a c i h	676	v130 c600 v191 c401	1493	west2564
4143	Moken	One	saʔ	s a ʔ	676	c087 v130 c405	1493	moke1242
4144	Hanunoo	One	usa	u s a	676	v027 c087 v130	1493	hanu1241
4145	Wuna	One	iseʔ	i s e ʔ	676	v191 c087 v200 c405	1493	muna1247
4146	Tetum	One	ida	i d a	-676	v191 c143 v130	1493	tetu1246
4147	Mailu	One	omu	o m u	2095	v042 c239 v027	1493	mail1248
4148	Tsou	One	cini	c i n i	712	c600 v191 c105 v191	1493	tsou1248
4149	Nias	One	sara	s a r a	676	c087 v130 c151 v130	1493	nias1242
4150	Central Amis	One	cecai	c e c a i	676	c600 v200 c600 v130 v191	1493	amis1246
4151	Central Amis	One	cːaj	cː a j	676	c592 v130 c564	1493	amis1246
4152	Central Amis	One	cecaj	c e c a j	676	c600 v200 c600 v130 c564	1493	amis1246
4153	Chamorro	One	hacʰijai	h a cʰ i j a i	2585	c401 v130 c598 v191 c564 v130 v191	1493	cham1312
4154	Chamorro	One	maisa	m a i s a	2586	c239 v130 v191 c087 v130	1493	cham1312
4155	Banoni	One	kadaken	k a d a k e n	676	c831 v130 c143 v130 c831 v200 c105	1493	bann1247
4156	Singhi	One	nikan	n i k a n	-676	c105 v191 c831 v130 c105	1493	baub1235
4157	Banggi	One	isa	i s a	676	v191 c087 v130	1493	bong1289
4341	Thao	One Hundred	mamavaŋatə	m a m a v a ŋ a t ə	1252	c239 v130 c239 v130 c446 v130 c795 v130 c118 v155	1634	thao1240
4342	Palauan	One Hundred	dart	d a r t	1399	c143 v130 c151 c118	1634	pala1344
4343	Tunjung	One Hundred	cehatu	c e h a t u	1482	c600 v200 c401 v130 c118 v027	1634	tunj1244
4344	Iban	One Hundred	seratus	s e r a t u s	804	c087 v200 c151 v130 c118 v027 c087	1634	iban1264
4345	Berawan_Long_Terawan	One Hundred	acih#gitoh	a c i h _ g i t o h	804	v130 c600 v191 c401 m001 c824 v191 c118 v042 c401	1634	west2564
4346	Hanunoo	One Hundred	ʔusa#ka#gatus	ʔ u s a _ k a _ g a t u s	804	c405 v027 c087 v130 m001 c831 v130 m001 c824 v130 c118 v027 c087	1634	hanu1241
4347	Tetum	One Hundred	atus#ida	a t u s _ i d a	1932	v130 c118 v027 c087 m001 v191 c143 v130	1634	tetu1246
4348	Tsou	One Hundred	seʔconija	s e ʔ c o n i j a	2226	c087 v200 c405 c600 v042 c105 v191 c564 v130	1634	tsou1248
4349	Chamorro	One Hundred	gatos	g a t o s	804	c824 v130 c118 v042 c087	1634	cham1312
4350	Chamorro	One Hundred	gatus	g a t u s	804	c824 v130 c118 v027 c087	1634	cham1312
4351	Palauan	One Thousand	ta#el#telael	t a _ e l _ t e l a e l	1400	c118 v130 m001 v200 c548 m001 c118 v200 c548 v130 v200 c548	1843	pala1344
4352	Tunjung	One Thousand	seribuq	s e r i b u q	1483	c087 v200 c151 v191 c254 v027 c751	1843	tunj1244
4353	Iban	One Thousand	seribu	s e r i b u	683	c087 v200 c151 v191 c254 v027	1843	iban1264
4354	Berawan_Long_Terawan	One Thousand	acih#gikoh	a c i h _ g i k o h	1701	v130 c600 v191 c401 m001 c824 v191 c831 v042 c401	1843	west2564
4355	Hanunoo	One Thousand	ʔusa#ka#libu	ʔ u s a _ k a _ l i b u	683	c405 v027 c087 v130 m001 c831 v130 m001 c548 v191 c254 v027	1843	hanu1241
4356	Tetum	One Thousand	rihun	r i h u n	1933	c151 v191 c401 v027 c105	1843	tetu1246
4357	Central Amis	One Thousand	cacaj#patek	c a c a j _ p a t e k	2514	c600 v130 c600 v130 c564 m001 c288 v130 c118 v200 c831	1843	amis1246
4358	Chamorro	One Thousand	cʰalan	cʰ a l a n	2600	c598 v130 c548 v130 c105	1843	cham1312
4258	Merina_Malagasy	Seven	fito	f i t o	784	c447 v191 c118 v042	1704	plat1254
4259	Thao	Seven	piːtuʔ	p iː t u ʔ	784	c288 v183 c118 v027 c405	1704	thao1240
4260	Thao	Seven	pitu	p i t u	784	c288 v191 c118 v027	1704	thao1240
4261	Palauan	Seven	klewid	k l e w i d	1393	c831 c548 v200 c457 v191 c143	1704	pala1344
4262	Tunjung	Seven	tucuq	t u c u q	1478	c118 v027 c600 v027 c751	1704	tunj1244
4263	Bare'e	Seven	papitu	p a p i t u	784	c288 v130 c288 v191 c118 v027	1704	pamo1252
4264	Berawan_Long_Terawan	Seven	tusu	t u s u	691	c118 v027 c087 v027	1704	west2564
4265	Moken	Seven	lujuːk	l u j uː k	691	c548 v027 c564 v019 c831	1704	moke1242
4266	Hanunoo	Seven	pitu	p i t u	784	c288 v191 c118 v027	1704	hanu1241
4267	Tetum	Seven	hitu	h i t u	784	c401 v191 c118 v027	1704	tetu1246
4268	Tsou	Seven	pitu	p i t u	784	c288 v191 c118 v027	1704	tsou1248
4269	Tsou	Seven	pitu	p i t u	784	c288 v191 c118 v027	1704	tsou1248
4270	Nias	Seven	fitu	f i t u	784	c447 v191 c118 v027	1704	nias1242
4271	Central Amis	Seven	pitu	p i t u	784	c288 v191 c118 v027	1704	amis1246
4272	Central Amis	Seven	pito	p i t o	784	c288 v191 c118 v042	1704	amis1246
4273	Chamorro	Seven	fito	f i t o	784	c447 v191 c118 v042	1704	cham1312
4274	Chamorro	Seven	fetguijai	f e t g u i j a i	784	c447 v200 c118 c824 v027 v191 c564 v130 v191	1704	cham1312
4240	Merina_Malagasy	Six	enina	e n i n a	172	v200 c105 v191 c105 v130	1703	plat1254
4241	Thao	Six	sturu	s t u r u	393	c087 c118 v027 c151 v027	1703	thao1240
4242	Thao	Six	katuːruʔ	k a t uː r u ʔ	393	c831 v130 c118 v019 c151 v027 c405	1703	thao1240
4243	Palauan	Six	klolem	k l o l e m	1392	c831 c548 v042 c548 v200 c239	1703	pala1344
4244	Tunjung	Six	hagant	h a g a n t	1477	c401 v130 c824 v130 c105 c118	1703	tunj1244
4245	Bare'e	Six	ono	o n o	172	v042 c105 v042	1703	pamo1252
4246	Iban	Six	enam	e n a m	172	v200 c105 v130 c239	1703	iban1264
4247	Berawan_Long_Terawan	Six	enum	e n u m	172	v200 c105 v027 c239	1703	west2564
4248	Moken	Six	nam	n a m	172	c105 v130 c239	1703	moke1242
4249	Hanunoo	Six	ʔunum	ʔ u n u m	172	c405 v027 c105 v027 c239	1703	hanu1241
4250	Tetum	Six	neːn	n eː n	1927	c105 v202 c105	1703	tetu1246
4251	Tsou	Six	nomu	n o m u	172	c105 v042 c239 v027	1703	tsou1248
4252	Tsou	Six	nauma	n a u m a	172	c105 v130 v027 c239 v130	1703	tsou1248
4253	Tsou	Six	nomə	n o m ə	172	c105 v042 c239 v155	1703	tsou1248
4254	Nias	Six	õnõ	õ n õ	2333	v038 c105 v038	1703	nias1242
4255	Central Amis	Six	qenem	q e n e m	172	c751 v200 c105 v200 c239	1703	amis1246
4256	Chamorro	Six	gunum	g u n u m	-172	c824 v027 c105 v027 c239	1703	cham1312
4257	Chamorro	Six	gonmijai	g o n m i j a i	2591	c824 v042 c105 c239 v191 c564 v130 v191	1703	cham1312
4309	Merina_Malagasy	Ten	folo	f o l o	37	c447 v042 c548 v042	1515	plat1254
4310	Thao	Ten	maksin	m a k s i n	-8	c239 v130 c831 c087 v191 c105	1515	thao1240
4311	Palauan	Ten	truiːcʰ	t r u iː cʰ	1396	c118 c151 v027 v183 c598	1515	pala1344
4312	Tunjung	Ten	sawaːkŋ	s a w aː k ŋ	1481	c087 v130 c457 v137 c831 c795	1515	tunj1244
4313	Bare'e	Ten	sampuju	s a m p u j u	1553	c087 v130 c239 c288 v027 c564 v027	1515	pamo1252
4314	Iban	Ten	sapuloh	s a p u l o h	1628	c087 v130 c288 v027 c548 v042 c401	1515	iban1264
4315	Berawan_Long_Terawan	Ten	pulo	p u l o	37	c288 v027 c548 v042	1515	west2564
4316	Moken	Ten	cəpoh	c ə p o h	37	c600 v155 c288 v042 c401	1515	moke1242
4317	Hanunoo	Ten	sampulu	s a m p u l u	37	c087 v130 c239 c288 v027 c548 v027	1515	hanu1241
4318	Tetum	Ten	sanulu	s a n u l u	37	c087 v130 c105 v027 c548 v027	1515	tetu1246
4319	Tsou	Ten	matl	m a t l	8	c239 v130 c118 c548	1515	tsou1248
4320	Tsou	Ten	masːok	m a sː o k	8	c239 v130 c070 v042 c831	1515	tsou1248
4321	Tsou	Ten	maskə	m a s k ə	8	c239 v130 c087 c831 v155	1515	tsou1248
4322	Tsou	Ten	maskə	m a s k ə	8	c239 v130 c087 c831 v155	1515	tsou1248
4323	Tsou	Ten	masːok	m a sː o k	8	c239 v130 c070 v042 c831	1515	tsou1248
4324	Tsou	Ten	matl	m a t l	-8	c239 v130 c118 c548	1515	tsou1248
4325	Central Amis	Ten	polo	p o l o	37	c288 v042 c548 v042	1515	amis1246
4326	Chamorro	Ten	fulu	f u l u	2596	c447 v027 c548 v027	1515	cham1312
4327	Chamorro	Ten	manutai	m a n u t a i	2597	c239 v130 c105 v027 c118 v130 v191	1515	cham1312
4179	Maloh	Three	talu	t a l u	480	c118 v130 c548 v027	492	emba1238
4180	Merina_Malagasy	Three	télo	t e l o	480	c118 v200 c548 v042	492	plat1254
4181	Thao	Three	turu	t u r u	480	c118 v027 c151 v027	492	thao1240
4182	Palauan	Three	odéi	o d e i	-480	v042 c143 v200 v191	492	pala1344
4183	Tunjung	Three	təlu	t ə l u	480	c118 v155 c548 v027	492	tunj1244
4184	Bare'e	Three	togo	t o g o	480	c118 v042 c824 v042	492	pamo1252
4185	Iban	Three	tiga	t i g a	66	c118 v191 c824 v130	492	iban1264
4186	Berawan_Long_Terawan	Three	təloh	t ə l o h	480	c118 v155 c548 v042 c401	492	west2564
4187	Moken	Three	təloj	t ə l o j	480	c118 v155 c548 v042 c564	492	moke1242
4188	Hanunoo	Three	tulu	t u l u	480	c118 v027 c548 v027	492	hanu1241
4189	Wuna	Three	tolu	t o l u	480	c118 v042 c548 v027	492	muna1247
4190	Tetum	Three	tolːu	t o lː u	480	c118 v042 c539 v027	492	tetu1246
4191	Mailu	Three	aiseri	a i s e r i	2097	v130 v191 c087 v200 c151 v191	492	mail1248
4192	Tsou	Three	tueu	t u e u	480	c118 v027 v200 v027	492	tsou1248
4193	Nias	Three	tõlu	t õ l u	480	c118 v038 c548 v027	492	nias1242
4194	Central Amis	Three	tulu	t u l u	480	c118 v027 c548 v027	492	amis1246
4195	Chamorro	Three	tolgijai	t o l g i j a i	480	c118 v042 c548 c824 v191 c564 v130 v191	492	cham1312
4196	Chamorro	Three	tulo	t u l o	480	c118 v027 c548 v042	492	cham1312
4197	Banoni	Three	dapisa	d a p i s a	707	c143 v130 c288 v191 c087 v130	492	bann1247
4198	Singhi	Three	tarux	t a r u x	480	c118 v130 c151 v027 c772	492	baub1235
4199	Banggi	Three	taolu	t a o l u	480	c118 v130 v042 c548 v027	492	bong1289
4328	Palauan	Twenty	luiːcʰ	l u iː cʰ	1397	c548 v027 v183 c598	1710	pala1344
4329	Bare'e	Twenty	radua#mpuju	r a d u a _ m p u j u	1554	c151 v130 c143 v027 v130 m001 c239 c288 v027 c564 v027	1710	pamo1252
4330	Iban	Twenty	dua#puloh	d u a _ p u l o h	1629	c143 v027 v130 m001 c288 v027 c548 v042 c401	1710	iban1264
4331	Berawan_Long_Terawan	Twenty	lebih#pulo	l e b i h _ p u l o	1699	c548 v200 c254 v191 c401 m001 c288 v027 c548 v042	1710	west2564
4332	Tetum	Twenty	ruanulu	r u a n u l u	1930	c151 v027 v130 c105 v027 c548 v027	1710	tetu1246
4333	Tsou	Twenty	mpusku	m p u s k u	399	c239 c288 v027 c087 c831 v027	1710	tsou1248
4334	Chamorro	Twenty	huguijai#na#fulu	h u g u i j a i _ n a _ f u l u	2598	c401 v027 c824 v027 v191 c564 v130 v191 m001 c105 v130 m001 c447 v027 c548 v027	1710	cham1312
4158	Maloh	Two	dua	d u a	704	c143 v027 v130	1498	emba1238
4159	Merina_Malagasy	Two	roa	r o a	704	c151 v042 v130	1498	plat1254
4160	Thao	Two	tusha	t u s h a	704	c118 v027 c087 c401 v130	1498	thao1240
4161	Palauan	Two	oruŋ	o r u ŋ	704	v042 c151 v027 c795	1498	pala1344
4162	Tunjung	Two	rəgaʔ	r ə g a ʔ	1476	c151 v155 c824 v130 c405	1498	tunj1244
4163	Bare'e	Two	rua	r u a	704	c151 v027 v130	1498	pamo1252
4164	Iban	Two	dua	d u a	704	c143 v027 v130	1498	iban1264
4165	Berawan_Long_Terawan	Two	lebih	l e b i h	-704	c548 v200 c254 v191 c401	1498	west2564
4166	Moken	Two	tʰəwaʔ	tʰ ə w a ʔ	704	c136 v155 c457 v130 c405	1498	moke1242
4167	Hanunoo	Two	duwa	d u w a	704	c143 v027 c457 v130	1498	hanu1241
4168	Wuna	Two	dua	d u a	704	c143 v027 v130	1498	muna1247
4169	Tetum	Two	rua	r u a	704	c151 v027 v130	1498	tetu1246
4170	Mailu	Two	ava	a v a	2096	v130 c446 v130	1498	mail1248
4171	Tsou	Two	euso	e u s o	-704	v200 v027 c087 v042	1498	tsou1248
4172	Nias	Two	dua	d u a	704	c143 v027 v130	1498	nias1242
4173	Central Amis	Two	tusa	t u s a	704	c118 v027 c087 v130	1498	amis1246
4174	Chamorro	Two	huguijai	h u g u i j a i	2587	c401 v027 c824 v027 v191 c564 v130 v191	1498	cham1312
4175	Chamorro	Two	hugua	h u g u a	2588	c401 v027 c824 v027 v130	1498	cham1312
4176	Banoni	Two	toːm	t oː m	2742	c118 v035 c239	1498	bann1247
4177	Singhi	Two	duex	d u e x	704	c143 v027 v200 c772	1498	baub1235
4178	Banggi	Two	dua	d u a	704	c143 v027 v130	1498	bong1289
3643	Maloh	above	ibo	i b o	-479	v191 c254 v042	1741	emba1238
3644	Merina_Malagasy	above	ambonj	a m b o n j	1144	v130 c239 c254 v042 c105 c564	1741	plat1254
3645	Thao	above	ifafaw	i f a f a w	479	v191 c447 v130 c447 v130 c457	1741	thao1240
3646	Palauan	above	bab	b a b	479	c254 v130 c254	1741	pala1344
3647	Bare'e	above	ri#wawo	r i _ w a w o	479	c151 v191 m001 c457 v130 c457 v042	1741	pamo1252
3648	Iban	above	datas	d a t a s	706	c143 v130 c118 v130 c087	1741	iban1264
3649	Berawan_Long_Terawan	above	ki#apːiəw	k i _ a pː i ə w	-479	c831 v191 m001 v130 c259 v191 v155 c457	1741	west2564
3650	Moken	above	dataː	d a t aː	706	c143 v130 c118 v137	1741	moke1242
3651	Hanunoo	above	tuŋud	t u ŋ u d	1851	c118 v027 c795 v027 c143	1741	hanu1241
3652	Tetum	above	letːen	l e tː e n	1919	c548 v200 c128 v200 c105	1741	tetu1246
3653	Mailu	above	atana	a t a n a	-706	v130 c118 v130 c105 v130	1741	mail1248
3654	Tsou	above	noépe	n o e p e	2212	c105 v042 v200 c288 v200	1741	tsou1248
3655	Central Amis	above	fafukaŋ	f a f u k a ŋ	2495	c447 v130 c447 v027 c831 v130 c795	1741	amis1246
3656	Singhi	above	de#somu	d e _ s o m u	2833	c143 v200 m001 c087 v042 c239 v027	1741	baub1235
3657	Singhi	above	de#tun	d e _ t u n	-706	c143 v200 m001 c118 v027 c105	1741	baub1235
3658	Banggi	above	kilibuat	k i l i b u a t	-479	c831 v191 c548 v191 c254 v027 v130 c118	1741	bong1289
3992	Maloh	all	kausan	k a u s a n	1050	c831 v130 v027 c087 v130 c105	98	emba1238
3993	Maloh	all	samua	s a m u a	89	c087 v130 c239 v027 v130	98	emba1238
3994	Merina_Malagasy	all	rehétra	r e h e t r a	1153	c151 v200 c401 v200 c118 c151 v130	98	plat1254
3995	Thao	all	ʔazʔaz	ʔ a z ʔ a z	1249	c405 v130 c078 c405 v130 c078	98	thao1240
3996	Palauan	all	el#rokir	e l _ r o k i r	1387	v200 c548 m001 c151 v042 c831 v191 c151	98	pala1344
3997	Bare'e	all	paka	p a k a	382	c288 v130 c831 v130	98	pamo1252
3998	Iban	all	abis	a b i s	89	v130 c254 v191 c087	98	iban1264
3999	Iban	all	semua	s e m u a	89	c087 v200 c239 v027 v130	98	iban1264
4000	Iban	all	magaŋ	m a g a ŋ	89	c239 v130 c824 v130 c795	98	iban1264
4001	Berawan_Long_Terawan	all	moŋ	m o ŋ	1694	c239 v042 c795	98	west2564
4002	Moken	all	tapʰuːŋ	t a pʰ uː ŋ	1790	c118 v130 c261 v019 c795	98	moke1242
4003	Moken	all	kətoj	k ə t o j	1791	c831 v155 c118 v042 c564	98	moke1242
4004	Hanunoo	all	tanan	t a n a n	526	c118 v130 c105 v130 c105	98	hanu1241
4005	Wuna	all	baribarie	b a r i b a r i e	267	c254 v130 c151 v191 c254 v130 c151 v191 v200	98	muna1247
4006	Tetum	all	hotu#hotu	h o t u _ h o t u	452	c401 v042 c118 v027 m001 c401 v042 c118 v027	98	tetu1246
4007	Tetum	all	falu	f a l u	1924	c447 v130 c548 v027	98	tetu1246
4008	Tsou	all	acʉhʉ	a c ʉ h ʉ	2221	v130 c600 v102 c401 v102	98	tsou1248
4009	Nias	all	fefu	f e f u	2327	c447 v200 c447 v027	98	nias1242
4010	Nias	all	oi	o i	2328	v042 v191	98	nias1242
4011	Central Amis	all	mapuluq	m a p u l u q	2509	c239 v130 c288 v027 c548 v027 c751	98	amis1246
4012	Central Amis	all	mapuloŋ	m a p u l o ŋ	2510	c239 v130 c288 v027 c548 v042 c795	98	amis1246
