ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	SOURCE_FORM	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
15	Dutch_List	all	ɑləs	ɑ l ə s	175	'ɑləs	v089 c548 v155 c087	98	dutc1256
16	Czech	all	fʃɪxɲɪ	f ʃ ɪ x ɲ ɪ	1102	fʃɪxɲɪ	c447 c677 v219 c772 c589 v219	98	czec1258
17	Breton_ST	all	ɔl	ɔ l	965	ɔl	v067 c548	98	bret1244
18	Catalan	all	tot	t o t	543	tot	c118 v042 c118	98	stan1289
19	Urdu	all	səb	s ə b	748	səb	c087 v155 c254	98	urdu1245
20	Polish	all	kaʒdɨ	k a ʒ d ɨ	3542	ˈkaʒdɨ	c831 v130 c679 c143 v116	98	poli1260
21	Armenian_Mod	and	jɛv	j ɛ v	567	jɛv	c564 v229 c446	1577	nucl1235
22	Breton_ST	and	a	a	966	a	v130	1577	bret1244
23	Catalan	and	i	i	848	i	v191	1577	stan1289
24	Czech	and	a	a	1103	a	v130	1577	czec1258
25	Danish	and	ɒw	ɒ w	1303	ɒw, ʌ	v052 c457	1577	dani1285
26	Dutch_List	and	ɛn	ɛ n	176	ɛn	v229 c105	1577	dutc1256
27	English	and	ænd	æ n d	176	ænd	v198 c105 c143	1577	stan1293
28	French	and	e	e	848	e	v200	1577	stan1290
29	German	and	ʊnt	ʊ n t	176	ʊnt	v056 c105 c118	1577	stan1295
30	Greek_Mod	and	ce̞	c e̞	1447	ce̞, c(i)	c600 v217	1577	mode1248
31	Italian	and	e	e	848	e, ed	v200	1577	ital1282
32	Marathi	and	ani	a n i	1591	'ani	v130 c105 v191	1577	mara1378
33	Polish	and	i	i	1103	i	v191	1577	poli1260
34	Portuguese_ST	and	i	i	848	i	v191	1577	port1283
35	Russian	and	i	i	1103	i	v191	1577	russ1263
36	Spanish	and	i	i	848	i	v191	1577	stan1288
37	Swedish	and	ɔkː	ɔ kː	1303	ɔ(kː)	v067 c825	1577	swed1254
38	Oriya	and	o	o	1	o	v042	1577	oriy1255
39	Bihari	and	aur	au r	1	aur	d026 c151	1577	mait1250
40	Urdu	and	ʔɔɾ	ʔ ɔ ɾ	1	ʔɔɾ	c405 v067 c064	1577	urdu1245
41	Armenian_Mod	animal	kɛntʰɑni	k ɛ n tʰ ɑ n i	3385	kɛntʰɑˈni	c831 v229 c105 c136 v089 c105 v191	619	nucl1235
42	Breton_ST	animal	ɑ̃neval	ɑ̃ n e v a l	849	ɑ̃ˈneval	v088 c105 v200 c446 v130 c548	619	bret1244
43	Catalan	animal	ənimal	ə n i m a l	849	əni’mal	v155 c105 v191 c239 v130 c548	619	stan1289
44	Czech	animal	zviːr̝ɛ	z v iː r ɛ	1104	zviːr̝ɛ	c078 c446 v183 c151 v229	619	czec1258
45	Danish	animal	d̥yːʌ	d̥ yː ʌ	177	ˈd̥yːʌ, 'd̥yɐ̯	c107 v168 v097	619	dani1285
46	Dutch_List	animal	dir	d i r	177	dir	c143 v191 c151	619	dutc1256
47	English	animal	ænɪməl	æ n ɪ m ə l	849	'ænɪməl	v198 c105 v219 c239 v155 c548	619	stan1293
48	French	animal	animal	a n i m a l	849	animal	v130 c105 v191 c239 v130 c548	619	stan1290
49	German	animal	tiːɐ̯	t iː ɐ̯	177	ti:ɐ̯	c118 v183 v118	619	stan1295
50	Greek_Mod	animal	zo̞o̞	z o̞ o̞	2176	ˈzo̞ˌo̞	c078 v033 v033	619	mode1248
51	Italian	animal	animale	a n i m a l e	849	ani'male	v130 c105 v191 c239 v130 c548 v200	619	ital1282
52	Polish	animal	zvʲɛʒɛ̃	z vʲ ɛ ʒ ɛ̃	1104	ˈzvʲɛʒɛ̃	c078 c429 v229 c679 v231	619	poli1260
53	Portuguese_ST	animal	ɐnimaɫ	ɐ n i m a lˠ	849	ɐniˈmaɫ	v119 c105 v191 c239 v130 c543	619	port1283
54	Russian	animal	ʒɨvotnoe	ʒ ɨ v o t n o e	2176	ʒɨ'votnoe	c679 v116 c446 v042 c118 c105 v042 v200	619	russ1263
55	Spanish	animal	animal	a n i m a l	849	ani'mal	v130 c105 v191 c239 v130 c548	619	stan1288
56	Swedish	animal	jʉːr	j ʉː r	177	jʉːr	c564 v100 c151	619	swed1254
57	Oriya	animal	praɳi	p r a ɳ i	849	praṇi	c288 c151 v130 c705 v191	619	oriy1255
58	Oriya	animal	pɔsu	p ɔ s u	2177	pɔsu	c288 v067 c087 v027	619	oriy1255
59	Bihari	animal	janbər	j a n b ə r	684	janbər	c564 v130 c105 c254 v155 c151	619	mait1250
60	Oriya	animal	ʤɔntu	dʒ ɔ n t u	684	ʤɔntu	c649 v067 c105 c118 v027	619	oriy1255
61	Urdu	animal	ʤɑnwəɾ	dʒ ɑ n w ə ɾ	684	ʤɑnwəɾ	c649 v089 c105 c457 v155 c064	619	urdu1245
62	Breton_ST	animal	lo.ɛ̃n	l o ɛ̃ n	2429	lo.ɛ̃n	c548 v042 v231 c105	619	bret1244
63	Marathi	animal	dzənawəɾ	d z ə n a w ə ɾ	684	dzən'awəɾ	c143 c078 v155 c105 v130 c457 v155 c064	619	mara1378
64	Armenian_Mod	ashes	moχiɾ	m o χ i ɾ	568	moˈχiɾ	c239 v042 c742 v191 c064	646	nucl1235
65	Breton_ST	ashes	lyːdy	l yː d y	968	'ly:dy	c548 v168 c143 v166	646	bret1244
66	Catalan	ashes	sɛndrə	s ɛ n d r ə	850	'sɛndrə	c087 v229 c105 c143 c151 v155	646	stan1289
67	Czech	ashes	popɛl	p o p ɛ l	1105	popɛl	c288 v042 c288 v229 c548	646	czec1258
68	Danish	ashes	asg̥ʰə	a s g̥ʰ ə	178	ˈasg̥ʰə	v130 c087 c806 v155	646	dani1285
69	Dutch_List	ashes	ɑs	ɑ s	178	ɑs	v089 c087	646	dutc1256
70	English	ashes	æʃɪz	æ ʃ ɪ z	178	æʃɪz	v198 c677 v219 c078	646	stan1293
71	French	ashes	sɑ̃dʀ	s ɑ̃ d ʀ	850	sɑ̃dʀ	c087 v088 c143 c761	646	stan1290
72	German	ashes	aʃə	a ʃ ə	178	'aʃə	v130 c677 v155	646	stan1295
73	Greek_Mod	ashes	staxti	s t a x t i	1448	ˈstaxti	c087 c118 v130 c772 c118 v191	646	mode1248
74	Italian	ashes	ʧenere	tʃ e n e r e	850	'tʃenere	c645 v200 c105 v200 c151 v200	646	ital1282
75	Marathi	ashes	ɾakʰ	ɾ a kʰ	1592	ɾakʰ	c064 v130 c813	646	mara1378
76	Polish	ashes	pɔpʲuw	p ɔ pʲ u w	1105	ˈpɔpʲuw	c288 v067 c270 v027 c457	646	poli1260
77	Portuguese_ST	ashes	sĩzɐʃ	s ĩ z ɐ ʃ	850	ˈsĩzɐʃ	c087 v193 c078 v119 c677	646	port1283
78	Russian	ashes	zola	z o l a	3386	zo'la	c078 v042 c548 v130	646	russ1263
79	Spanish	ashes	θeniθas	θ e n i θ a s	850	θe'niθas	c413 v200 c105 v191 c413 v130 c087	646	stan1288
80	Swedish	ashes	stɔft	s t ɔ f t	1448	stɔft	c087 c118 v067 c447 c118	646	swed1254
81	Bihari	ashes	cʰaur	cʰ au r	2182	chaur	c598 d026 c151	646	mait1250
82	Oriya	ashes	bʱɔsmoɔ	b̤ ɔ s m o	2189	bhɔsmoɔ	c278 v067 c087 c239 v042	646	oriy1255
83	Oriya	ashes	paːũsɔ	p aː ũ s ɔ	3389	pãũsɔ	c288 v137 v025 c087 v067	646	oriy1255
84	Urdu	ashes	ɾɑkʰ	ɾ ɑ kʰ	1592	ɾɑkʰ	c064 v089 c813	646	urdu1245
85	Swedish	ashes	aska	a s k a	178	'aska	v130 c087 c831 v130	646	swed1254
86	Marathi	ashes	bʱəsmə	b̤ ə s m ə	2189	'bʱəsmə	c278 v155 c087 c239 v155	646	mara1378
87	Catalan	at	a	a	2542	a	v130	1461	stan1289
88	Czech	at	ʊ	ʊ	2540	ʊ	v056	1461	czec1258
89	Danish	at	veð	v e ð	2545	veð	c446 v200 c415	1461	dani1285
90	Dutch_List	at	tə	t ə	2546	tə	c118 v155	1461	dutc1256
91	English	at	æt	æ t	2542	æt	v198 c118	1461	stan1293
92	French	at	a	a	2542	a	v130	1461	stan1290
93	German	at	an	a n	2544	an	v130 c105	1461	stan1295
94	Greek_Mod	at	se̞	s e̞	1449	se̞	c087 v217	1461	mode1248
95	Italian	at	a	a	2542	a, ad	v130	1461	ital1282
96	Marathi	at	t	t	1659	t, tʰe	c118	1461	mara1378
97	Polish	at	v	v	2535	v	c446	1461	poli1260
98	Portuguese_ST	at	ɐ̃j	ɐ̃ j	2535	ɐ̃j	v120 c564	1461	port1283
99	Russian	at	v	v	2535	v	c446	1461	russ1263
100	Spanish	at	a	a	2542	a	v130	1461	stan1288
101	Swedish	at	viːd	v iː d	2545	viːd	c446 v183 c143	1461	swed1254
102	Breton_ST	at	e	e	2535	e, ẽn	v200	1461	bret1244
103	Oriya	at	ʈʰare	ʈʰ a r e	2537	ṭhare	c719 v130 c151 v200	1461	oriy1255
104	Oriya	at	re	r e	2537	re	c151 v200	1461	oriy1255
105	Urdu	at	pəɾ	p ə ɾ	2536	pəɾ, pɛ	c288 v155 c064	1461	urdu1245
106	Czech	at	pr̝ɪ	p r ɪ	2538	pr̝̊ɪ	c288 c151 v219	1461	czec1258
107	Russian	at	u	u	2540	u	v027	1461	russ1263
108	Catalan	at	pər	p ə r	3544	pər	c288 v155 c151	1461	stan1289
109	Portuguese_ST	at	a	a	2543	a	v130	1461	port1283
110	Swedish	at	poː	p oː	3561	po:	c288 v035	1461	swed1254
111	Marathi	at	wadzta	w a d z t a	1829	'wadzta	c457 v130 c143 c078 c118 v130	1461	mara1378
112	Armenian_Mod	at	um	u m	3582	um	v027 c239	1461	nucl1235
113	Armenian_Mod	at	in	i n	3588	in	v191 c105	1461	nucl1235
114	Breton_ST	back	kɛjn	k ɛ j n	969	kɛjn	c831 v229 c564 c105	1291	bret1244
115	Catalan	back	əspaʎʎə	ə s p a ʎː ə	2186	əs'paʎʎə	v155 c087 c288 v130 c581 v155	1291	stan1289
116	Danish	back	b̥ɛj	b̥ ɛ j	180	b̥ɛj	c280 v229 c564	1291	dani1285
117	Dutch_List	back	rʏχ	r ʏ χ	2183	rʏχ	c151 v173 c742	1291	dutc1256
118	English	back	bæk	b æ k	180	bæk	c254 v198 c831	1291	stan1293
119	French	back	do	d o	851	do	c143 v042	1291	stan1290
120	German	back	rijkn̩	r i j k n̩	2183	'rijkn̩	c151 v191 c564 c831 c095	1291	stan1295
121	Greek_Mod	back	plati	p l a t i	1580	ˈplati	c288 c548 v130 c118 v191	1291	mode1248
122	Italian	back	dɔsso	d ɔ sː o	851	'dɔsso	c143 v067 c070 v042	1291	ital1282
123	Marathi	back	patʰ	p a tʰ	686	patʰ	c288 v130 c136	1291	mara1378
124	Polish	back	plɛʦɨ	p l ɛ ts ɨ	1885	'plɛʦɨ	c288 c548 v229 c015 v116	1291	poli1260
125	Russian	back	spina	s p i n a	2059	spi'na	c087 c288 v191 c105 v130	1291	russ1263
126	Spanish	back	espalda	e s p a l d a	2186	es'palda	v200 c087 c288 v130 c548 c143 v130	1291	stan1288
127	Swedish	back	rʏg	r ʏ g	2183	rʏg	c151 v173 c824	1291	swed1254
128	Bihari	back	piʈa	p i ʈ a	686	piʈa	c288 v191 c711 v130	1291	mait1250
129	Bihari	back	ɖar	ɖ a r	3391	ɖar	c715 v130 c151	1291	mait1250
130	Oriya	back	piʈʰi	p i ʈʰ i	686	piṭhi	c288 v191 c719 v191	1291	oriy1255
131	Urdu	back	kəməɾ	k ə m ə ɾ	3453	kəməɾ	c831 v155 c239 v155 c064	1291	urdu1245
132	Catalan	back	əskɛnə	ə s k ɛ n ə	2551	əs'kɛnə	v155 c087 c831 v229 c105 v155	1291	stan1289
133	Portuguese_ST	back	kɔʃtɐʃ	k ɔ ʃ t ɐ ʃ	3533	ˈkɔʃtɐʃ	c831 v067 c677 c118 v119 c677	1291	port1283
134	Armenian_Mod	back	meʧʰkʰ	m e tʃʰ kʰ	3589	meʧʰkʰ	c239 v200 c655 c813	1291	nucl1235
135	Czech	back	zaːda	z aː d a	3591	zaːda	c078 v137 c143 v130	1291	czec1258
136	Breton_ST	bad	fal	f a l	970	fal	c447 v130 c548	1292	bret1244
137	Catalan	bad	mal	m a l	852	mal	c239 v130 c548	1292	stan1289
138	Danish	bad	ɔn	ɔ n	2191	ɔn	v067 c105	1292	dani1285
139	Dutch_List	bad	slɛχt	s l ɛ χ t	181	slɛχt	c087 c548 v229 c742 c118	1292	dutc1256
140	English	bad	bæd	b æ d	2194	bæd	c254 v198 c143	1292	stan1293
141	French	bad	mɔvɛ	m ɔ v ɛ	852	mɔvɛ	c239 v067 c446 v229	1292	stan1290
142	German	bad	ʃlɛçt	ʃ l ɛ ç t	181	ʃlɛçt	c677 c548 v229 c577 c118	1292	stan1295
143	Greek_Mod	bad	kako̞s	k a k o̞ s	1451	kaˈko̞s	c831 v130 c831 v033 c087	1292	mode1248
144	Italian	bad	kattivo	k a tː i v o	2196	kat'tivo	c831 v130 c128 v191 c446 v042	1292	ital1282
145	Marathi	bad	wa͜iːʈ	w a iː ʈ	3387	wa͜i:ʈ	c457 v130 v183 c711	1292	mara1378
146	Polish	bad	zwɨ	z w ɨ	1197	zwɨ	c078 c457 v116	1292	poli1260
147	Portuguese_ST	bad	maw	m a w	852	maw	c239 v130 c457	1292	port1283
148	Russian	bad	ploxoj	p l o x o j	3388	plo'xoj	c288 c548 v042 c772 v042 c564	1292	russ1263
149	Spanish	bad	malo	m a l o	852	'malo	c239 v130 c548 v042	1292	stan1288
150	Swedish	bad	doː.lɪɡ	d oː l ɪ g	2038	ˈdoː.lɪ(ɡ)	c143 v035 c548 v219 c824	1292	swed1254
151	Armenian_Mod	bad	vɑt	v ɑ t	2190	vɑt	c446 v089 c118	1292	nucl1235
152	Bihari	bad	kʰərap	kʰ ə r a p	4	khərap	c813 v155 c151 v130 c288	1292	mait1250
153	Oriya	bad	kʰɔrapɔ	kʰ ɔ r a p ɔ	4	khɔrap(ɔ)	c813 v067 c151 v130 c288 v067	1292	oriy1255
154	Urdu	bad	bʊɾɑ	b ʊ ɾ ɑ	2553	bʊɾɑ	c254 v056 c064 v089	1292	urdu1245
155	Swedish	bad	und	u n d	2191	und	v027 c105 c143	1292	swed1254
156	Swedish	bad	ʉːsəl	ʉː s ə l	2195	'ʉ:səl	v100 c087 v155 c548	1292	swed1254
157	Urdu	bad	χəɾɑb	χ ə ɾ ɑ b	4	χəɾɑb	c742 v155 c064 v089 c254	1292	urdu1245
158	Czech	bad	zliː	z l iː	1197	zliː	c078 c548 v183	1292	czec1258
159	Czech	bark	kuːra	k uː r a	182	kuːra	c831 v019 c151 v130	1204	czec1258
160	Catalan	bark	əskɔrsə	ə s k ɔ r s ə	182	əs'kɔrsə	v155 c087 c831 v067 c151 c087 v155	1204	stan1289
161	Breton_ST	bark	rysk	r y s k	971	rysk	c151 v166 c087 c831	1204	bret1244
162	Danish	bark	b̥ɑːg̥ʰ	b̥ ɑː g̥ʰ	1305	b̥ɑːg̥ʰ	c280 v091 c806	1204	dani1285
163	Dutch_List	bark	sχɔrs	s χ ɔ r s	182	sχɔrs	c087 c742 v067 c151 c087	1204	dutc1256
164	English	bark	bɑːk	b ɑː k	1305	bɑ:k	c254 v091 c831	1204	stan1293
165	French	bark	ekɔʀs	e k ɔ ʀ s	182	ekɔʀs	v200 c831 v067 c761 c087	1204	stan1290
166	German	bark	rɪndə	r ɪ n d ə	1438	'rɪndə	c151 v219 c105 c143 v155	1204	stan1295
167	Greek_Mod	bark	ðe̞ndro̞fluða	ð e̞ n d r o̞ f l u ð a	3390	ðe̞ˈ(n)dro̞fluˌða	c415 v217 c105 c143 c151 v033 c447 c548 v027 c415 v130	1204	mode1248
168	Italian	bark	skɔrdza	s k ɔ r d z a	182	'skɔrdza	c087 c831 v067 c151 c143 c078 v130	1204	ital1282
169	Marathi	bark	sal	s a l	750	sal	c087 v130 c548	1204	mara1378
170	Polish	bark	kɔra	k ɔ r a	182	ˈkɔra	c831 v067 c151 v130	1204	poli1260
171	Russian	bark	kora	k o r a	182	ko'ra	c831 v042 c151 v130	1204	russ1263
172	Spanish	bark	koɾteθa	k o ɾ t e θ a	182	koɾ'teθa	c831 v042 c064 c118 v200 c413 v130	1204	stan1288
173	Swedish	bark	bark	b a r k	1305	bark	c254 v130 c151 c831	1204	swed1254
174	Bihari	bark	cʰal	cʰ a l	750	chal	c598 v130 c548	1204	mait1250
175	Oriya	bark	čheli	tʃ h e l i	750	čheli	c645 c401 v200 c548 v191	1204	oriy1255
176	Oriya	bark	bɔkɔɭɔ	b ɔ k ɔ ɭ ɔ	1798	bɔkɔḷɔ	c254 v067 c831 v067 c702 v067	1204	oriy1255
177	Urdu	bark	ʧɑl	tʃ ɑ l	750	ʧɑl	c645 v089 c548	1204	urdu1245
178	German	bark	bɔrkə	b ɔ r k ə	1305	'bɔrkə	c254 v067 c151 c831 v155	1204	stan1295
179	Italian	bark	kortetʧa	k o r t e t tʃ a	182	kor'tettʃa	c831 v042 c151 c118 v200 c118 c645 v130	1204	ital1282
180	Armenian_Mod	bark	kɛʁɛv	k ɛ ʁ ɛ v	570	kɛˈʁɛv	c831 v229 c733 v229 c446	1204	nucl1235
181	Portuguese_ST	bark	kaʃkɐ	k a ʃ k ɐ	182	ˈkaʃkɐ	c831 v130 c677 c831 v119	1204	port1283
182	German	because	vail	v ai l	1439	va‿il	c446 d030 c548	1157	stan1295
183	Breton_ST	because	pɛgwiːr	p ɛ g w iː r	3392	pɛ'gwi:r	c288 v229 c824 c457 v183 c151	1157	bret1244
184	Marathi	because	kaɾəɳ	k a ɾ ə ɳ	751	'kaɾəɳ	c831 v130 c064 v155 c705	1157	mara1378
185	Swedish	because	emeːdan	e m eː d a n	2100	e'me:dan	v200 c239 v202 c143 v130 c105	1157	swed1254
186	Armenian_Mod	because	voɾovhɛtɛv	v o ɾ o v h ɛ t ɛ v	3393	voɾovhɛˈtɛv	c446 v042 c064 v042 c446 c401 v229 c118 v229 c446	1157	nucl1235
187	English	because	bɪkɒz	b ɪ k ɒ z	1341	bɪkɒz	c254 v219 c831 v052 c078	1157	stan1293
188	Oriya	because	karɔɳɔ	k a r ɔ ɳ ɔ	751	karɔṇɔ	c831 v130 c151 v067 c705 v067	1157	oriy1255
189	Oriya	because	hetu	h e t u	3397	hetu	c401 v200 c118 v027	1157	oriy1255
190	Oriya	because	jogu	j o g u	3398	jogu	c564 v042 c824 v027	1157	oriy1255
191	Oriya	because	boli	b o l i	3399	boli	c254 v042 c548 v191	1157	oriy1255
192	Urdu	because	kjuː#ke	k j uː _ k e	1660	kjũ ke	c831 c564 v019 m001 c831 v200	1157	urdu1245
193	Polish	because	bɔ	b ɔ	2096	bɔ	c254 v067	1157	poli1260
194	Greek_Mod	because	ðio̞ti	ð i o̞ t i	3580	ˌðiˈo̞ti	c415 v191 v033 c118 v191	1157	mode1248
195	Czech	belly	br̝ɪxo	b r ɪ x o	1218	br̝ɪxo	c254 c151 v219 c772 v042	1251	czec1258
196	English	belly	bɛlɪ	b ɛ l ɪ	184	bɛlɪ	c254 v229 c548 v219	1251	stan1293
197	Breton_ST	belly	koːf	k oː f	973	ko:f	c831 v035 c447	1251	bret1244
198	Catalan	belly	bentrə	b e n t r ə	854	'bentrə	c254 v200 c105 c118 c151 v155	1251	stan1289
199	Danish	belly	b̥u	b̥ u	184	b̥u	c280 v027	1251	dani1285
200	Dutch_List	belly	bœyk	b œi k	184	bœyk	c254 d042 c831	1251	dutc1256
201	French	belly	vɑ̃tʀ	v ɑ̃ t ʀ	854	vɑ̃tʀ	c446 v088 c118 c761	1251	stan1290
202	German	belly	baux	b au x	184	ba‿ux	c254 d026 c772	1251	stan1295
203	Greek_Mod	belly	ciʎa	c i ʎ a	1454	ciˈʎa	c600 v191 c582 v130	1251	mode1248
204	Italian	belly	vɛntre	v ɛ n t r e	854	'vɛntre	c446 v229 c105 c118 c151 v200	1251	ital1282
205	Marathi	belly	poʈ	p o ʈ	752	poʈ	c288 v042 c711	1251	mara1378
206	Polish	belly	bʒux	b ʒ u x	1218	bʒux	c254 c679 v027 c772	1251	poli1260
207	Portuguese_ST	belly	vẽtɾɨ	v ẽ t ɾ ɨ	854	ˈvẽtɾɨ	c446 v201 c118 c064 v116	1251	port1283
208	Russian	belly	zivot	z i v o t	2238	zi'vot	c078 v191 c446 v042 c118	1251	russ1263
209	Swedish	belly	bʉːk	b ʉː k	184	bʉ:k	c254 v100 c831	1251	swed1254
210	Bihari	belly	peʈ	p e ʈ	752	peʈ	c288 v200 c711	1251	mait1250
211	Oriya	belly	peʈɔ	p e ʈ ɔ	752	peṭɔ	c288 v200 c711 v067	1251	oriy1255
212	Urdu	belly	peʈ	p e ʈ	752	peʈ	c288 v200 c711	1251	urdu1245
213	Spanish	belly	bariɣa	b a r i ɣ a	3610	ba'riɣa	c254 v130 c151 v191 c774 v130	1251	stan1288
214	Portuguese_ST	belly	bɐʁiɣɐ	b ɐ ʁ i ɣ ɐ	3634	bɐˈʁiɣɐ	c254 v119 c733 v191 c774 v119	1251	port1283
215	Catalan	belly	panʃə	p a n ʃ ə	3167	'panʃə, 'pantʃa	c288 v130 c105 c677 v155	1251	stan1289
216	Armenian_Mod	big	mɛʦ	m ɛ ts	360	mɛʦ	c239 v229 c015	1202	nucl1235
217	Czech	big	vɛlkiː	v ɛ l k iː	1219	vɛlkiː	c446 v229 c548 c831 v183	1202	czec1258
218	Breton_ST	big	bʁaz	b ʁ a z	855	bʁaz	c254 c733 v130 c078	1202	bret1244
219	Catalan	big	gran	g r a n	855	gran	c824 c151 v130 c105	1202	stan1289
220	Danish	big	sd̥ʰoɐ̯	s d̥ʰ o ɐ̯	2203	ˈsd̥ʰoɐ̯	c087 c116 v042 v118	1202	dani1285
221	Dutch_List	big	ɣrot	ɣ r o t	185	ɣrot	c774 c151 v042 c118	1202	dutc1256
222	English	big	bɪg	b ɪ g	1342	bɪg	c254 v219 c824	1202	stan1293
223	French	big	gʀɑ̃	g ʀ ɑ̃	855	gʀɑ̃	c824 c761 v088	1202	stan1290
224	German	big	groːs	g r oː s	185	gro:s	c824 c151 v035 c087	1202	stan1295
225	Greek_Mod	big	me̞ɣalo̞s	m e̞ ɣ a l o̞ s	360	me̞ˈɣalo̞s	c239 v217 c774 v130 c548 v033 c087	1202	mode1248
226	Italian	big	grande	g r a n d e	855	'grande	c824 c151 v130 c105 c143 v200	1202	ital1282
227	Marathi	big	moʈʰə	m o ʈʰ ə	1593	'moʈʰə	c239 v042 c719 v155	1202	mara1378
228	Polish	big	vʲɛlkʲi	vʲ ɛ l kʲ i	1219	ˈvʲɛlkʲi	c429 v229 c548 c830 v191	1202	poli1260
229	Portuguese_ST	big	ɡɾɐ̃ðɨ	g ɾ ɐ̃ ð ɨ	855	ˈɡɾɐ̃ðɨ	c824 c064 v120 c415 v116	1202	port1283
230	Russian	big	bolʲʃoj	b o lʲ ʃ o j	3394	bolʲ'ʃoj	c254 v042 c540 c677 v042 c564	1202	russ1263
231	Spanish	big	ɡɾande	g ɾ a n d e	855	'ɡɾande	c824 c064 v130 c105 c143 v200	1202	stan1288
232	Swedish	big	gruːv	g r uː v	185	gru:v	c824 c151 v019 c446	1202	swed1254
233	Bihari	big	nəmhər	n ə m h ə r	3396	nəmhər	c105 v155 c239 c401 v155 c151	1202	mait1250
234	Oriya	big	bɔɽɔ	b ɔ ɽ ɔ	753	bɔṛɔ	c254 v067 c697 v067	1202	oriy1255
235	Urdu	big	bəɽɛ	b ə ɽ ɛ	753	bəɽɛ	c254 v155 c697 v229	1202	urdu1245
236	Russian	big	velikij	v e l i k i j	1219	ve'likij	c446 v200 c548 v191 c831 v191 c564	1202	russ1263
237	Breton_ST	big	møʁ	m ø ʁ	3572	møʁ	c239 v171 c733	1202	bret1244
238	Catalan	big	ʎaɾk	ʎ a ɾ k	3668	ʎaɾk	c582 v130 c064 c831	1202	stan1289
239	Armenian_Mod	bird	tʰərʧʰun	tʰ ə r tʃʰ u n	571	tʰərˈʧʰun	c136 v155 c151 c655 v027 c105	937	nucl1235
240	Czech	bird	ptaːk	p t aː k	1109	ptaːk	c288 c118 v137 c831	937	czec1258
241	Breton_ST	bird	ẽwn	ẽ w n	974	'ẽwn	v201 c457 c105	937	bret1244
242	Catalan	bird	useʎ	u s e ʎ	856	u'seʎ	v027 c087 v200 c582	937	stan1289
