language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
Banggai (W.dialect)	bgz	white	1335	148	ute	1?	
Banggai (W.dialect)	bgz	red	156	149	memela	1	[me]mela
Banggai (W.dialect)	bgz	bone	1394	15	buku	16	
Banggai (W.dialect)	bgz	small	1246	152	didik	1	
Banggai (W.dialect)	bgz	thin	1400	156	nipi	1	
Banggai (W.dialect)	bgz	wide	1243	159	belay	13?	
Banggai (W.dialect)	bgz	painful, sick	2103	160	ma-sakit	1	
Banggai (W.dialect)	bgz	shy, ashamed	487	161	mamaa	1	
Banggai (W.dialect)	bgz	correct, true	1725	166	tuu	6	
Banggai (W.dialect)	bgz	day	1225	168	oloyo	1?	
Banggai (W.dialect)	bgz	year	1226	169	taum	1?	
Banggai (W.dialect)	bgz	liver	1224	17	ate	1	
Banggai (W.dialect)	bgz	when?	1238	170	no|ian	1	
Banggai (W.dialect)	bgz	at	1461	173	doi	20?	i 1
Banggai (W.dialect)	bgz	in, inside	1606	174	doi laloŋ	1	
Banggai (W.dialect)	bgz	this	1214	177	nia	1	
Banggai (W.dialect)	bgz	near	1942	179	lolani	1	
Banggai (W.dialect)	bgz	breast	1402	18	susu	1	
Banggai (W.dialect)	bgz	I	1209	182	iaku	1	
Banggai (W.dialect)	bgz	thou	1215	183	ikoo	1	
Banggai (W.dialect)	bgz	we	1212	185	ikita	1	ikami 2
Banggai (W.dialect)	bgz	you	1213	186	ikomuyu	13	
Banggai (W.dialect)	bgz	they	817	187	ianila	1?	
Banggai (W.dialect)	bgz	Two	1498	198	lua	1	
Banggai (W.dialect)	bgz	Three	492	199	tolu	1	
Banggai (W.dialect)	bgz	Five	493	201	lima	1	
Banggai (W.dialect)	bgz	Seven	1704	203	pitu	1	
Banggai (W.dialect)	bgz	Eight	1705	204	alu	3	
Banggai (W.dialect)	bgz	Nine	1483	205	sio	5	
Banggai (W.dialect)	bgz	to think	2271	21	pikir	22	%pikir
Banggai (W.dialect)	bgz	to fear	1419	22	ma-takut	1	
Banggai (W.dialect)	bgz	head	1256	24	ulu	1	
Banggai (W.dialect)	bgz	hair	1040	26	buuk	1	
Banggai (W.dialect)	bgz	to breathe	1407	28	asaaŋ	23	
Banggai (W.dialect)	bgz	mouth	674	30	baba	1	suuŋ 40
Banggai (W.dialect)	bgz	to vomit	1278	35	tolue	8	
Banggai (W.dialect)	bgz	to eat	1336	37	kaan	1	
Banggai (W.dialect)	bgz	leg/foot	2098	4	ai	1	
Banggai (W.dialect)	bgz	to drink	1401	40	inum	1	
Banggai (W.dialect)	bgz	to bite	1403	41	kakat	1	
Banggai (W.dialect)	bgz	to suck	1421	42	sosop	1	
Banggai (W.dialect)	bgz	ear	1247	43	taliŋa|i	1	
Banggai (W.dialect)	bgz	to hear	1408	44	loŋol	1	
Banggai (W.dialect)	bgz	eye	1248	45	mata	1	
Banggai (W.dialect)	bgz	to see	1409	46	kita	1	
Banggai (W.dialect)	bgz	to sit	1416	51	duduk	35	
Banggai (W.dialect)	bgz	man/male	1554	54	malane	1	
Banggai (W.dialect)	bgz	woman/female	962	55	boʔine	1	
Banggai (W.dialect)	bgz	husband	1200	57	laŋkay	34	
Banggai (W.dialect)	bgz	mother	1216	59	tina	1	
Banggai (W.dialect)	bgz	road/path	667	6	loloon	1?	
Banggai (W.dialect)	bgz	father	1217	60	tama	1	
Banggai (W.dialect)	bgz	house	1252	61	bonua	18	
Banggai (W.dialect)	bgz	to hunt	1435	69	maŋ-asu	36	
Banggai (W.dialect)	bgz	to shoot	1172	70	mam-panapi	1	
Banggai (W.dialect)	bgz	to stab, pierce	1434	71	suduk	30	tobok 24
Banggai (W.dialect)	bgz	to die, be dead	1494	75	mate	1	
Banggai (W.dialect)	bgz	to live, be alive	1422	76	tubo	19	
Banggai (W.dialect)	bgz	stick/wood	1295	79	kau	1	
Banggai (W.dialect)	bgz	to split	1437	80	bata	36?	
Banggai (W.dialect)	bgz	to plant	1486	84	man-sasak-on	32	
Banggai (W.dialect)	bgz	to choose	1750	85	ilei	1	
Banggai (W.dialect)	bgz	to grow	479	86	tuboy	1	
Banggai (W.dialect)	bgz	to swell	1573	87	baŋkak	19	
Banggai (W.dialect)	bgz	to squeeze	1414	88	piis	29	
Banggai (W.dialect)	bgz	to dig	1418	90	gali	1	kali 1
Banggai (W.dialect)	bgz	to buy	1869	91	moŋ-oli	1	
Banggai (W.dialect)	bgz	dog	2009	96	asu	1	
Banggai (W.dialect)	bgz	bird	937	97	manu-manuk	1	
Banggai (W.dialect)	bgz	feather	1201	99	bulu	1	
Banoni	bcm	hand	1277	1	numa-	1	
Banoni	bcm	to fly	1441	101	burunu	49	
Banoni	bcm	rat	1490	102	kiso	3	
Banoni	bcm	snake	730	106	koru	21	
Banoni	bcm	worm (earthworm)	1219	107	koropita	39	
Banoni	bcm	louse	1392	108	ghutsu	1	
Banoni	bcm	rotten	1728	112	raapa	39	
Banoni	bcm	root	670	115	bagarana	19	
Banoni	bcm	water	948	122	koromo	7	
Banoni	bcm	star	1430	130	pipito	1	
Banoni	bcm	fog	249	132	kabu	1	
Banoni	bcm	thunder	1150	134	pina	28	
Banoni	bcm	lightning	1654	135	kanava	14	takiravana 14
Banoni	bcm	warm	1232	138	visisiki	29	
Banoni	bcm	belly	1251	14	kobi-	15?	
Banoni	bcm	heavy	1210	142	papataŋa	14	
Banoni	bcm	fire	221	143	dzai	1	
Banoni	bcm	smoke	778	145	daso	2?	
Banoni	bcm	white	1335	148	kekao	33	
Banoni	bcm	small	1246	152	kikinaki	1	
Banoni	bcm	wide	1243	159	tataabana	37	
Banoni	bcm	intestines	1991	16	kore-	17	
Banoni	bcm	new	1231	163	ghoom	1	
Banoni	bcm	correct, true	1725	166	magoto	13	
Banoni	bcm	night	1233	167	boŋi	1	
Banoni	bcm	liver	1224	17	date-	1	
Banoni	bcm	when?	1238	170	noisa	1	
Banoni	bcm	below	1485	176	kopona	45	
Banoni	bcm	that	78	178	nana	1	nabo 1
Banoni	bcm	breast	1402	18	su-	1	
Banoni	bcm	where?	1237	181	na vai	10	[na] vai; vaia 10
Banoni	bcm	I	1209	182	na	1?	
Banoni	bcm	he/she	262	184	nna	15	
Banoni	bcm	we	1212	185	ghata	1	ghamam 2
Banoni	bcm	you	1213	186	gham	1	
Banoni	bcm	they	817	187	nari	7	
Banoni	bcm	what?	1236	188	sua	9	hoa 9
Banoni	bcm	who?	1235	189	see	1	hee 1
Banoni	bcm	to count	1420	196	see	1	
Banoni	bcm	One	1493	197	kadaken	1	
Banoni	bcm	Three	492	199	dapisa	4	
Banoni	bcm	Four	1500	200	to|atsi	1	
Banoni	bcm	neck	1333	25	kokoromo-	27	
Banoni	bcm	hair	1040	26	punu-	31	
Banoni	bcm	nose	1221	27	vivitsi-	1	visu- 1
Banoni	bcm	right	1019	3	matoo-	5	
Banoni	bcm	mouth	674	30	maŋo-	13	
Banoni	bcm	tongue	1205	32	mea-	7	
Banoni	bcm	to cry	1839	34	tanisi	1	
Banoni	bcm	to spit	1440	36	kamisu	14,  22	
Banoni	bcm	to eat	1336	37	tam	40	
Banoni	bcm	to drink	1401	40	kuu	30	
Banoni	bcm	to bite	1403	41	kanata	1	
Banoni	bcm	to suck	1421	42	mutsi	20	
Banoni	bcm	ear	1247	43	taŋina-	1	
Banoni	bcm	to hear	1408	44	noŋono	1,  36	
Banoni	bcm	eye	1248	45	mata-	1	
Banoni	bcm	to see	1409	46	reghe	13	
Banoni	bcm	to yawn	1028	47	moghava	1	mogava 1
Banoni	bcm	to walk	1443	5	vanavido	2,  64	
Banoni	bcm	to dream	1920	50	tatara	16	
Banoni	bcm	to sit	1416	51	gonna	79	
Banoni	bcm	to stand	1442	52	tsighom	2	pito 13
Banoni	bcm	man/male	1554	54	tamata	17	
Banoni	bcm	woman/female	962	55	moono	11?	
Banoni	bcm	child	2099	56	natsu	5	
Banoni	bcm	husband	1200	57	tamata	23	
Banoni	bcm	mother	1216	59	tsina-	1	
Banoni	bcm	road/path	667	6	sanana	1	
Banoni	bcm	father	1217	60	tama-	1	
Banoni	bcm	house	1252	61	numa	1	
Banoni	bcm	name	1405	63	vasaŋa-	1,  18	
Banoni	bcm	to hit	1433	72	tsunu	50	
Banoni	bcm	to kill	1417	74	tsuna	18	vamate 2; venua 29
Banoni	bcm	to die, be dead	1494	75	mate	1	
Banoni	bcm	to scratch	1436	77	ghe|ghano	1	
Banoni	bcm	sharp	1396	81	gheeghame	14	
Banoni	bcm	to squeeze	1414	88	togonopisu	31	
Banoni	bcm	to swim	1439	9	suu	12	
Banoni	bcm	to pound, beat	354	93	tsuu	2	
Banoni	bcm	bird	937	97	manughu	1	
Bantik	bnq	hand	1277	1	lima	1	lrima 1
Bantik	bnq	wing	1257	100	kalipíʔ	1?	
Bantik	bnq	to fly	1441	101	taláʔ	26	
Bantik	bnq	rat	1490	102	tíkusuʔ	22	
Bantik	bnq	fat/grease	1282	104	lroŋo	24?	
Bantik	bnq	snake	730	106	uleʔ	2	
Bantik	bnq	worm (earthworm)	1219	107	loloati	1	
Bantik	bnq	louse	1392	108	kutu	1	
Bantik	bnq	mosquito	1509	109	tiníʔ	25	
Bantik	bnq	dust	2	11	síbukuʔ	1?	
Bantik	bnq	branch	1531	113	paŋat	22?	
Bantik	bnq	leaf	628	114	dauŋ	1	
Bantik	bnq	root	670	115	hamuʔ	3	
Bantik	bnq	flower	239	116	buŋa|ŋ	1	
Bantik	bnq	fruit	1507	117	bua	1	
Bantik	bnq	grass	606	118	dukuʔ	2	
Bantik	bnq	earth/soil	1228	119	tana	1	
Bantik	bnq	skin	763	12	pisi	22	
Bantik	bnq	stone	857	120	batu	1	
Bantik	bnq	water	948	122	ake	17	
Bantik	bnq	sea	1474	124	tasiʔ	1	
Bantik	bnq	salt	1274	125	asiŋ	3	
Bantik	bnq	woods/forest	420	127	kakayuaŋ	2	
Bantik	bnq	sky	1732	128	laŋiʔ	1	
Bantik	bnq	moon	1313	129	bulaŋ	1	
Bantik	bnq	back	1291	13	líkuduʔ	1	
Bantik	bnq	cloud	1489	131	binaba	31	
Bantik	bnq	rain	658	133	tahiti	14	
Bantik	bnq	thunder	1150	134	dulúʔ	35	
Bantik	bnq	lightning	1654	135	kilaʔ	1	
Bantik	bnq	cold	1287	139	d|al|indíŋ	1	
Bantik	bnq	belly	1251	14	tiaŋ	1	
Bantik	bnq	dry	1398	140	mada	1	
Bantik	bnq	heavy	1210	142	baháʔ	1	
Bantik	bnq	fire	221	143	putuŋ	13	
Bantik	bnq	to burn	2102	144	tutuŋ	1	
Bantik	bnq	smoke	778	145	tipu	24	
Bantik	bnq	black	163	147	ituŋ	1	
Bantik	bnq	white	1335	148	bida	40	
Bantik	bnq	bone	1394	15	duhi	2	
Bantik	bnq	yellow	1424	150	dídihiʔ	29	
Bantik	bnq	short	1645	154	pédekeʔ	68	sana 22?
Bantik	bnq	thin	1400	156	nípisiʔ	1	
Bantik	bnq	thick	1244	157	kapala	1	
Bantik	bnq	narrow	1267	158	seséʔ	32	
Bantik	bnq	wide	1243	159	lampadaʔ	19	
Bantik	bnq	intestines	1991	16	tináy	1	
Bantik	bnq	old	1229	162	gudaŋ	21	
Bantik	bnq	new	1231	163	buhú	1	
Bantik	bnq	good	1035	164	pia	1	
Bantik	bnq	bad, evil	1292	165	dalaiʔ	1	
Bantik	bnq	year	1226	169	taoŋ	1	
Bantik	bnq	liver	1224	17	atey	1	
Bantik	bnq	when?	1238	170	kaŋ|edeŋ	1?	
Bantik	bnq	to hide	602	171	buni	1	
Bantik	bnq	to climb	1102	172	abiʔ	36	saka 2
Bantik	bnq	at	1461	173	su	16	
Bantik	bnq	in, inside	1606	174	su huaŋ	13	
Bantik	bnq	below	1485	176	su aluŋ	35	
Bantik	bnq	this	1214	177	ie	11?	
Bantik	bnq	breast	1402	18	susu	1	
Bantik	bnq	far	1406	180	daw	1	
Bantik	bnq	I	1209	182	iaʔ	1	
Bantik	bnq	thou	1215	183	ikaw	1	
Bantik	bnq	he/she	262	184	isie	1	[i]sie
Bantik	bnq	we	1212	185	kite	1	kami 2
Bantik	bnq	you	1213	186	kumú	1?	
Bantik	bnq	they	817	187	side	1	
Bantik	bnq	what?	1236	188	apa	1	
Bantik	bnq	who?	1235	189	isay	1	[i]say
Bantik	bnq	shoulder	1482	19	bambáŋ	19	
Bantik	bnq	other	197	190	baline	17	
Bantik	bnq	and	1577	192	bo	27	
Bantik	bnq	how?	1239	194	kakuda	1	
Bantik	bnq	to count	1420	196	tiaʔ	24	hekeŋ 39
Bantik	bnq	Two	1498	198	dadua	1	
Bantik	bnq	Three	492	199	tatulu	1	
Bantik	bnq	left	244	2	kuihi	1	
Bantik	bnq	to know, be knowledgeable	1410	20	tiho	1?	
Bantik	bnq	Four	1500	200	paʔ	1	
Bantik	bnq	Five	493	201	ima	1	(lr)ima
Bantik	bnq	Seven	1704	203	pitu	1	
Bantik	bnq	Nine	1483	205	siouw	9	
Bantik	bnq	to fear	1419	22	matakuʔ	1	[ma]takuʔ; mataku 1
Bantik	bnq	blood	946	23	daha	1	
Bantik	bnq	head	1256	24	timbonaŋ	41	
Bantik	bnq	neck	1333	25	eheʔ	1?	
Bantik	bnq	hair	1040	26	utaʔ	27	
Bantik	bnq	nose	1221	27	iduŋ	1	
Bantik	bnq	to breathe	1407	28	sindaʔ	26	
Bantik	bnq	to sniff, smell	375	29	baw	25?	
Bantik	bnq	right	1019	3	kuaneŋ	1	
Bantik	bnq	mouth	674	30	mohoŋ	25	
Bantik	bnq	tooth	1380	31	isi	75	
Bantik	bnq	tongue	1205	32	dila	4	
Bantik	bnq	to laugh	1355	33	legéy	28	
Bantik	bnq	to vomit	1278	35	suka	9	
Bantik	bnq	to spit	1440	36	udú	50	
Bantik	bnq	to eat	1336	37	kaŋ	1	
Bantik	bnq	to chew	321	38	sapá	17	mama 1
Bantik	bnq	to drink	1401	40	inuŋ	1	
Bantik	bnq	to bite	1403	41	kiki	1	
Bantik	bnq	ear	1247	43	tiŋkahia	1?	
Bantik	bnq	to hear	1408	44	díŋihiʔ	1	
Bantik	bnq	eye	1248	45	mata	1	
Bantik	bnq	to yawn	1028	47	kótabaʔ	10	
Bantik	bnq	to sleep	1585	48	tiki	24	
Bantik	bnq	to walk	1443	5	lampáŋ	43	
Bantik	bnq	person/human being	683	53	toumata	1,  66	
Bantik	bnq	man/male	1554	54	mahuaney	24	mahuanei 24
Bantik	bnq	woman/female	962	55	babinei	1	
Bantik	bnq	child	2099	56	anaʔ	1	
Bantik	bnq	mother	1216	59	imaʔ	1?	[i]maʔ
Bantik	bnq	road/path	667	6	daleŋ	1	
Bantik	bnq	father	1217	60	iamaʔ	1	[i]amaʔ
Bantik	bnq	house	1252	61	balrei	14	
Bantik	bnq	thatch/roof	2100	62	atuʔ	1	
Bantik	bnq	name	1405	63	adeŋ	1	
Bantik	bnq	rope	1218	65	tali	1	
Bantik	bnq	to tie up, fasten	1094	66	ikiʔ	1	
Bantik	bnq	needle	1382	68	dadahuŋ	1	
Bantik	bnq	to hunt	1435	69	anuʔ	1	
Bantik	bnq	to come	1446	7	mahi	1	
Bantik	bnq	to shoot	1172	70	lutaŋ	11	
Bantik	bnq	to steal	713	73	tékosoʔ	1?	
Bantik	bnq	to kill	1417	74	buno	1	
Bantik	bnq	to die, be dead	1494	75	natey	1	
Bantik	bnq	to scratch	1436	77	kukuduʔ	23	
Bantik	bnq	stick/wood	1295	79	kayu	1	
Bantik	bnq	to split	1437	80	baká	36	
Bantik	bnq	to plant	1486	84	suaŋ	33	
Bantik	bnq	to choose	1750	85	pile	1	
Bantik	bnq	to swell	1573	87	babaha	1	
Bantik	bnq	to squeeze	1414	88	pahá	1	
Bantik	bnq	to hold	1448	89	beleŋ	30	
Bantik	bnq	to swim	1439	9	moyou	1?	
Bantik	bnq	to dig	1418	90	kali	1	
Bantik	bnq	to open, uncover	1156	92	bika	1	
Bantik	bnq	to fall	1280	95	nabo	1	
Bantik	bnq	dog	2009	96	kapuna	35	
Bantik	bnq	bird	937	97	manuʔ	1	
Bantik	bnq	egg	744	98	natúʔ	17	
Bantik	bnq	feather	1201	99	bumbulu	1	
Gayo	gay	dirty	1230	10	kɔték	31?	
Gayo	gay	wing	1257	100	kəpék	1	
Gayo	gay	to fly	1441	101	terbaŋ	18	tabur 34
Gayo	gay	rat	1490	102	tikus	22	
Gayo	gay	meat/flesh	634	103	usi	31	dəŋkɪ 26
Gayo	gay	fat/grease	1282	104	ləmak	24	
Gayo	gay	tail	1220	105	uki	1	
Gayo	gay	snake	730	106	lipé	1?	
Gayo	gay	louse	1392	108	kutu	1	
Gayo	gay	mosquito	1509	109	ləmis	1?	
Gayo	gay	spider	843	110	lɔlawah	1	
Gayo	gay	fish	227	111	ikən	1	
Gayo	gay	rotten	1728	112	buruk	1	
Gayo	gay	branch	1531	113	cabaŋ	9	
Gayo	gay	root	670	115	uyɔt	1	
Gayo	gay	flower	239	116	buŋə	1	
Gayo	gay	fruit	1507	117	uah-uahən	1	
Gayo	gay	earth/soil	1228	119	tanɔh	1	
Gayo	gay	skin	763	12	kulit	1	
Gayo	gay	stone	857	120	atu	1	
Gayo	gay	sand	671	121	pasir	18	
Gayo	gay	water	948	122	wəih	2	wih 2
Gayo	gay	woods/forest	420	127	utən	36	
Gayo	gay	sky	1732	128	laŋit	1	
Gayo	gay	moon	1313	129	ulən	1	
Gayo	gay	star	1430	130	bintaŋ	1	
Gayo	gay	fog	249	132	kədut	1	
Gayo	gay	rain	658	133	urən	1	
Gayo	gay	thunder	1150	134	gəgur	1	
Gayo	gay	lightning	1654	135	kilət	1	
Gayo	gay	belly	1251	14	tukə	4	
Gayo	gay	dry	1398	140	kəriŋ	22	
Gayo	gay	wet	1726	141	basah	1	
Gayo	gay	heavy	1210	142	bərat	1	
Gayo	gay	smoke	778	145	asap	49	
Gayo	gay	ash	646	146	wau	1	əbəm 1
Gayo	gay	black	163	147	itəm	1	
Gayo	gay	white	1335	148	putih	1	
Gayo	gay	bone	1394	15	tulən	1	
Gayo	gay	yellow	1424	150	kuniŋ	1	
Gayo	gay	green	1425	151	ijo	25	
Gayo	gay	small	1246	152	kucak	27	
Gayo	gay	long	1203	155	naru	1	
Gayo	gay	thin	1400	156	nipis	1	
Gayo	gay	thick	1244	157	təbəl	26	
Gayo	gay	painful, sick	2103	160	sakit	1	
Gayo	gay	old	1229	162	tuə	1	
Gayo	gay	new	1231	163	ayu	1	
Gayo	gay	bad, evil	1292	165	jahat	1	
Gayo	gay	correct, true	1725	166	bənar	1	%bənar
Gayo	gay	night	1233	167	klam	20?	
Gayo	gay	year	1226	169	tun	1	
Gayo	gay	liver	1224	17	até	1	
Gayo	gay	to hide	602	171	təmuni	1	
Gayo	gay	to climb	1102	172	nik	1	
Gayo	gay	at	1461	173	i	1	
Gayo	gay	above	1741	175	i atas	1	i atan 1
Gayo	gay	this	1214	177	ini	1	
Gayo	gay	near	1942	179	dəkat	28	
Gayo	gay	breast	1402	18	susu	1	
Gayo	gay	I	1209	182	aku	1	
Gayo	gay	thou	1215	183	kɔ	1	kam 10?
Gayo	gay	we	1212	185	kitə	1	kami 2
Gayo	gay	you	1213	186	kam béwénné	1	
