language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens
Berawan_Long_Terawan		Nine	1483	1483	gelpej	1698	g e l p e j
Moken		Nine	1483	1483	sewaːj	339	s e w aː j
Hanunoo		Nine	1483	1483	sijam	461	s i j a m
Tetum		Nine	1483	1483	sia	1929	s i a
Tsou		Nine	1483	1483	sio	339	s i o
Tsou		Nine	1483	1483	sijo	339	s i j o
Tsou		Nine	1483	1483	cʰuga	2225	cʰ u g a
Central Amis		Nine	1483	1483	siwa	339	s i w a
Central Amis		Nine	1483	1483	siwa	339	s i w a
Chamorro		Nine	1483	1483	sigua	2594	s i g u a
Chamorro		Nine	1483	1483	siguijai	2595	s i g u i j a i
Maloh		One	1493	1493	sera	676	s e r a
Maloh		One	1493	1493	insa	676	i n s a
Merina_Malagasy		One	1493	1493	isa	676	i s a
Thao		One	1493	1493	tata	-676	t a t a
Palauan		One	1493	1493	taŋ	676	t a ŋ
Tunjung		One	1493	1493	caʔ	676	c a ʔ
Tunjung		One	1493	1493	bueq	1475	b u e q
Bare'e		One	1493	1493	isa	676	i s a
Iban		One	1493	1493	satu	121	s a t u
Berawan_Long_Terawan		One	1493	1493	acih	676	a c i h
Moken		One	1493	1493	saʔ	676	s a ʔ
Hanunoo		One	1493	1493	usa	676	u s a
Wuna		One	1493	1493	iseʔ	676	i s e ʔ
Tetum		One	1493	1493	ida	-676	i d a
Mailu		One	1493	1493	omu	2095	o m u
Tsou		One	1493	1493	cini	712	c i n i
Nias		One	1493	1493	sara	676	s a r a
Central Amis		One	1493	1493	cecai	676	c e c a i
Central Amis		One	1493	1493	cːaj	676	cː a j
Central Amis		One	1493	1493	cecaj	676	c e c a j
Chamorro		One	1493	1493	hacʰijai	2585	h a cʰ i j a i
Chamorro		One	1493	1493	maisa	2586	m a i s a
Banoni		One	1493	1493	kadaken	676	k a d a k e n
Singhi		One	1493	1493	nikan	-676	n i k a n
Banggi		One	1493	1493	isa	676	i s a
Thao		One Hundred	1634	1634	mamavaŋatə	1252	m a m a v a ŋ a t ə
Palauan		One Hundred	1634	1634	dart	1399	d a r t
Tunjung		One Hundred	1634	1634	cehatu	1482	c e h a t u
Iban		One Hundred	1634	1634	seratus	804	s e r a t u s
Berawan_Long_Terawan		One Hundred	1634	1634	acih#gitoh	804	a c i h _ g i t o h
Hanunoo		One Hundred	1634	1634	ʔusa#ka#gatus	804	ʔ u s a _ k a _ g a t u s
Tetum		One Hundred	1634	1634	atus#ida	1932	a t u s _ i d a
Tsou		One Hundred	1634	1634	seʔconija	2226	s e ʔ c o n i j a
Chamorro		One Hundred	1634	1634	gatos	804	g a t o s
Chamorro		One Hundred	1634	1634	gatus	804	g a t u s
Palauan		One Thousand	1843	1843	ta#el#telael	1400	t a _ e l _ t e l a e l
Tunjung		One Thousand	1843	1843	seribuq	1483	s e r i b u q
Iban		One Thousand	1843	1843	seribu	683	s e r i b u
Berawan_Long_Terawan		One Thousand	1843	1843	acih#gikoh	1701	a c i h _ g i k o h
Hanunoo		One Thousand	1843	1843	ʔusa#ka#libu	683	ʔ u s a _ k a _ l i b u
Tetum		One Thousand	1843	1843	rihun	1933	r i h u n
Central Amis		One Thousand	1843	1843	cacaj#patek	2514	c a c a j _ p a t e k
Chamorro		One Thousand	1843	1843	cʰalan	2600	cʰ a l a n
Merina_Malagasy		Seven	1704	1704	fito	784	f i t o
Thao		Seven	1704	1704	piːtuʔ	784	p iː t u ʔ
Thao		Seven	1704	1704	pitu	784	p i t u
Palauan		Seven	1704	1704	klewid	1393	k l e w i d
Tunjung		Seven	1704	1704	tucuq	1478	t u c u q
Bare'e		Seven	1704	1704	papitu	784	p a p i t u
Berawan_Long_Terawan		Seven	1704	1704	tusu	691	t u s u
Moken		Seven	1704	1704	lujuːk	691	l u j uː k
Hanunoo		Seven	1704	1704	pitu	784	p i t u
Tetum		Seven	1704	1704	hitu	784	h i t u
Tsou		Seven	1704	1704	pitu	784	p i t u
Tsou		Seven	1704	1704	pitu	784	p i t u
Nias		Seven	1704	1704	fitu	784	f i t u
Central Amis		Seven	1704	1704	pitu	784	p i t u
Central Amis		Seven	1704	1704	pito	784	p i t o
Chamorro		Seven	1704	1704	fito	784	f i t o
Chamorro		Seven	1704	1704	fetguijai	784	f e t g u i j a i
Merina_Malagasy		Six	1703	1703	enina	172	e n i n a
Thao		Six	1703	1703	sturu	393	s t u r u
Thao		Six	1703	1703	katuːruʔ	393	k a t uː r u ʔ
Palauan		Six	1703	1703	klolem	1392	k l o l e m
Tunjung		Six	1703	1703	hagant	1477	h a g a n t
Bare'e		Six	1703	1703	ono	172	o n o
Iban		Six	1703	1703	enam	172	e n a m
Berawan_Long_Terawan		Six	1703	1703	enum	172	e n u m
Moken		Six	1703	1703	nam	172	n a m
Hanunoo		Six	1703	1703	ʔunum	172	ʔ u n u m
Tetum		Six	1703	1703	neːn	1927	n eː n
Tsou		Six	1703	1703	nomu	172	n o m u
Tsou		Six	1703	1703	nauma	172	n a u m a
Tsou		Six	1703	1703	nomə	172	n o m ə
Nias		Six	1703	1703	õnõ	2333	õ n õ
Central Amis		Six	1703	1703	qenem	172	q e n e m
Chamorro		Six	1703	1703	gunum	-172	g u n u m
Chamorro		Six	1703	1703	gonmijai	2591	g o n m i j a i
Merina_Malagasy		Ten	1515	1515	folo	37	f o l o
Thao		Ten	1515	1515	maksin	-8	m a k s i n
Palauan		Ten	1515	1515	truiːcʰ	1396	t r u iː cʰ
Tunjung		Ten	1515	1515	sawaːkŋ	1481	s a w aː k ŋ
Bare'e		Ten	1515	1515	sampuju	1553	s a m p u j u
Iban		Ten	1515	1515	sapuloh	1628	s a p u l o h
Berawan_Long_Terawan		Ten	1515	1515	pulo	37	p u l o
Moken		Ten	1515	1515	cəpoh	37	c ə p o h
Hanunoo		Ten	1515	1515	sampulu	37	s a m p u l u
Tetum		Ten	1515	1515	sanulu	37	s a n u l u
Tsou		Ten	1515	1515	matl	8	m a t l
Tsou		Ten	1515	1515	masːok	8	m a sː o k
Tsou		Ten	1515	1515	maskə	8	m a s k ə
Tsou		Ten	1515	1515	maskə	8	m a s k ə
Tsou		Ten	1515	1515	masːok	8	m a sː o k
Tsou		Ten	1515	1515	matl	-8	m a t l
Central Amis		Ten	1515	1515	polo	37	p o l o
Chamorro		Ten	1515	1515	fulu	2596	f u l u
Chamorro		Ten	1515	1515	manutai	2597	m a n u t a i
Maloh		Three	492	492	talu	480	t a l u
Merina_Malagasy		Three	492	492	télo	480	t e l o
Thao		Three	492	492	turu	480	t u r u
Palauan		Three	492	492	odéi	-480	o d e i
Tunjung		Three	492	492	təlu	480	t ə l u
Bare'e		Three	492	492	togo	480	t o g o
Iban		Three	492	492	tiga	66	t i g a
Berawan_Long_Terawan		Three	492	492	təloh	480	t ə l o h
Moken		Three	492	492	təloj	480	t ə l o j
Hanunoo		Three	492	492	tulu	480	t u l u
Wuna		Three	492	492	tolu	480	t o l u
Tetum		Three	492	492	tolːu	480	t o lː u
Mailu		Three	492	492	aiseri	2097	a i s e r i
Tsou		Three	492	492	tueu	480	t u e u
Nias		Three	492	492	tõlu	480	t õ l u
Central Amis		Three	492	492	tulu	480	t u l u
Chamorro		Three	492	492	tolgijai	480	t o l g i j a i
Chamorro		Three	492	492	tulo	480	t u l o
Banoni		Three	492	492	dapisa	707	d a p i s a
Singhi		Three	492	492	tarux	480	t a r u x
Banggi		Three	492	492	taolu	480	t a o l u
Palauan		Twenty	1710	1710	luiːcʰ	1397	l u iː cʰ
Bare'e		Twenty	1710	1710	radua#mpuju	1554	r a d u a _ m p u j u
Iban		Twenty	1710	1710	dua#puloh	1629	d u a _ p u l o h
Berawan_Long_Terawan		Twenty	1710	1710	lebih#pulo	1699	l e b i h _ p u l o
Tetum		Twenty	1710	1710	ruanulu	1930	r u a n u l u
Tsou		Twenty	1710	1710	mpusku	399	m p u s k u
Chamorro		Twenty	1710	1710	huguijai#na#fulu	2598	h u g u i j a i _ n a _ f u l u
Maloh		Two	1498	1498	dua	704	d u a
Merina_Malagasy		Two	1498	1498	roa	704	r o a
Thao		Two	1498	1498	tusha	704	t u s h a
Palauan		Two	1498	1498	oruŋ	704	o r u ŋ
Tunjung		Two	1498	1498	rəgaʔ	1476	r ə g a ʔ
Bare'e		Two	1498	1498	rua	704	r u a
Iban		Two	1498	1498	dua	704	d u a
Berawan_Long_Terawan		Two	1498	1498	lebih	-704	l e b i h
Moken		Two	1498	1498	tʰəwaʔ	704	tʰ ə w a ʔ
Hanunoo		Two	1498	1498	duwa	704	d u w a
Wuna		Two	1498	1498	dua	704	d u a
Tetum		Two	1498	1498	rua	704	r u a
Mailu		Two	1498	1498	ava	2096	a v a
Tsou		Two	1498	1498	euso	-704	e u s o
Nias		Two	1498	1498	dua	704	d u a
Central Amis		Two	1498	1498	tusa	704	t u s a
Chamorro		Two	1498	1498	huguijai	2587	h u g u i j a i
Chamorro		Two	1498	1498	hugua	2588	h u g u a
Banoni		Two	1498	1498	toːm	2742	t oː m
Singhi		Two	1498	1498	duex	704	d u e x
Banggi		Two	1498	1498	dua	704	d u a
Maloh		above	1741	1741	ibo	-479	i b o
Merina_Malagasy		above	1741	1741	ambonj	1144	a m b o n j
Thao		above	1741	1741	ifafaw	479	i f a f a w
Palauan		above	1741	1741	bab	479	b a b
Bare'e		above	1741	1741	ri#wawo	479	r i _ w a w o
Iban		above	1741	1741	datas	706	d a t a s
Berawan_Long_Terawan		above	1741	1741	ki#apːiəw	-479	k i _ a pː i ə w
Moken		above	1741	1741	dataː	706	d a t aː
Hanunoo		above	1741	1741	tuŋud	1851	t u ŋ u d
Tetum		above	1741	1741	letːen	1919	l e tː e n
Mailu		above	1741	1741	atana	-706	a t a n a
Tsou		above	1741	1741	noépe	2212	n o e p e
Central Amis		above	1741	1741	fafukaŋ	2495	f a f u k a ŋ
Singhi		above	1741	1741	de#somu	2833	d e _ s o m u
Singhi		above	1741	1741	de#tun	-706	d e _ t u n
Banggi		above	1741	1741	kilibuat	-479	k i l i b u a t
Maloh		all	98	98	kausan	1050	k a u s a n
Maloh		all	98	98	samua	89	s a m u a
Merina_Malagasy		all	98	98	rehétra	1153	r e h e t r a
Thao		all	98	98	ʔazʔaz	1249	ʔ a z ʔ a z
Palauan		all	98	98	el#rokir	1387	e l _ r o k i r
Bare'e		all	98	98	paka	382	p a k a
Iban		all	98	98	abis	89	a b i s
Iban		all	98	98	semua	89	s e m u a
Iban		all	98	98	magaŋ	89	m a g a ŋ
Berawan_Long_Terawan		all	98	98	moŋ	1694	m o ŋ
Moken		all	98	98	tapʰuːŋ	1790	t a pʰ uː ŋ
Moken		all	98	98	kətoj	1791	k ə t o j
Hanunoo		all	98	98	tanan	526	t a n a n
Wuna		all	98	98	baribarie	267	b a r i b a r i e
Tetum		all	98	98	hotu#hotu	452	h o t u _ h o t u
Tetum		all	98	98	falu	1924	f a l u
Tsou		all	98	98	acʉhʉ	2221	a c ʉ h ʉ
Nias		all	98	98	fefu	2327	f e f u
Nias		all	98	98	oi	2328	o i
Central Amis		all	98	98	mapuluq	2509	m a p u l u q
Central Amis		all	98	98	mapuloŋ	2510	m a p u l o ŋ
Central Amis		all	98	98	maʔmiŋ	326	m a ʔ m i ŋ
Banoni		all	98	98	kota	2739	k o t a
Singhi		all	98	98	sue#porug	2841	s u e _ p o r u g
Maloh		and	1577	1577	nana	306	n a n a
Merina_Malagasy		and	1577	1577	sj	1154	s j
Merina_Malagasy		and	1577	1577	arj	1155	a r j
Merina_Malagasy		and	1577	1577	ka	429	k a
Palauan		and	1577	1577	e	-429	e
Palauan		and	1577	1577	me	71	m e
Bare'e		and	1577	1577	pai	1548	p a i
Iban		and	1577	1577	eŋgau	1623	e ŋ g a u
Berawan_Long_Terawan		and	1577	1577	ŋan	306	ŋ a n
Moken		and	1577	1577	toŋ	1792	t o ŋ
Hanunoo		and	1577	1577	ag	429	a g
Tetum		and	1577	1577	no	825	n o
Mailu		and	1577	1577	di	2084	d i
Mailu		and	1577	1577	ele	2085	e l e
Mailu		and	1577	1577	o	2086	o
Mailu		and	1577	1577	nogo	2087	n o g o
Tsou		and	1577	1577	ho	641	h o
Nias		and	1577	1577	ba	71	b a
Central Amis		and	1577	1577	a	36	a
Chamorro		and	1577	1577	ja	2581	j a
Chamorro		and	1577	1577	jan	2582	j a n
Singhi		and	1577	1577	duecʰ	2842	d u e cʰ
Singhi		and	1577	1577	toban	769	t o b a n
Banggi		and	1577	1577	mak	71	m a k
Maloh		ashes	646	646	kutuan	1033	k u t u a n
Merina_Malagasy		ashes	646	646	lavénona	1126	l a v e n o n a
Thao		ashes	646	646	qafu	700	q a f u
Palauan		ashes	646	646	cʰab	1354	cʰ a b
Tunjung		ashes	646	646	ahuʔ	700	a h u ʔ
Bare'e		ashes	646	646	awu	700	a w u
Iban		ashes	646	646	abu	700	a b u
Berawan_Long_Terawan		ashes	646	646	akːuh	700	a kː u h
Moken		ashes	646	646	kaboj	700	k a b o j
Hanunoo		ashes	646	646	ajum	700	a j u m
Hanunoo		ashes	646	646	dapug	513	d a p u g
Wuna		ashes	646	646	gʰabu	700	gʰ a b u
Mailu		ashes	646	646	kau	-700	k a u
Mailu		ashes	646	646	konunu	2043	k o n u n u
Tsou		ashes	646	646	fuu	700	f u u
Nias		ashes	646	646	awu	700	a w u
Central Amis		ashes	646	646	lafuh	2459	l a f u h
Central Amis		ashes	646	646	ʕafo	700	ʕ a f o
Chamorro		ashes	646	646	apu	700	a p u
Banoni		ashes	646	646	pona	2708	p o n a
Singhi		ashes	646	646	abux	700	a b u x
Banggi		ashes	646	646	awu	700	a w u
Merina_Malagasy		at	1461	1461	amj	1142	a m j
Thao		at	1461	1461	i	52	i
Palauan		at	1461	1461	er	1375	e r
Tunjung		at	1461	1461	deʔ	86	d e ʔ
Bare'e		at	1461	1461	ri	86	r i
Iban		at	1461	1461	ba	708	b a
Iban		at	1461	1461	di	86	d i
Berawan_Long_Terawan		at	1461	1461	atəʔ	681	a t ə ʔ
Moken		at	1461	1461	tʰiː	86	tʰ iː
Hanunoo		at	1461	1461	sa	342	s a
Tetum		at	1461	1461	iha	-86	i h a
Mailu		at	1461	1461	de	-52	d e
Nias		at	1461	1461	ba	708	b a
Central Amis		at	1461	1461	i	52	i
Chamorro		at	1461	1461	gi	86	g i
Singhi		at	1461	1461	daːŋ	2832	d aː ŋ
Banggi		at	1461	1461	ki	86	k i
Maloh		back	1291	1291	balakaŋ	838	b a l a k a ŋ
Thao		back	1291	1291	rikus	832	r i k u s
Palauan		back	1291	1291	uulk	1259	u u l k
Tunjung		back	1291	1291	puŋuŋ	621	p u ŋ u ŋ
Bare'e		back	1291	1291	taliku	832	t a l i k u
Iban		back	1291	1291	belakaŋ	838	b e l a k a ŋ
Berawan_Long_Terawan		back	1291	1291	likon	832	l i k o n
Moken		back	1291	1291	lekoːt	832	l e k oː t
Hanunoo		back	1291	1291	daju	1801	d a j u
Tetum		back	1291	1291	kotːuk	111	k o tː u k
Mailu		back	1291	1291	deniabo	-157	d e n i a b o
Mailu		back	1291	1291	doe	1940	d o e
Tsou		back	1291	1291	fʔuhu	348	f ʔ u h u
Nias		back	1291	1291	hulu	2229	h u l u
Central Amis		back	1291	1291	kulur	2339	k u l u r
Central Amis		back	1291	1291	koror	2340	k o r o r
Banoni		back	1291	1291	tsugʰi	2608	t s u gʰ i
Singhi		back	1291	1291	dug	2749	d u g
Maloh		bad, evil	1292	1292	ajau	-130	a j a u
Merina_Malagasy		bad, evil	1292	1292	ratsj	1136	r a t s j
Thao		bad, evil	1292	1292	makarman	1239	m a k a r m a n
Palauan		bad, evil	1292	1292	mekŋit	1369	m e k ŋ i t
Tunjung		bad, evil	1292	1292	kaheʔ#pajik	1463	k a h e ʔ _ p a j i k
Bare'e		bad, evil	1292	1292	majaʔa	130	m a j a ʔ a
Iban		bad, evil	1292	1292	jaiʔ	130	j a i ʔ
Berawan_Long_Terawan		bad, evil	1292	1292	jeʔ	130	j e ʔ
Moken		bad, evil	1292	1292	ʔaduːt	1776	ʔ a d uː t
Hanunoo		bad, evil	1292	1292	daʔut	130	d a ʔ u t
Wuna		bad, evil	1292	1292	habarubaru	1880	h a b a r u b a r u
Tetum		bad, evil	1292	1292	aːt	-130	aː t
Mailu		bad, evil	1292	1292	oreore	2065	o r e o r e
Tsou		bad, evil	1292	1292	kui	489	k u i
Nias		bad, evil	1292	1292	lõ#sõxi	2313	l õ _ s õ x i
Central Amis		bad, evil	1292	1292	tatiʔih	2486	t a t i ʔ i h
Chamorro		bad, evil	1292	1292	baba	666	b a b a
Banoni		bad, evil	1292	1292	sara	2728	s a r a
Banoni		bad, evil	1292	1292	sabau	2729	s a b a u
Singhi		bad, evil	1292	1292	jaːt	130	j aː t
Banggi		bad, evil	1292	1292	endod	2881	e n d o d
Maloh		belly	1251	1251	bataŋ	146	b a t a ŋ
Merina_Malagasy		belly	1251	1251	kibo	1058	k i b o
Thao		belly	1251	1251	tiaz	17	t i a z
Palauan		belly	1251	1251	diil	-17	d i i l
Tunjung		belly	1251	1251	naiʔ	1404	n a i ʔ
Bare'e		belly	1251	1251	kompo	249	k o m p o
Iban		belly	1251	1251	perut	840	p e r u t
Berawan_Long_Terawan		belly	1251	1251	tijan	17	t i j a n
Moken		belly	1251	1251	lakeʔ	1707	l a k e ʔ
Hanunoo		belly	1251	1251	tijan	17	t i j a n
Wuna		belly	1251	1251	tagʰi	76	t a gʰ i
Tetum		belly	1251	1251	kabun	-249	k a b u n
Mailu		belly	1251	1251	amara	1941	a m a r a
Tsou		belly	1251	1251	bʉeo	2103	b ʉ e o
Nias		belly	1251	1251	talu	2230	t a l u
Central Amis		belly	1251	1251	tial	17	t i a l
Central Amis		belly	1251	1251	tial	17	t i a l
Chamorro		belly	1251	1251	tujan	17	t u j a n
Banoni		belly	1251	1251	kobi	-674	k o b i
Singhi		belly	1251	1251	tain	17	t a i n
Banggi		belly	1251	1251	tiagn	17	t i a g n
Maloh		below	1485	1485	ijauŋ	1044	i j a u ŋ
Merina_Malagasy		below	1485	1485	ambanj	1145	a m b a n j
Thao		below	1485	1485	ipruq	1242	i p r u q
Palauan		below	1485	1485	eou	1377	e o u
Tunjung		below	1485	1485	iweːq	1466	i w eː q
Bare'e		below	1485	1485	ri#ara	-602	r i _ a r a
Iban		below	1485	1485	baroh	1613	b a r o h
Berawan_Long_Terawan		below	1485	1485	ki#ləpːu	1689	k i _ l ə pː u
Moken		below	1485	1485	ləbuːk	1781	l ə b uː k
Hanunoo		below	1485	1485	lawud	-602	l a w u d
Tetum		below	1485	1485	kraik	1920	k r a i k
Mailu		below	1485	1485	auna	2071	a u n a
Mailu		below	1485	1485	godana	2072	g o d a n a
Tsou		below	1485	1485	nosʔoeːʉ	2213	n o s ʔ o eː ʉ
Nias		below	1485	1485	tou	2320	t o u
Central Amis		below	1485	1485	laʔnu	2496	l a ʔ n u
Banoni		below	1485	1485	kopona	713	k o p o n a
Singhi		below	1485	1485	de#dau	2834	d e _ d a u
Singhi		below	1485	1485	riboeʔ	2835	r i b o e ʔ
Banggi		below	1485	1485	kisiduŋ	2885	k i s i d u ŋ
Maloh		big	1202	1202	bara	1037	b a r a
Merina_Malagasy		big	1202	1202	lehibé	1130	l e h i b e
Palauan		big	1202	1202	klou	1360	k l o u
Tunjung		big	1202	1202	hajaʔ	606	h a j a ʔ
Bare'e		big	1202	1202	baŋke	-594	b a ŋ k e
Iban		big	1202	1202	besai	354	b e s a i
Berawan_Long_Terawan		big	1202	1202	kijih	-606	k i j i h
Moken		big	1202	1202	ʔadaʔ	1771	ʔ a d a ʔ
Hanunoo		big	1202	1202	daka	558	d a k a
Hanunoo		big	1202	1202	laʔun	1840	l a ʔ u n
Wuna		big	1202	1202	nobala	456	n o b a l a
Mailu		big	1202	1202	ogoda	2052	o g o d a
Tsou		big	1202	1202	loeo	2200	l o e o
Nias		big	1202	1202	ebua	2306	e b u a
Central Amis		big	1202	1202	aŋaj	2470	a ŋ a j
Central Amis		big	1202	1202	tataqaŋ	2471	t a t a q a ŋ
Central Amis		big	1202	1202	tataʔak	2472	t a t a ʔ a k
Central Amis		big	1202	1202	tataʔaŋ	2473	t a t a ʔ a ŋ
Chamorro		big	1202	1202	dankolo	-558	d a n k o l o
Banoni		big	1202	1202	baŋana	2716	b a ŋ a n a
Banoni		big	1202	1202	gari	2717	g a r i
Singhi		big	1202	1202	ajux	606	a j u x
Banggi		big	1202	1202	midia	2877	m i d i a
Maloh		bird	937	937	buroŋ	583	b u r o ŋ
Thao		bird	937	937	rumfaz	1207	r u m f a z
Palauan		bird	937	937	suebek#el#cʰarm	1319	s u e b e k _ e l _ cʰ a r m
Tunjung		bird	937	937	əmpuluʔ	1443	ə m p u l u ʔ
Bare'e		bird	937	937	tonci	1518	t o n c i
Iban		bird	937	937	buroŋ	583	b u r o ŋ
Berawan_Long_Terawan		bird	937	937	manoʔ	381	m a n o ʔ
Moken		bird	937	937	cicum	1752	c i c u m
Hanunoo		bird	937	937	manuk	381	m a n u k
Wuna		bird	937	937	manumanu	381	m a n u m a n u
Tetum		bird	937	937	manu#fuʔik	381	m a n u _ f u ʔ i k
Mailu		bird	937	937	manu	381	m a n u
Tsou		bird	937	937	zomu	213	z o m u
Nias		bird	937	937	fofo	2280	f o f o
Central Amis		bird	937	937	tupi	2410	t u p i
Central Amis		bird	937	937	ajam	213	a j a m
Banoni		bird	937	937	manugʰu	381	m a n u gʰ u
Singhi		bird	937	937	manuk	381	m a n u k
Banggi		bird	937	937	bohed	2863	b o h e d
Maloh		black	163	163	intarum	-474	i n t a r u m
Merina_Malagasy		black	163	163	maintj	474	m a i n t j
Thao		black	163	163	maqusum	109	m a q u s u m
Palauan		black	163	163	cʰedelekélek	1355	cʰ e d e l e k e l e k
Tunjung		black	163	163	pərəmaʔ	1455	p ə r ə m a ʔ
Bare'e		black	163	163	maeta	474	m a e t a
Iban		black	163	163	itam	474	i t a m
Iban		black	163	163	celum	402	c e l u m
Berawan_Long_Terawan		black	163	163	mitːəm	474	m i tː ə m
Moken		black	163	163	ketam	474	k e t a m
Hanunoo		black	163	163	agiwan	1836	a g i w a n
Hanunoo		black	163	163	mabiru	1837	m a b i r u
Wuna		black	163	163	nogʰigʰito	474	n o gʰ i gʰ i t o
Tetum		black	163	163	metan	474	m e t a n
Mailu		black	163	163	dubaduba	671	d u b a d u b a
Tsou		black	163	163	kuaoŋa	2195	k u a o ŋ a
Nias		black	163	163	aitõ	474	a i t õ
Central Amis		black	163	163	kuhetiŋaj	2460	k u h e t i ŋ a j
Central Amis		black	163	163	kuhtiŋ	2461	k u h t i ŋ
Chamorro		black	163	163	atːiloŋ	-474	a tː i l o ŋ
Banoni		black	163	163	naŋiri	2709	n a ŋ i r i
Banoni		black	163	163	nunumini	2710	n u n u m i n i
