language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens
Spanish		belly	1251	1251	bjentre	26	b j e n t r e
Danish		belly	1251	1251	ɔnʌliwˀ	34	ɔ n ʌ l i wˀ
Bulgarian		belly	1251	1251	korɛm	-30	k o r ɛ m
Greek		belly	1251	1251	ciʎa	24	c i ʎ a
Romanian		belly	1251	1251	pənteʦe	33	p ə n t e ts e
Russian		belly	1251	1251	ʒɨvot	31	ʒ ɨ v o t
Polish		belly	1251	1251	bʒux	35	b ʒ u x
Norwegian		belly	1251	1251	mɑːgə	32	m ɑː g ə
French		belly	1251	1251	vɑ̃tʁ	26	v ɑ̃ t ʁ
Czech		belly	1251	1251	brɪxo	35	b r ɪ x o
Icelandic		belly	1251	1251	kʰvɪːðʏr	36	kʰ v ɪː ð ʏ r
Italian		belly	1251	1251	panʧa	33	p a n tʃ a
Hindi		belly	1251	1251	peːʈ	-25	p eː ʈ
Portuguese		belly	1251	1251	vẽtrə	26	v ẽ t r ə
Swedish		belly	1251	1251	buk	27	b u k
Danish		belly	1251	1251	mæːvə	32	m æː v ə
Norwegian		belly	1251	1251	bʉːk	27	b ʉː k
Italian		belly	1251	1251	vɛntre	26	v ɛ n t r e
Portuguese		belly	1251	1251	bɐʀigɐ	29	b ɐ ʀ i g ɐ
Dutch		big	1202	1202	xroːt	46	x r oː t
Swedish		big	1202	1202	stoːr	43	s t oː r
English		big	1202	1202	bɪɡ	40	b ɪ g
German		big	1202	1202	ɡroːs	46	g r oː s
Spanish		big	1202	1202	ɡɾande	47	g ɾ a n d e
Danish		big	1202	1202	sdoˀʁ	43	s d oˀ ʁ
Bulgarian		big	1202	1202	golʲam	38	g o lʲ a m
Greek		big	1202	1202	meɣalos	37	m e ɣ a l o s
Armenian		big	1202	1202	mɛʦ	37	m ɛ ts
Romanian		big	1202	1202	mare	42	m a r e
Russian		big	1202	1202	bɐlʲʃoj	44	b ɐ lʲ ʃ o j
Polish		big	1202	1202	vʲɛlki	41	vʲ ɛ l k i
Norwegian		big	1202	1202	stuːɾ	-43	s t uː ɾ
French		big	1202	1202	ɡʁã	47	g ʁ ã
Czech		big	1202	1202	vɛlkiː	41	v ɛ l k iː
Icelandic		big	1202	1202	stouːr	43	s t o uː r
Italian		big	1202	1202	ɡrande	47	g r a n d e
Hindi		big	1202	1202	bəɽaː	39	b ə ɽ aː
Portuguese		big	1202	1202	grɐ̃də	47	g r ɐ̃ d ə
English		big	1202	1202	ɡreɪt	46	g r eɪ t
Polish		big	1202	1202	duʒɨ	45	d u ʒ ɨ
Icelandic		big	1202	1202	mɪːcɪt͡l	37	m ɪː c ɪ tl
Dutch		bird	937	937	voːɣəl	51	v oː ɣ ə l
Swedish		bird	937	937	foːgel	51	f oː g e l
English		bird	937	937	bɜːrd	53	b ɜː r d
German		bird	937	937	foːɡəl	51	f oː g ə l
Spanish		bird	937	937	paxaro	48	p a x a r o
Danish		bird	937	937	fuˀl	51	f uˀ l
Bulgarian		bird	937	937	ptiʦə	51	p t i ts ə
Greek		bird	937	937	puli	-50	p u l i
Armenian		bird	937	937	tʰərʧʰun	48	tʰ ə r tʃʰ u n
Romanian		bird	937	937	pasəre	48	p a s ə r e
Russian		bird	937	937	ptʲiʦə	51	p tʲ i ts ə
Polish		bird	937	937	ptak	51	p t a k
Norwegian		bird	937	937	fʉːl	51	f ʉː l
French		bird	937	937	wazo	52	w a z o
Czech		bird	937	937	ptaːk	51	p t aː k
Icelandic		bird	937	937	fʏkl	51	f ʏ k l
Italian		bird	937	937	uʧːɛllo	52	u tːʃ ɛ lː o
Hindi		bird	937	937	ʧɪɽɪyaː	-49	tʃ ɪ ɽ i y aː
Portuguese		bird	937	937	avə	52	a v ə
Spanish		bird	937	937	ave	52	a v e
Portuguese		bird	937	937	pasɐru	48	p a s ɐ r u
Dutch		bite	1403	1403	bɛɪtə	54	b ɛi t ə
Swedish		bite	1403	1403	biːta	54	b iː t a
English		bite	1403	1403	baɪt	54	b aɪ t
German		bite	1403	1403	baisən	54	b ai s ə n
Spanish		bite	1403	1403	moɾðeɾ	56	m o ɾ ð e ɾ
Danish		bite	1403	1403	biːðə	54	b iː ð ə
Bulgarian		bite	1403	1403	xəpa	58	x ə p a
Greek		bite	1403	1403	ðaŋɡono	59	ð a ŋ g o n o
Armenian		bite	1403	1403	kəʦɛl	57	k ə ts ɛ l
Romanian		bite	1403	1403	muʃka	56	m u ʃ k a
Russian		bite	1403	1403	kusatʲ	57	k u s a tʲ
Polish		bite	1403	1403	ssaʨ	57	sː a tɕ
Norwegian		bite	1403	1403	biːtə	54	b iː t ə
French		bite	1403	1403	mɔʁdʁ	56	m ɔ ʁ d ʁ
Czech		bite	1403	1403	kowsat	57	k o w s a t
Icelandic		bite	1403	1403	piːta	54	p iː t a
Italian		bite	1403	1403	mɔrdere	56	m ɔ r d e r e
Hindi		bite	1403	1403	kaːʈnaː	55	k aː ʈ n aː
Portuguese		bite	1403	1403	murder	56	m u r d e r
Dutch		black	163	163	zʋɑrt	60	z ʋ ɑ r t
Swedish		black	163	163	svartː	60	s v a r tː
English		black	163	163	blæk	61	b l æ k
German		black	163	163	ʃvart͡s	60	ʃ v a r ts
Spanish		black	163	163	neɣɾo	63	n e ɣ ɾ o
Danish		black	163	163	sɒːd	60	s ɒː d
Bulgarian		black	163	163	ʧɛrɛn	66	tʃ ɛ r ɛ n
Greek		black	163	163	mavros	64	m a v r o s
Armenian		black	163	163	sɛv	62	s ɛ v
Romanian		black	163	163	neɡru	63	n e g r u
Russian		black	163	163	ʧornɨj	66	tʃ o r n ɨ j
Polish		black	163	163	ʧarnɨ	66	tʃ a r n ɨ
Norwegian		black	163	163	sɔʈ	60	s ɔ ʈ
French		black	163	163	nwaʁ	63	n w a ʁ
Czech		black	163	163	ʧɛrniː	66	tʃ ɛ r n iː
Icelandic		black	163	163	svar̥tʏr	60	s v a r̥ t ʏ r
Italian		black	163	163	nero	63	n e r o
Hindi		black	163	163	kaːlaː	65	k aː l aː
Portuguese		black	163	163	pretu	67	p r e t u
Dutch		blood	946	946	bluːt	71	b l uː t
Swedish		blood	946	946	bloːd	71	b l oː d
English		blood	946	946	blʌd	71	b l ʌ d
German		blood	946	946	bluːt	71	b l uː t
Spanish		blood	946	946	saŋɡɾe	69	s a ŋ g ɾ e
Danish		blood	946	946	bloˀð	71	b l oˀ ð
Bulgarian		blood	946	946	krɤf	68	k r ɤ f
Greek		blood	946	946	ema	70	e m a
Armenian		blood	946	946	ɑɾɪun	69	ɑ ɾ ɪ u n
Romanian		blood	946	946	sɨnʤe	69	s ɨ n dʒ e
Russian		blood	946	946	krofʲ	68	k r o fʲ
Polish		blood	946	946	krɛf	68	k r ɛ f
Norwegian		blood	946	946	bluː	71	b l uː
French		blood	946	946	sɑ̃	69	s ɑ̃
Czech		blood	946	946	krɛf	68	k r ɛ f
Icelandic		blood	946	946	plouːθ	71	p l o uː θ
Italian		blood	946	946	saŋɡwe	69	s a ŋ g w e
Portuguese		blood	946	946	sɐ̃gə	69	s ɐ̃ g ə
Dutch		bone	1394	1394	beːn	76	b eː n
Swedish		bone	1394	1394	beːn	76	b eː n
English		bone	1394	1394	bəʊn	76	b əu n
German		bone	1394	1394	knɔxən	77	k n ɔ x ə n
Spanish		bone	1394	1394	weso	73	w e s o
Danish		bone	1394	1394	beˀn	76	b eˀ n
Bulgarian		bone	1394	1394	kɔst	75	k ɔ s t
Greek		bone	1394	1394	kokalo	-72	k o k a l o
Armenian		bone	1394	1394	voskoɾ	73	v o s k o ɾ
Romanian		bone	1394	1394	os	73	o s
Russian		bone	1394	1394	kosʲtʲ	75	k o sʲ tʲ
Polish		bone	1394	1394	kɔɕʨ	75	k ɔ ɕ tɕ
Norwegian		bone	1394	1394	beːn	76	b eː n
French		bone	1394	1394	ɔs	73	ɔ s
Czech		bone	1394	1394	kost	75	k o s t
Icelandic		bone	1394	1394	peiːn	76	p e iː n
Italian		bone	1394	1394	ɔsso	73	ɔ sː o
Hindi		bone	1394	1394	həɖɖiː	74	h ə ɖː iː
Portuguese		bone	1394	1394	osu	73	o s u
Dutch		breast	1402	1402	bɔrst	79	b ɔ r s t
Swedish		breast	1402	1402	brøst	79	b r ø s t
English		breast	1402	1402	brɛst	79	b r ɛ s t
German		breast	1402	1402	brʊst	79	b r ʊ s t
Spanish		breast	1402	1402	seno	78	s e n o
Danish		breast	1402	1402	bʁœsd	79	b ʁ œ s d
Bulgarian		breast	1402	1402	ɡrɤt	83	g r ɤ t
Greek		breast	1402	1402	stiθos	78	s t i θ o s
Armenian		breast	1402	1402	kuɾʦkʰ	83	k u ɾ ts kʰ
Romanian		breast	1402	1402	pjept	82	p j e p t
Russian		breast	1402	1402	ɡrutʲ	83	g r u tʲ
Polish		breast	1402	1402	pʲɛrɕ	80	pʲ ɛ r ɕ
Norwegian		breast	1402	1402	bɾyst	-79	b ɾ y s t
French		breast	1402	1402	pwatʁin	82	p w a t ʁ i n
Czech		breast	1402	1402	pr̩sa	80	p r̩ s a
Icelandic		breast	1402	1402	b̥rjousd̥	79	b̥ r j ou s d̥
Italian		breast	1402	1402	seno	78	s e n o
Hindi		breast	1402	1402	ʧaːtiː	81	tʃ aː t iː
Portuguese		breast	1402	1402	pɐjtu	82	p ɐ j t u
Spanish		breast	1402	1402	peʧo	82	p e tʃ o
Romanian		breast	1402	1402	sɨn	78	s ɨ n
French		breast	1402	1402	sɛ̃	78	s ɛ̃
Italian		breast	1402	1402	pɛtto	82	p ɛ tː o
Portuguese		breast	1402	1402	sɐju	78	s ɐ j u
Dutch		burn	141	141	brɑndə	89	b r ɑ n d ə
Swedish		burn	141	141	brɛnːa	89	b r ɛ nː a
English		burn	141	141	bɜːrn	89	b ɜː r n
German		burn	141	141	brɛnən	89	b r ɛ n ə n
Spanish		burn	141	141	kemaɾ	90	k e m a ɾ
Danish		burn	141	141	bʁanə	89	b ʁ a n ə
Bulgarian		burn	141	141	ɡɔra	84	g ɔ r a
Greek		burn	141	141	ceo	87	c e o
Armenian		burn	141	141	ɑɪɾvɛl	85	ɑɪ ɾ v ɛ l
Romanian		burn	141	141	arde	88	a r d e
Russian		burn	141	141	ʒetʲ	91	ʒ e tʲ
Polish		burn	141	141	paliʨ	92	p a l i tɕ
Norwegian		burn	141	141	bɾenə	89	b ɾ e n ə
French		burn	141	141	bʁyle	93	b ʁ y l e
Czech		burn	141	141	paːlit	92	p aː l i t
Icelandic		burn	141	141	b̥rɛtna	89	b̥ r ɛ t n a
Italian		burn	141	141	bruʧːare	93	b r u tːʃ a r e
Hindi		burn	141	141	ʤəlnaː	86	dʒ ə l n aː
Portuguese		burn	141	141	kɐjmar	90	k ɐ j m a r
Dutch		claw (nail)	2128	2128	naːɣəl	94	n aː ɣ ə l
Swedish		claw (nail)	2128	2128	naːgel	94	n aː g e l
English		claw (nail)	2128	2128	neɪl	94	n eɪ l
German		claw (nail)	2128	2128	naːɡəl	94	n aː g ə l
Spanish		claw (nail)	2128	2128	uɲa	94	u ɲ a
Danish		claw (nail)	2128	2128	nɑjˀl	94	n ɑ jˀ l
Bulgarian		claw (nail)	2128	2128	nɔkət	94	n ɔ k ə t
Greek		claw (nail)	2128	2128	niçi	94	n i ç i
Armenian		claw (nail)	2128	2128	jɛʁung	94	j ɛ ʁ u n g
Romanian		claw (nail)	2128	2128	ungje	94	u n g j e
Russian		claw (nail)	2128	2128	noɡətʲ	94	n o g ə tʲ
Polish		claw (nail)	2128	2128	paznɔkʲɛʨ	94	p a z n ɔ kʲ ɛ tɕ
Norwegian		claw (nail)	2128	2128	næjl	94	n æ j l
French		claw (nail)	2128	2128	ɔ̃ɡl	94	ɔ̃ g l
Czech		claw (nail)	2128	2128	nɛɦɛt	94	n ɛ ɦ ɛ t
Icelandic		claw (nail)	2128	2128	nakl	94	n a k l
Italian		claw (nail)	2128	2128	unɡja	94	u n g j a
Hindi		claw (nail)	2128	2128	naːkʰ	94	n aː kʰ
Portuguese		claw (nail)	2128	2128	uɲɐ	94	u ɲ ɐ
Dutch		cloud	1489	1489	ʋɔlk	102	ʋ ɔ l k
Swedish		cloud	1489	1489	ɧyː	96	ɧ yː
English		cloud	1489	1489	klaʊd	101	k l aʊ d
German		cloud	1489	1489	vɔlkə	102	v ɔ l k ə
Spanish		cloud	1489	1489	nuβe	100	n u β e
Danish		cloud	1489	1489	sgyˀ	96	s g yˀ
Bulgarian		cloud	1489	1489	ɔblək	103	ɔ b l ə k
Greek		cloud	1489	1489	sinefo	98	s i n e f o
Armenian		cloud	1489	1489	ɑmp	99	ɑ m p
Romanian		cloud	1489	1489	nor	100	n o r
Russian		cloud	1489	1489	obləkə	103	o b l ə k ə
Polish		cloud	1489	1489	ɔbwɔk	103	ɔ b w ɔ k
Norwegian		cloud	1489	1489	ʃyː	-96	ʃ yː
French		cloud	1489	1489	nɥaj	100	n ɥ a j
Czech		cloud	1489	1489	oblak	103	o b l a k
Icelandic		cloud	1489	1489	sciː	96	s c iː
Italian		cloud	1489	1489	nuvola	100	n u v o l a
Hindi		cloud	1489	1489	baːdəl	95	b aː d ə l
Portuguese		cloud	1489	1489	nuvɐ̃j	100	n u v ɐ̃ j
Swedish		cloud	1489	1489	moːln	97	m oː l n
Dutch		cold	1287	1287	kɑut	105	k ɑu t
Swedish		cold	1287	1287	kalː	105	k a lː
English		cold	1287	1287	kəʊld	105	k əu l d
German		cold	1287	1287	kalt	105	k a l t
Spanish		cold	1287	1287	fri.o	107	f r i o
Danish		cold	1287	1287	kʌlˀ	105	k ʌ lˀ
Bulgarian		cold	1287	1287	studɛn	111	s t u d ɛ n
Greek		cold	1287	1287	p͡sixros	109	ps i x r o s
Romanian		cold	1287	1287	reʧe	108	r e tʃ e
Russian		cold	1287	1287	xɐlodnɨj	106	x ɐ l o d n ɨ j
Polish		cold	1287	1287	xwɔdnɨ	106	x w ɔ d n ɨ
Norwegian		cold	1287	1287	kɑl	-105	k ɑ l
French		cold	1287	1287	fʁwa	107	f ʁ w a
Czech		cold	1287	1287	xladniː	106	x l a d n iː
Icelandic		cold	1287	1287	kʰaltʏr	105	kʰ a l t ʏ r
Italian		cold	1287	1287	freddo	107	f r e dː o
Hindi		cold	1287	1287	ʈʰəɳɖaː	104	ʈʰ ə ɳ ɖ aː
Portuguese		cold	1287	1287	friw	107	f r i w
Romanian		cold	1287	1287	frig	107	f r i g
Polish		cold	1287	1287	ʑimnɨ	110	ʑ i m n ɨ
Czech		cold	1287	1287	stʊdɛniː	111	s t ʊ d ɛ n iː
Dutch		come	1446	1446	aːŋkoːmə	115	aː ŋ k oː m ə
Swedish		come	1446	1446	komːa	115	k o mː a
English		come	1446	1446	kʌm	115	k ʌ m
German		come	1446	1446	kɔmən	115	k ɔ m ə n
Spanish		come	1446	1446	beniɾ	115	b e n i ɾ
Danish		come	1446	1446	kʌmə	115	k ʌ m ə
Bulgarian		come	1446	1446	idvam	116	i d v a m
Greek		come	1446	1446	erxome	117	e r x o m e
Armenian		come	1446	1446	gɑl	113	g ɑ l
Romanian		come	1446	1446	veni	115	v e n i
Russian		come	1446	1446	prʲɪjtʲi	116	p rʲ ɪ j tʲ i
Polish		come	1446	1446	pʃɨjɕʨ	116	p ʃ ɨ j ɕ tɕ
Norwegian		come	1446	1446	kɔmə	115	k ɔ m ə
French		come	1446	1446	vəniʁ	115	v ə n i ʁ
Czech		come	1446	1446	prɪjiːt	116	p r ɪ j iː t
Icelandic		come	1446	1446	kʰɔːma	115	kʰ ɔː m a
Italian		come	1446	1446	venire	115	v e n i r e
Hindi		come	1446	1446	aːnaː	112	aː n aː
Portuguese		come	1446	1446	vir	115	v i r
Russian		come	1446	1446	prʲɪxɐdʲitʲ	114	p rʲ ɪ x ɐ dʲ i tʲ
Polish		come	1446	1446	pʃɨxɔʥiʨ	114	p ʃ ɨ x ɔ dʑ i tɕ
Dutch		die	1494	1494	stɛrvə	118	s t ɛ r v ə
Swedish		die	1494	1494	dø	119	d ø
English		die	1494	1494	daɪ	-119	d aɪ
German		die	1494	1494	ʃtɛrbən	118	ʃ t ɛ r b ə n
Spanish		die	1494	1494	moɾiɾ	121	m o ɾ i ɾ
Danish		die	1494	1494	døˀ	119	d øˀ
Bulgarian		die	1494	1494	umrɤ	121	u m r ɤ
Greek		die	1494	1494	peθeno	120	p e θ e n o
Armenian		die	1494	1494	mɛrnɛl	121	m ɛ r n ɛ l
Romanian		die	1494	1494	muri	121	m u r i
Russian		die	1494	1494	umʲɪrʲetʲ	121	u mʲ ɪ rʲ e tʲ
Polish		die	1494	1494	umʲɛraʨ	121	u mʲ ɛ r a tɕ
Norwegian		die	1494	1494	døː	119	d øː
French		die	1494	1494	muʁiʁ	121	m u ʁ i ʁ
Czech		die	1494	1494	ʊmiːrat	121	ʊ m iː r a t
Icelandic		die	1494	1494	teiːja	119	t e iː j a
Italian		die	1494	1494	morire	121	m o r i r e
Hindi		die	1494	1494	mərnaː	121	m ə r n aː
Portuguese		die	1494	1494	muʀer	121	m u ʀ e r
Dutch		dog	2009	2009	hɔnt	123	h ɔ n t
Swedish		dog	2009	2009	hunːd	123	h u nː d
English		dog	2009	2009	dɔɡ	129	d ɔ g
German		dog	2009	2009	hʊnt	123	h ʊ n t
Spanish		dog	2009	2009	pero	-122	p e r o
Danish		dog	2009	2009	hunˀ	123	h u nˀ
Bulgarian		dog	2009	2009	kuʧɛ	125	k u tʃ ɛ
Greek		dog	2009	2009	scilos	127	s c i l o s
Armenian		dog	2009	2009	ʃun	123	ʃ u n
Romanian		dog	2009	2009	kɨjne	124	k ɨ j n e
Russian		dog	2009	2009	sɐbakə	126	s ɐ b a k ə
Polish		dog	2009	2009	pʲɛs	128	pʲ ɛ s
Norwegian		dog	2009	2009	hʉn	-123	h ʉ n
French		dog	2009	2009	ʃjɛ̃	124	ʃ j ɛ̃
Czech		dog	2009	2009	pɛs	128	p ɛ s
Icelandic		dog	2009	2009	hʏntʏr	123	h ʏ n t ʏ r
Italian		dog	2009	2009	kane	124	k a n e
Hindi		dog	2009	2009	kʊttaː	130	k ʊ tː aː
Portuguese		dog	2009	2009	kɐ̃uː	124	k ɐ̃ uː
Russian		dog	2009	2009	pʲos	128	pʲ o s
Dutch		drink	1401	1401	drɪŋkə	133	d r ɪ ŋ k ə
Swedish		drink	1401	1401	drikːa	133	d r i kː a
English		drink	1401	1401	drɪŋk	133	d r ɪ ŋ k
German		drink	1401	1401	trɪŋkən	133	t r ɪ ŋ k ə n
Spanish		drink	1401	1401	beβeɾ	132	b e β e ɾ
Danish		drink	1401	1401	dʁɛgə	133	d ʁ ɛ g ə
Bulgarian		drink	1401	1401	pijə	132	p i j ə
Greek		drink	1401	1401	pino	132	p i n o
Armenian		drink	1401	1401	χəmɛl	131	χ ə m ɛ l
Romanian		drink	1401	1401	be.a	132	b e a
Russian		drink	1401	1401	pʲitʲ	132	pʲ i tʲ
Polish		drink	1401	1401	piʨ	132	p i tɕ
Norwegian		drink	1401	1401	dɾikə	-133	d ɾ i k ə
French		drink	1401	1401	bwɑʁ	132	b w ɑ ʁ
Czech		drink	1401	1401	piːt	132	p iː t
Icelandic		drink	1401	1401	trɛʰka	133	t r ɛ ʰk a
Italian		drink	1401	1401	bere	132	b e r e
Hindi		drink	1401	1401	piːnaː	132	p iː n aː
Portuguese		drink	1401	1401	bəber	132	b ə b e r
Dutch		dry	1398	1398	droːx	134	d r oː x
Swedish		dry	1398	1398	torː	135	t o rː
English		dry	1398	1398	draɪ	134	d r aɪ
German		dry	1398	1398	trɔkən	134	t r ɔ k ə n
Spanish		dry	1398	1398	seko	137	s e k o
Danish		dry	1398	1398	tɶˀʁ	135	t ɶˀ ʁ
Bulgarian		dry	1398	1398	sux	138	s u x
Greek		dry	1398	1398	k͡seros	139	ks e r o s
Romanian		dry	1398	1398	sek	137	s e k
Russian		dry	1398	1398	suxoj	138	s u x o j
Polish		dry	1398	1398	suxɨ	138	s u x ɨ
Norwegian		dry	1398	1398	tœɾ	135	t œ ɾ
French		dry	1398	1398	sɛk	137	s ɛ k
Czech		dry	1398	1398	sʊxiː	138	s ʊ x iː
Icelandic		dry	1398	1398	θʏrː	135	θ ʏ rː
Italian		dry	1398	1398	sekko	137	s e kː o
Hindi		dry	1398	1398	suːkʰaː	138	s uː kʰ aː
Portuguese		dry	1398	1398	seku	137	s e k u
Romanian		dry	1398	1398	uskat	136	u s k a t
Italian		dry	1398	1398	aʃʃutto	136	a ʃː u tː o
Portuguese		dry	1398	1398	ẽʃutu	136	ẽ ʃ u t u
Dutch		ear	1247	1247	oːr	141	oː r
Swedish		ear	1247	1247	øːra	141	øː r a
English		ear	1247	1247	ɪər	141	ɪ ə r
German		ear	1247	1247	oːr	141	oː r
Spanish		ear	1247	1247	oɾexa	141	o ɾ e x a
Danish		ear	1247	1247	øːʌ	141	øː ʌ
Bulgarian		ear	1247	1247	uxɔ	141	u x ɔ
Greek		ear	1247	1247	afti	141	a f t i
Armenian		ear	1247	1247	ɑkɑnʤ	141	ɑ k ɑ n dʒ
Romanian		ear	1247	1247	ureke	141	u r e k e
Russian		ear	1247	1247	uxə	141	u x ə
Polish		ear	1247	1247	uxɔ	141	u x ɔ
Norwegian		ear	1247	1247	øːɾə	141	øː ɾ ə
French		ear	1247	1247	ɔʁɛj	141	ɔ ʁ ɛ j
Czech		ear	1247	1247	ʊxo	141	ʊ x o
Icelandic		ear	1247	1247	eiːra	141	e iː r a
Italian		ear	1247	1247	ɔrekkjo	141	ɔ r e kː j o
Hindi		ear	1247	1247	kaːn	140	k aː n
Portuguese		ear	1247	1247	oreʎɐ	141	o r e ʎ ɐ
Dutch		earth	1228	1228	aːrdə	146	aː r d ə
Swedish		earth	1228	1228	joːrd	146	j oː r d
English		earth	1228	1228	ɜːrθ	146	ɜː r θ
German		earth	1228	1228	eːrdə	146	eː r d ə
Spanish		earth	1228	1228	tjera	144	t j e r a
Danish		earth	1228	1228	joˀʁ	146	j oˀ ʁ
Bulgarian		earth	1228	1228	zɛmʲə	145	z ɛ mʲ ə
Greek		earth	1228	1228	ʝi	142	ʝ i
Armenian		earth	1228	1228	hoʁ	146	h o ʁ
Romanian		earth	1228	1228	pəmɨnt	147	p ə m ɨ n t
Russian		earth	1228	1228	zʲɪmlʲa	145	zʲ ɪ m lʲ a
Polish		earth	1228	1228	ʑɛmʲa	145	ʑ ɛ mʲ a
Norwegian		earth	1228	1228	juːɾ	-146	j uː ɾ
French		earth	1228	1228	tɛʁ	144	t ɛ ʁ
Czech		earth	1228	1228	zɛmʲɛ	145	z ɛ mʲ ɛ
Icelandic		earth	1228	1228	jœrð	146	j œ r ð
Italian		earth	1228	1228	tɛrra	144	t ɛ rː a
Hindi		earth	1228	1228	dʱərtiː	143	d̤ ə r t iː
Portuguese		earth	1228	1228	tɛʀɐ	144	t ɛ ʀ ɐ
Dutch		eat	1336	1336	eːtə	150	eː t ə
Swedish		eat	1336	1336	ɛːta	150	ɛː t a
English		eat	1336	1336	iːt	150	iː t
German		eat	1336	1336	ɛsən	150	ɛ s ə n
